"Continent","IE","Chrome","Firefox","Safari","Android","iPhone","Opera","UC Browser","Nokia","NetFront","Dolfin","BlackBerry","360 Safe Browser","360","Maxthon","QQ Browser","SeaMonkey","Comodo Dragon","Flock","Pale Moon","iPod Touch","Sony PS3","Obigo","Iron","Kindle"
Faroe Islands ,46.75,24.93,10.78,12.32,1.52,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanzania ,24.41,11.7,34.33,3.63,1.3,0,15.86,1.62,4.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barbados ,25.32,37.45,25.64,5.19,1.2,0,1.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lao Peoples Democratic Republic ,20.09,16.24,26.54,3.09,1.31,2.39,17.93,1.72,9.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zimbabwe ,17.54,8.5,20.98,2.44,0,0,43.92,1.26,2.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uganda ,17.67,13.87,44.24,2.87,1.55,0,13.81,1.08,2.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola ,45.5,17.26,17.74,8.36,1.74,0,4.95,0,1.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reunion ,18.27,24.23,39.8,9.22,3.18,2.37,1.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guyana ,60.05,18.27,17.27,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maldives ,9.31,30.42,42.29,4.32,1.72,1.32,2.78,1.24,4.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macao ,33.86,23.87,17.77,8.37,5.86,4.24,1.12,0,0,0,0,0,1.65,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands Antilles ,41.76,26.82,15.92,9.65,1.13,1.25,1.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon ,14.6,11.72,64.26,1.61,0,0,4.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uzbekistan ,8.31,20.29,13.7,1.49,1.47,1.37,47.06,0,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cote dIvoire ,15.34,25.64,38.13,2.66,1.09,0,8.76,1.43,2.9,1.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isle of Man ,40.43,19.94,15.83,17.24,1.85,2.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suriname ,42.28,24.68,22.34,3.77,0,0,2.48,0,0,0,0,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0
Mozambique ,29.96,16.46,22.37,3.93,1.16,0,14.85,1.28,7.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cuba ,16.85,7.89,71.95,0,0,0,1.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aruba ,38.13,28.14,15.86,11.39,2.69,1.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guadeloupe ,28.33,29.63,25.04,9.75,2.9,1.16,1.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Namibia ,40.28,16.52,21.96,5.03,1.74,1.41,8.09,0,2.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guam ,26.42,30.35,17.08,13.97,3.58,3.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.43,0,0,0,0
Madagascar ,10.12,21.38,56.9,2.91,0,0,4.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan ,30.92,16.34,25.92,5.67,1.32,2.16,9.98,1.56,4.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martinique ,29.12,31.12,25.8,6.88,3.11,1.07,1.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jersey ,32.77,21.19,14.78,23.3,2.66,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0,0,0
Fiji ,24.7,22.52,39.11,4.89,0,0,4.02,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zambia ,21.61,9.93,21.22,3.88,1.4,0,35.18,1.33,2.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guernsey ,36.03,18.6,12.76,21.24,2.64,6.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grenada ,31.4,39.01,21.36,4.22,0,0,1.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Botswana ,32.32,20.61,30.65,3.74,0,0,5.44,0,2.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haiti ,36.78,25.23,20.23,6.58,1.11,1.24,4.89,0,0,1.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Togo ,13.22,9.91,70.51,1.26,0,0,2.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Lucia ,28.38,38.14,23.67,4.83,0,0,2.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cayman Islands ,36.61,24.76,17.79,15.45,1.03,1.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,100,36.51,87.94,12.7,7.44,3.57,1.38,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11
French Polynesia ,19.25,21.23,38.78,17.01,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malawi ,27.31,9.06,19.55,2.07,1.12,2.54,30.88,1.93,3.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Somalia ,11.06,10.82,13.81,0,0,0,56.37,2.87,3.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyrgyz Republic ,18.03,26.62,13.67,2.93,0,0,33.96,0,2.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belize ,26,27.54,34.64,5.54,2.16,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Vincent and the Grenadines ,21.27,42.51,26.82,4.96,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andorra ,36.21,28.42,18.77,11.56,2.03,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Caledonia ,25.76,24.94,30.34,13.66,1.72,1.34,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Kitts and Nevis ,26.76,37.99,21.77,8.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rwanda ,21.62,17.2,44.46,4.07,0,0,8.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda ,30.88,34.26,22.43,7.86,0,0,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benin ,16.13,28.89,41.81,1.31,0,0,7.68,0,1.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Mariana Islands ,33.6,40.08,15.3,3.68,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
