"Continent","IE","Chrome","Firefox","Safari","Android","iPhone","Opera","UC Browser","Nokia","NetFront","Dolfin","BlackBerry","360 Safe Browser","360","Maxthon","QQ Browser","SeaMonkey","Comodo Dragon","Flock","Pale Moon","iPod Touch","Sony PS3","Obigo","Iron","Kindle"
Guinea ,35.62,17.06,30.85,5.32,1.76,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sao Tome and Principe ,49.08,16.39,24.57,6.12,1.04,0,2.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comoros ,37.88,20.92,33.82,2.15,0,0,2.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kiribati ,17,24.54,55.78,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marshall Islands ,21.26,19.71,45.63,3.49,0,0,6.19,1.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mayotte ,35.32,18.39,37.84,2.55,3.5,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palau ,36.41,28.97,23.07,8.63,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montserrat ,44.65,33.94,15.27,2.62,1.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic ,35.71,15.07,31.96,5.36,1.12,0,4.91,0,0,0,0,0,2.25,0,0,0,0,0,0,0,0,0,0,0,0
Saint Helena ,71.84,17.22,8.86,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wallis and Futuna ,14.68,36.05,43.52,4.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea-Bissau ,65.4,6.73,26.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Korea ,63.89,11.82,21.31,0,0,0,1.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chad ,32.72,12.23,27.32,7.16,0,0,3.03,0,1.03,0,2.06,0,6.53,0,3.9,0,0,0,0,0,0,0,0,0,0
Niue ,24.3,15.32,57.52,1.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuvalu ,9.12,45.13,44.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nauru ,1.18,23.3,75.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norfolk Island ,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pitcairn Islands ,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western Sahara ,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christmas Island ,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tokelau ,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
