"Continent","IE","Chrome","Firefox","Safari","iPhone","Android","Opera","Nokia","BlackBerry","UC Browser","NetFront","Dolfin","Sogou Explorer","360 Safe Browser","Maxthon","QQ Browser","Yandex Browser","IEMobile","iPod Touch","Sony PS3","Mozilla","Obigo","Samsung","Openwave Mobile Browser","AppleWebKit","Midori","Iron","Pale Moon"
Togo ,16.3,14.05,59.62,1.96,0,1.36,3.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Papua New Guinea ,18.33,6.87,7.74,2.83,0,5.12,40.82,8.5,0,4.17,0,0,0,0,0,0,0,0,0,0,0,1.8,0,0,0,0,0,0
New Caledonia ,25.33,26.11,29.7,13.48,1.36,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Kitts and Nevis ,24.97,39.91,19.16,11.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda ,27.13,35.05,21.6,9.38,1.19,2.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Mariana Islands ,30.88,41.2,14.52,4.7,0,6.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cape Verde ,36.62,37.14,18.93,3.47,0,1.13,1.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Vincent and the Grenadines ,27.75,36.38,24.75,5.67,0,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benin ,13.08,32.45,40.11,1.87,0,0,6.96,1.91,0,1.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tajikistan ,10.6,32.74,12.44,2.42,0,3.04,29.84,4.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania ,14.12,34.54,29.9,2.35,0,1.15,8.7,5.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabon ,30.29,15.41,26.26,7.58,0,2.25,10.59,2.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Somalia ,14.83,16.93,18.7,0,0,0,39.32,3.12,0,4.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhutan ,13.65,39.46,26.7,5.02,0,1.3,7.06,2.12,0,2.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gibraltar ,30.26,29.13,18.28,15.5,2.3,2.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monaco ,29.52,19.72,18.79,25.13,1.97,1.19,2.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liechtenstein ,39.12,15.33,22.75,14.92,3.31,2.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
San Marino ,33.98,23.4,24.61,13.63,1.76,1.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Djibouti ,22.46,28.77,28.02,2.54,0,1.08,9.75,2.52,0,2.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkina Faso ,22.19,19.19,35.27,3.12,0,2.01,8.81,2.15,0,3.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
British Virgin Islands ,38.16,27.92,15.76,12.8,1.4,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mali ,19.21,14.1,25.04,3.11,1.08,3.71,14.11,6.16,0,3.23,2.94,1.25,0,0,0,0,0,0,0,0,0,0,1.35,1.06,0,0,0,0
Congo (Democratic Republic of the),25.07,16.44,29.54,4.19,0,2.88,9.92,3.71,0,4.1,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greenland ,45.35,15.69,13.13,12.72,3.02,2.35,1.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.08,1.24,0,0
Gambia ,12.94,11.49,43.66,3.3,2.38,3.89,14.12,2.23,0,3.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turks and Caicos Islands ,32.87,33.58,15.52,12.32,1.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seychelles ,31.87,20.53,27.67,4.91,0,1.87,5.26,3.6,0,1.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Swaziland ,36.9,14,17.3,3.42,0,2.45,9.69,7.02,0,5.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkmenistan ,13.75,13.38,8.02,3.4,4.88,21.35,13.57,11.07,0,8.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lesotho ,41.82,11.56,19.87,3.21,0,1.01,16.16,3.16,0,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Timor-Leste ,17.2,15.55,42.01,4.81,0,2.66,12.94,2.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sierra Leone ,12.96,4.19,13.19,3.44,1.48,4.15,41.78,6.23,0,8.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anguilla ,36.47,29.11,14.61,13.67,1.47,1.09,0,0,1.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mayotte ,24.76,29.34,30.03,5.2,0,4.79,2.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo (Republic of the),25.75,14.79,33.3,6.14,1.69,4.9,7.49,1,0,1.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niger ,24.66,14.04,25.41,3.15,0,2.15,10.55,9.9,0,4.01,1.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liberia ,22.54,12.43,17.76,6.39,1.45,4.24,20.09,7.58,0,5.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American Samoa ,21.37,32.11,23.71,18.51,0,1.52,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0,0,0,0,0,0,0
Cook Islands ,23.66,12.74,11.3,4.78,0,1.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.33,0
Micronesia ,24.63,35.68,30.18,5.55,0,1.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burundi ,25.8,17.62,35.44,5.45,0,2,9.08,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equatorial Guinea ,25.16,13.19,26.74,2.69,0,2.28,22.02,2.98,0,2.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Samoa ,35.01,14.49,30.57,3.76,0,1.28,9.61,2.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Pierre and Miquelon ,21.36,28.32,40.22,7.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vanuatu ,37.67,20.37,30.25,7.02,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea ,29.82,15.64,26.89,12.98,1.7,2.53,7.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solomon Islands ,27.08,11.61,13.7,7.24,1.3,3.24,22.89,7.06,0,3.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Holy See (Vatican City State) ,55.17,17.29,24.9,2.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comoros ,20.42,17.64,23.09,1.36,0,0,35.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tonga ,22.42,21.06,46.73,7.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Falkland Islands (Malvinas) ,65.03,12.32,10.55,7.36,1.63,1.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eritrea ,18.62,5.38,64.5,0,0,0,6.13,0,0,0,3.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sao Tome and Principe ,43.03,22.56,25.43,5.9,0,1.1,1.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Korea ,27.96,50.03,17.79,1.77,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marshall Islands ,20.67,25.55,37.03,11.2,1.2,2.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palau ,30.66,32.62,22.72,8.03,0,2.82,0,0,0,0,0,0,0,0,0,0,0,0,1.36,0,0,0,0,0,0,0,0,0
Central African Republic ,33.17,9.15,28.7,18.83,0,1.24,5.55,0,0,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montserrat ,36.02,33.79,20.38,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Helena ,57.98,27.01,12.71,1.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chad ,30.65,6.06,13.73,1.12,0,2.03,24.37,8.55,0,0,2.18,0,5.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kiribati ,22.51,28.72,40.99,3.04,0,2.04,2.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wallis and Futuna ,10.84,41.25,40.56,6.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea-Bissau ,58.89,13.63,21.99,2.28,0,0,2.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuvalu ,14.21,40.24,40.08,3.2,1.03,1.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pitcairn Islands ,76.62,20.78,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Georgia and the South Sandwich Islands ,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norfolk Island ,83.87,14.52,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tokelau ,26.32,0,57.89,0,0,0,15.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niue ,4.92,3.28,29.51,50.82,0,1.64,9.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nauru ,0,0,30,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bouvet Island (Bouvetoya) ,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Svalbard & Jan Mayen Islands ,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western Sahara ,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christmas Island ,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
