"Continent","IE","Firefox","Chrome","Safari","BlackBerry","Android","iPhone","Opera","Nokia","Maxthon","UC Browser","NetFront","Sony PS3","iPod Touch","Bolt","Mozilla","Windows Media Player"
Paraguay ,35.19,38.6,23.57,0,0,0,0,1.06,0,0,0,0,0,0,0,0,0
Guatemala ,48.32,26.11,18,2.77,1.9,0,0,1.1,0,0,0,0,0,0,0,0,0
Slovakia (Slovak Republic) ,21.17,44.48,19.8,1.61,0,0,0,11.73,0,0,0,0,0,0,0,0,0
Jordan ,52.25,17.88,23.76,0,0,0,0,1.88,2.45,0,0,0,0,0,0,0,0
Lithuania ,30.17,41.56,16.67,1.35,0,0,0,9.6,0,0,0,0,0,0,0,0,0
Algeria ,44.18,38.24,14.4,0,0,0,0,2.12,0,0,0,0,0,0,0,0,0
Macedonia ,14.42,45.56,35.61,0,0,0,0,3.4,0,0,0,0,0,0,0,0,0
Qatar ,59.57,14.01,17.1,3.41,0,0,0,1.43,2.73,0,0,0,0,0,0,0,0
Puerto Rico ,45.83,23.54,17.9,6.97,0,1.05,0,0,0,0,0,0,1.21,1.12,0,0,0
Bahrain ,72.72,10.72,10.41,2.73,0,0,0,0,1.23,0,0,0,0,0,0,0,0
Syrian Arab Republic ,60.89,25.89,4.74,0,0,0,0,3.7,3.04,0,0,0,0,0,0,0,0
Iraq ,63.91,17.49,10.52,0,0,0,0,3.55,3.44,0,0,0,0,0,0,0,0
Nigeria ,29.03,30.15,7.07,1.37,0,0,0,26.53,2.21,0,0,0,0,0,2.27,0,0
Tunisia ,18.54,34.62,42.72,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0
Honduras ,45.41,22.4,17.62,1.84,1.16,0,0,2.24,3.66,0,0,2.95,0,0,0,0,0
Costa Rica ,39.46,28.67,17.12,3.68,0,0,0,2.31,4.98,0,0,2.16,0,0,0,0,0
Bangladesh ,22.55,46.13,10.01,0,0,0,0,15.4,3.33,0,0,0,0,0,0,0,0
Latvia ,26.35,45.29,19.06,1.78,0,0,0,6.84,0,0,0,0,0,0,0,0,0
Estonia ,29.03,44.73,16.84,3.31,0,0,0,5.28,0,0,0,0,0,0,0,0,0
Bolivia ,59.93,25.88,10.69,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania ,18.1,29.18,48.46,0,0,0,0,1.89,0,0,0,0,0,0,0,0,0
Belarus ,15.71,24.23,8.51,0,0,0,0,49.68,0,0,0,0,0,0,0,0,0
Sri Lanka ,28.82,35.64,27.05,0,0,0,0,5.54,1.1,0,0,0,0,0,0,0,0
Lebanon ,57.81,17.15,17.36,3.16,0,0,0,1.7,1.49,0,0,0,0,0,0,0,0
Mongolia ,18.97,67.9,9.61,0,0,0,0,1.8,0,0,0,0,0,0,0,0,0
Dominican Republic ,36.04,28.59,27.1,3.29,2.33,0,0,1.45,0,0,0,0,0,0,0,0,0
Palestinian Territory ,60.38,22.09,14.1,0,0,0,0,1.62,0,0,0,0,0,0,0,0,0
