"Continent","IE","Firefox","Safari","Chrome","BlackBerry","iPhone","Android","Opera","Nokia","Maxthon","UC Browser","NetFront","Bolt","Motorola Internet Browser","Windows Media Player","Sony PS3","Camino","Samsung","Mozilla"
Czech Republic ,32.13,42.16,2.05,12.08,0,0,0,10.14,0,0,0,0,0,0,0,0,0,0,0
Ukraine ,19.42,32.43,1.06,9.11,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0
Slovenia ,33.71,50.14,1.64,9.78,0,0,0,4.05,0,0,0,0,0,0,0,0,0,0,0
Guatemala ,54.66,26.84,2.5,13.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania ,38.14,40.96,1.16,10.59,0,0,0,8.64,0,0,0,0,0,0,0,0,0,0,0
Paraguay ,37.85,41.62,0,18.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bosnia and Herzegovina ,18.25,51.88,0,23.59,0,0,0,5.33,0,0,0,0,0,0,0,0,0,0,0
Algeria ,49.58,35.93,0,11.2,0,0,0,2.26,0,0,0,0,0,0,0,0,0,0,0
Slovakia (Slovak Republic) ,24.13,45.44,1.58,14.54,0,0,0,13.03,0,0,0,0,0,0,0,0,0,0,0
Estonia ,35.1,44.94,3.27,11.79,0,0,0,4.38,0,0,0,0,0,0,0,0,0,0,0
Jordan ,57.83,18.6,0,17.75,0,0,0,1.78,2.6,0,0,0,0,0,0,0,0,0,0
Qatar ,64.37,14.52,2.71,13.02,0,0,0,1.39,2.44,0,0,0,0,0,0,0,0,0,0
Macedonia ,18.06,51.89,0,25.08,0,0,0,3.97,0,0,0,0,0,0,0,0,0,0,0
Puerto Rico ,51.29,25.49,5.92,13.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Syrian Arab Republic ,66.57,21.9,0,3.77,0,0,0,4.22,2.36,0,0,0,0,0,0,0,0,0,0
Bahrain ,75.25,10.61,2.11,8.35,0,0,0,0,1.71,0,0,0,0,0,0,0,0,0,0
Costa Rica ,43.34,31.32,3.1,12.33,0,0,0,2.25,4.64,0,0,2.01,0,0,0,0,0,0,0
Nigeria ,34.48,37.71,0,6.47,0,0,0,16.85,1.39,0,0,0,1.13,0,0,0,0,0,0
Honduras ,52.92,24.21,1.49,11.62,0,0,0,3.03,2.6,0,0,1.69,0,0,0,0,0,0,0
Bolivia ,64.4,24.57,1.05,8.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
