"Continent","IE","Firefox","Chrome","Safari","Android","iPhone","BlackBerry","Opera","Nokia","Maxthon","UC Browser","NetFront","iPod Touch","Sony PS3","Bolt","Windows Media Player","Mozilla"
Slovenia ,31.32,49.24,13.97,1.97,0,0,0,2.64,0,0,0,0,0,0,0,0,0
Paraguay ,33.57,37.91,25.31,0,0,0,0,1.23,1.2,0,0,0,0,0,0,0,0
Slovakia (Slovak Republic) ,20.5,44.11,21.33,1.62,0,0,0,11.21,0,0,0,0,0,0,0,0,0
Qatar ,57.19,13.7,20.04,3.02,0,0,0,1.7,2.53,0,0,0,0,0,0,0,0
Jordan ,49.8,17.51,25.87,1,0,0,0,2.28,2.55,0,0,0,0,0,0,0,0
Macedonia ,12.18,44.01,39.11,0,0,0,0,3.74,0,0,0,0,0,0,0,0,0
Algeria ,40.59,39.7,16.36,0,0,0,0,2.19,0,0,0,0,0,0,0,0,0
Lithuania ,29.32,40.82,18.09,1.39,0,0,0,9.62,0,0,0,0,0,0,0,0,0
Bangladesh ,21.68,47.79,10.06,0,0,0,0,14.77,3.37,0,0,0,0,0,0,0,0
Tunisia ,15.72,32.36,48.05,0,0,0,0,1.84,0,0,0,0,0,0,0,0,0
Puerto Rico ,44.31,23.09,19.48,7.22,1.34,0,0,0,0,0,0,0,1.14,1.03,0,0,0
Iraq ,63.21,17.54,11.23,0,0,0,0,3.51,3.42,0,0,0,0,0,0,0,0
Bahrain ,70.4,10.69,11.87,2.81,0,0,0,0,1.36,0,0,0,0,0,0,0,0
Honduras ,43.55,21.49,19,1.75,0,0,1.34,2.29,4.12,0,0,3.19,0,0,0,0,0
Nigeria ,25.87,29.11,6.97,1.42,0,0,0,31.95,1.94,0,0,0,0,0,1.4,0,0
Albania ,16.81,28.2,51.03,0,0,0,0,1.9,0,0,0,0,0,0,0,0,0
Syrian Arab Republic ,56.7,29.58,5.91,0,0,0,0,2.98,2.89,0,0,0,0,0,0,0,0
Costa Rica ,37.33,27.56,18.34,3.81,0,0,0,2.66,6.01,0,0,2.29,0,0,0,0,0
Belarus ,14.14,24.07,9.48,0,0,0,0,50.68,0,0,0,0,0,0,0,0,0
Sri Lanka ,28.06,35.66,27.71,0,0,0,0,5.4,1.26,0,0,0,0,0,0,0,0
Bolivia ,59.04,26.13,11.07,1.12,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia ,25.61,44.19,21.4,1.7,0,0,0,6.44,0,0,0,0,0,0,0,0,0
Estonia ,27.59,44.32,18.62,3.35,0,0,0,5.3,0,0,0,0,0,0,0,0,0
Oman ,58.22,13.21,14.11,1.12,0,0,0,2.8,8.3,0,0,0,0,0,0,0,0
Mongolia ,18.15,67.09,10.87,0,0,0,0,1.86,0,0,0,0,0,0,0,0,0
Lebanon ,55.36,17.57,17.81,3.22,0,0,0,2.78,1.68,0,0,0,0,0,0,0,0
Georgia ,14.74,17.9,22.78,0,0,0,0,43.51,0,0,0,0,0,0,0,0,0
Dominican Republic ,33.18,27.48,30.84,3.28,0,0,2.46,1.55,0,0,0,0,0,0,0,0,0
Panama ,54.18,19.04,19.57,4.1,0,0,0,1,0,0,0,0,0,0,0,0,0
Palestinian Territory ,56.48,24.99,15.05,0,0,0,0,1.69,0,0,0,0,0,0,0,0,0
Uruguay ,37.37,30.49,29.09,1.13,0,0,0,1.15,0,0,0,0,0,0,0,0,0
Cyprus ,46.25,28.37,20.13,2.61,0,0,0,1.61,0,0,0,0,0,0,0,0,0
El Salvador ,37.08,34.9,20.84,1.81,0,0,1.12,2.03,1.12,0,0,0,0,0,0,0,0
Montenegro ,20.34,34.05,33.71,0,0,0,0,9.7,0,0,0,0,0,0,0,0,0
Moldova ,15.62,38.75,32.26,0,0,0,0,12.21,0,0,0,0,0,0,0,0,0
Nicaragua ,33.64,41.57,18.82,1.29,0,0,0,1.28,0,0,0,1.09,0,0,0,0,0
Yemen ,49.07,26.52,17.54,0,0,0,0,3.96,1.24,0,0,0,0,0,0,0,0
Trinidad and Tobago ,35.15,26.61,31.71,3.39,0,0,0,1.35,0,0,0,0,0,0,0,0,0
Kazakhstan ,20.11,30.89,13.18,1.17,0,0,0,33.89,0,0,0,0,0,0,0,0,0
Kenya ,25.61,41.38,10.19,2.18,0,0,0,16.59,1.85,0,0,0,0,0,0,0,0
Sudan ,44.12,24.21,5.27,0,0,0,0,15.44,8.71,0,0,0,0,0,0,0,0
Iceland ,29.88,33.27,24.21,9.27,0,0,0,2.54,0,0,0,0,0,0,0,0,0
Malta ,46.23,22.89,24.77,3.43,0,0,0,1.15,0,0,0,0,0,0,0,0,0
Luxembourg ,33.18,38.61,11.64,11.9,0,2.03,0,1.43,0,0,0,0,0,0,0,0,0
Jamaica ,31.19,32.71,28.73,3.64,0,0,0,2.08,0,0,0,0,0,0,0,0,0
Brunei Darussalam ,16.75,29.01,18.51,5.68,1.12,1.36,0,7.83,17.11,0,0,0,0,0,0,0,0
Azerbaijan ,31.97,17.51,17.22,1.25,0,0,0,30.68,0,0,0,0,0,0,0,0,0
Ghana ,21.84,51.09,8.63,1.98,0,0,0,12.59,1.24,0,0,0,0,0,0,0,0
Nepal ,31.04,34.72,20.12,1.47,0,0,0,10.51,0,0,0,0,0,0,0,0,0
Myanmar ,29.35,66.09,2.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armenia ,14.94,35.73,37.71,1.23,0,0,0,9.94,0,0,0,0,0,0,0,0,0
Senegal ,27.15,55.26,14,1.71,0,0,0,0,0,0,0,0,0,0,0,0,0
Macao ,59.07,18.76,12.1,4.58,0,1.92,0,0,0,1.3,0,0,0,0,0,0,0
Mauritius ,27.13,39.31,25.21,2.61,0,0,0,3.9,0,0,0,0,0,0,0,0,0
Lao Peoples Democratic Republic ,48.2,25.14,6.71,1.38,0,0,0,9.09,7.47,0,0,0,0,0,0,0,0
Faroe Islands ,61.33,14.25,15.82,5.66,0,1.09,0,0,0,0,0,0,0,0,0,0,0
