"Continent","IE","Firefox","Safari","Chrome","Opera","Maxthon","Nokia","iPhone","NetFront","Mozilla","Flock","Windows Media Player"
Panama ,65.95,22.67,2.34,7.12,0,0,0,0,0,0,0,0
Estonia ,35.46,46.95,2.69,7.83,6.11,0,0,0,0,0,0,0
Uruguay ,48.51,36.98,0,11.57,1.44,0,0,0,0,0,0,0
Palestinian Territory ,70.18,20.51,0,5.83,1.82,0,0,0,0,0,0,0
Oman ,71.17,12.94,0,6.5,2.49,0,5.24,0,0,0,0,0
El Salvador ,47.6,39.96,1.75,8.22,1.38,0,0,0,0,0,0,0
Georgia ,33.2,15.6,0,7.15,42.9,0,0,0,0,0,0,0
Cyprus ,60.45,27.5,1.96,7.24,1.98,0,0,0,0,0,0,0
Mongolia ,25.99,65.53,0,5.19,1.94,0,0,0,0,0,0,0
Lebanon ,66.56,18.9,3.55,7.96,1.26,0,1.12,0,0,0,0,0
Sri Lanka ,36.15,39.88,0,18.42,3.62,0,0,0,0,0,0,0
Bangladesh ,29.93,42.38,0,6.78,16.28,0,2.65,0,0,0,0,0
Iraq ,73.65,13.75,0,4.1,4.34,0,2.86,0,0,0,0,0
Belarus ,22.71,24.51,0,4.4,46.15,1.01,0,0,0,0,0,0
Libya ,56.89,19.64,0,9.74,6.06,0,6.27,0,0,0,0,0
Montenegro ,33.7,39.47,0,15.86,7.92,0,1.08,0,0,0,0,0
Trinidad and Tobago ,44.96,32.81,3.01,15.74,2.01,0,0,0,0,0,0,0
Moldova ,27.16,45.83,0,11.46,13.94,0,0,0,0,0,0,0
Sudan ,58.9,19.82,0,2.96,9.28,0,7.45,0,0,0,0,0
Albania ,23.32,49.45,0,23.94,1.65,0,0,0,0,0,0,0
Iceland ,39.25,39.4,8.12,10.66,1.87,0,0,0,0,0,0,0
Azerbaijan ,52.98,14.45,0,5.22,25.33,0,0,0,0,0,0,0
Malta ,57.22,26.37,2.52,11.55,1.27,0,0,0,0,0,0,0
Brunei Darussalam ,23.48,36.75,4.71,8.61,9.83,0,14.05,0,0,0,0,0
Myanmar ,52.58,44.17,0,1.93,0,0,0,0,0,0,0,0
Yemen ,69.17,17.77,0,7.91,3.36,0,0,0,0,0,0,0
Nicaragua ,44.6,45.09,1.27,6.87,1.41,0,0,0,0,0,0,0
Nepal ,52.37,29.08,1.14,10.63,5.93,0,0,0,0,0,0,0
Bermuda ,72.68,12.56,9.75,3.7,0,0,0,0,0,0,0,0
Jamaica ,41.52,39.24,3.05,12.27,2.49,0,0,0,0,0,0,0
Luxembourg ,42.9,39.46,7.73,5.05,2.62,0,0,1.33,0,0,0,0
Kazakhstan ,30.72,29.25,0,5.09,33.2,0,0,0,0,0,0,0
Senegal ,36.02,55.63,1.17,5.76,0,0,0,0,0,0,0,0
Macao ,69.31,18.8,3.25,4.54,0,1.93,0,0,0,0,0,0
Kenya ,37.61,38.01,2.49,6.25,14.04,0,0,0,0,0,0,0
Bahamas ,62.82,20.87,6.26,7.46,0,0,0,0,0,0,0,0
Mauritius ,33.33,47.13,2.31,11.5,3.93,0,0,0,0,0,0,0
Cambodia ,49.51,33.73,2.51,5.35,4.39,0,2.71,0,0,0,0,0
Ghana ,32.24,50.84,1.76,4.68,8.58,0,0,0,0,0,0,0
Angola ,68.85,16.61,3.11,6.69,2.69,0,0,0,0,0,0,0
Cote dIvoire ,57.35,26.65,0,6.12,6.54,0,1.23,0,0,0,0,0
Netherlands Antilles ,64.01,21.63,5.05,6.9,1.15,0,0,0,0,0,0,0
Ethiopia ,68.47,23.48,0,4.85,1.88,0,0,0,0,0,0,0
Barbados ,48.91,37.16,2.61,9.01,1.28,0,0,0,0,0,0,0
Lao Peoples Democratic Republic ,63.12,24.74,1.27,2.71,5.25,0,1.33,0,0,0,0,0
Faroe Islands ,63.19,22.47,3.84,8.74,0,0,0,0,0,0,0,0
Isle of Man ,63.41,19.74,7.65,6.68,0,0,0,0,0,0,0,0
Reunion ,36.56,46.66,6.31,6.87,1.95,0,0,0,0,0,0,0
Armenia ,27.5,40.96,1.05,12.36,16.7,0,0,0,0,0,0,0
Tanzania ,62.86,21.73,2.63,4.66,6.17,0,1.19,0,0,0,0,0
Guam ,51,29.46,6.34,9.29,0,0,0,1.42,0,0,0,0
