"Continent","IE","Firefox","Chrome","Safari","Android","iPhone","Opera","Nokia","BlackBerry","Maxthon","UC Browser","NetFront","iPod Touch","Sony PS3","Chromium","Obigo","Windows Media Player","AppleWebKit"
Bosnia and Herzegovina ,12.67,42.2,39.04,0,0,0,4.55,0,0,0,0,0,0,0,0,0,0,0
Slovenia ,27.94,46.13,19.67,2.47,0,0,2.44,0,0,0,0,0,0,0,0,0,0,0
Paraguay ,25.9,34.63,34.72,0,0,0,1.48,1.77,0,0,0,0,0,0,0,0,0,0
Georgia ,8.43,14.08,36.65,0,0,0,39.79,0,0,0,0,0,0,0,0,0,0,0
Guatemala ,38.36,23.04,28.71,3.4,0,1.26,1.78,0,1.05,0,0,0,0,0,0,0,0,0
Macedonia ,9.84,38.16,47.1,0,0,0,3.32,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic ,20.76,21.78,51.17,2.7,0,0,1.39,0,0,0,0,0,0,0,0,0,0,0
Slovakia (Slovak Republic) ,16.73,40.14,29.09,1.95,0,0,10.4,0,0,0,0,0,0,0,0,0,0,0
Tunisia ,13.96,25.86,54.89,0,0,0,1.98,0,0,0,0,0,0,0,0,0,0,0
Morocco ,27.53,32.77,32.39,1.33,0,0,3.18,0,0,0,0,0,0,0,0,0,0,0
Uruguay ,21.37,29.89,46.06,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0
Bangladesh ,10.78,47.69,13.43,0,0,0,17.69,5.3,0,0,1.87,0,0,0,0,0,0,0
Lithuania ,26.45,38.23,24.42,1.61,0,0,8.27,0,0,0,0,0,0,0,0,0,0,0
Belarus ,11.74,22.07,15.83,0,0,0,48.34,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka ,22.17,33.12,32.01,0,0,0,7.01,2.24,0,0,0,1.04,0,0,0,0,0,0
Algeria ,26.04,40.63,28.93,0,0,0,2.23,0,0,0,0,0,0,0,0,0,0,0
Albania ,13.26,24.93,57.23,0,0,0,1.97,0,0,0,0,0,0,0,0,0,0,0
Bolivia ,44.56,30.4,20.56,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iraq ,43.92,24.16,23.58,0,0,0,3.27,2.9,0,0,0,0,0,0,0,0,0,0
Kuwait ,43.24,12.7,17.87,5.67,1.63,7.7,2.63,2.36,4.7,0,0,0,0,0,0,0,0,0
