"Continent","IE","Firefox","Safari","Chrome","Opera","Maxthon","UC Browser","Nokia","iPhone","NetFront","Mozilla","Windows Media Player"
Honduras ,57.63,26.8,1.45,8.76,2.36,0,0,1.26,0,0,0,0
Uruguay ,49.24,36.18,0,11.96,1.16,0,0,0,0,0,0,0
Estonia ,32.52,49.54,3,8.45,5.57,0,0,0,0,0,0,0
Palestinian Territory ,70.33,19.56,0,6.71,1.68,0,0,0,0,0,0,0
Oman ,70.26,12.27,0,6.71,2.38,0,0,6.09,0,0,0,0
El Salvador ,47.76,39.42,1.64,8.75,1.31,0,0,0,0,0,0,0
Mongolia ,25.2,66.03,0,5.48,1.65,0,0,0,0,0,0,0
Lebanon ,68.12,18.14,2.36,8.27,1.09,0,0,1.15,0,0,0,0
Cyprus ,58.42,28.83,2.15,7.88,1.67,0,0,0,0,0,0,0
Bangladesh ,29.79,42.62,0,7.29,15.4,0,0,2.79,0,0,0,0
Sri Lanka ,34.8,39.25,0,20.09,3.59,0,0,0,0,0,0,0
Montenegro ,31.99,42.5,0,17.12,6.09,0,0,0,0,0,0,0
Iraq ,72.75,13.66,0,4.43,3.84,0,0,3.74,0,0,0,0
Libya ,56.77,18.48,0,10.77,5.5,0,0,6.86,0,0,0,0
Georgia ,30.01,18.31,0,8.12,42.3,0,0,0,0,0,0,0
Belarus ,22.46,25.49,0,5.56,44.43,0,0,0,0,0,0,0
Trinidad and Tobago ,44.25,32.45,3.07,16.86,1.75,0,0,0,0,0,0,0
Moldova ,25.69,48.84,0,11.94,12.04,0,0,0,0,0,0,0
Sudan ,59.48,19.31,0,2.98,8.71,0,0,7.78,0,0,0,0
Iceland ,36.27,41.47,8.46,11.61,1.4,0,0,0,0,0,0,0
Albania ,23.66,46.82,0,26.36,1.38,0,0,0,0,0,0,0
Azerbaijan ,51.8,15,1.14,6.15,24.6,0,0,0,0,0,0,0
Malta ,54.83,26.96,2.67,13.24,1.11,0,0,0,0,0,0,0
Yemen ,68.1,17.86,0,8.76,3.45,0,0,0,0,0,0,0
Nepal ,52.89,28.97,1.09,10.95,5.16,0,0,0,0,0,0,0
Brunei Darussalam ,22.91,37.55,4.93,9.77,8.63,0,0,13.36,0,0,0,0
Nicaragua ,45,44.19,1.24,7.27,1.35,0,0,0,0,0,0,0
Myanmar ,51.62,45.1,0,1.91,0,0,0,0,0,0,0,0
Jamaica ,41.02,38.89,2.84,13.99,1.85,0,0,0,0,0,0,0
Senegal ,30.94,60.95,1.14,5.67,0,0,0,0,0,0,0,0
Luxembourg ,41.27,37.8,7.39,5.2,5.92,0,0,0,1.34,0,0,0
Kazakhstan ,28.52,31.28,0,6.3,32.07,0,0,0,0,0,0,0
Macao ,69.38,18.32,3.16,5.39,0,1.85,0,0,0,0,0,0
Bermuda ,71.12,12.98,10.34,4.17,0,0,0,0,0,0,0,0
Kenya ,36.1,38.41,2.54,6.73,14.44,0,0,0,0,0,0,0
Mauritius ,32.51,46.67,2.18,13.46,3.55,0,0,0,0,0,0,0
Bahamas ,62.92,20.8,5.75,8.08,0,0,0,0,0,0,0,0
Faroe Islands ,65.51,20.04,3.53,8.83,0,0,0,0,0,0,0,0
Ghana ,30.81,52.59,1.59,5.4,7.47,0,0,0,0,0,0,0
Angola ,69.45,16.15,2.43,6.59,2.91,0,0,0,0,0,0,0
Cambodia ,47.83,33.5,2.62,6.2,4.45,0,0,3.17,0,0,0,0
Netherlands Antilles ,63.72,21.97,4.01,8.05,1.02,0,0,0,0,0,0,0
Cote dIvoire ,54.52,29.58,1.23,6.31,4.69,0,0,1.55,0,0,0,0
Barbados ,45.6,37.25,2.95,10.75,2.3,0,0,0,0,0,0,0
Armenia ,27.94,42.02,1.06,13.48,14.19,0,0,0,0,0,0,0
Lao Peoples Democratic Republic ,63.12,24.74,1.32,3.06,4.73,0,0,1.77,0,0,0,0
Ethiopia ,66.86,23.51,0,5.25,2.38,0,0,0,0,0,0,0
Reunion ,36.39,46.08,6.27,7.18,2.06,0,0,0,0,0,0,0
Isle of Man ,61.93,20.01,7.27,7.82,0,0,0,0,0,0,0,0
Guam ,50.11,30.31,6.27,9.39,0,0,0,0,1.33,0,0,0
Tanzania ,60.84,22.12,2.5,5.3,6.85,0,0,1.46,0,0,0,0
Mozambique ,54.17,27.05,2.54,6.18,5.64,0,0,3.47,0,0,0,0
Uganda ,42.88,45.66,2.02,5.72,2.04,0,0,0,0,0,0,0
Maldives ,28.84,50.99,2.77,11.99,3.05,0,0,0,0,0,0,0
Guadeloupe ,49.42,34.83,5.88,7.37,1.34,0,0,0,0,0,0,0
Cameroon ,35.37,58.93,0,3.53,0,0,0,0,0,0,0,0
Martinique ,51.86,32.25,5.36,7.66,1.26,0,0,0,0,0,0,0
Jersey ,54.9,21.9,11.83,7.77,0,0,0,0,0,0,0,0
Aruba ,58.35,26.95,4.4,8.24,0,0,0,0,0,0,0,0
Guernsey ,56.34,18.08,9.75,7.54,5.73,0,0,0,0,0,0,0
Botswana ,59.92,23.96,2.19,8.78,2.68,0,0,0,0,0,0,0
 ,25.83,100,5.54,4.61,6.59,0,0,0,0,0,0,0
Namibia ,59,21.47,2.35,7.35,5.54,0,0,2.08,0,0,0,0
Saint Lucia ,53.04,33.47,2.17,9.69,0,0,0,0,0,0,0,0
Suriname ,58.09,23.92,0,6.05,6.58,0,0,1.88,0,1.4,0,0
Fiji ,51.22,35.88,2.73,8.08,1.09,0,0,0,0,0,0,0
Cayman Islands ,54.8,25.41,9.29,8.01,0,0,0,0,0,0,0,0
Andorra ,60.34,22.87,4.99,8.98,1.45,0,0,0,0,0,0,0
Grenada ,47.79,33.26,5.55,11.35,0,0,0,0,0,0,0,0
Haiti ,68.67,18.35,2.74,7.34,1.11,0,0,0,0,0,0,0
Saint Kitts and Nevis ,54.39,29.22,4.96,9.54,0,0,0,0,0,0,0,0
Cuba ,45.2,47.76,0,2.14,2.92,0,0,0,0,0,1.07,0
Cape Verde ,69.3,21.47,1.66,5.96,1.09,0,0,0,0,0,0,0
Uzbekistan ,27.02,22.54,1.69,5.78,39.82,0,0,1.42,0,0,0,0
Antigua and Barbuda ,55.18,27.91,5.36,9.75,0,0,0,0,0,0,0,0
French Guiana ,48.3,39.76,2.47,7.97,0,0,0,0,0,0,0,0
Djibouti ,78.52,11.98,0,7.19,1.14,0,0,0,0,0,0,0
New Caledonia ,44.89,34.25,8.66,9.98,1.17,0,0,0,0,0,0,0
Afghanistan ,71.36,17.57,2.5,6.03,1.55,0,0,0,0,0,0,0
Zambia ,48.57,32.27,1.78,7.34,7.86,0,0,1.04,0,0,0,0
Guyana ,54.13,32.21,1.49,7.91,2.22,0,0,0,0,0,0,0
Northern Mariana Islands ,57.28,25.62,3.07,11.18,0,0,0,0,0,0,0,0
Saint Vincent and the Grenadines ,50.69,33.45,2.48,10.71,1.07,0,0,0,0,0,0,0
Gibraltar ,54.88,30.76,4.31,7.3,0,0,0,0,0,0,0,0
Belize ,44.33,42.61,2.8,7.01,0,0,0,0,0,0,0,0
Madagascar ,28.89,57.49,2.02,8.21,1.75,0,0,0,0,0,0,0
Zimbabwe ,49.68,31.25,2.37,8.07,5.35,0,0,2.14,0,0,0,0
Mauritania ,61.98,21.7,1.01,10.97,1.06,0,0,2.13,0,0,0,0
Burkina Faso ,60.23,27.86,0,5.76,2.81,0,0,1.73,0,0,0,0
Mali ,56.12,22.42,4.55,5.56,7.46,0,0,1.57,0,0,0,0
Benin ,66.96,26.3,0,3.15,2.09,0,0,0,0,0,0,0
Dominica ,46.08,37.06,4.32,10.74,1.26,0,0,0,0,0,0,0
British Virgin Islands ,62.79,21.52,7.93,5.38,0,0,0,0,0,0,0,0
French Polynesia ,37.25,42.7,11.51,6.07,0,0,0,0,0,0,0,0
Kyrgyz Republic ,47.01,19.67,1.11,4.21,26.14,0,0,0,0,0,0,0
Turks and Caicos Islands ,58.39,22.49,6.96,9.64,0,0,0,0,0,0,0,0
Liechtenstein ,47.26,36.61,8.96,3.91,0,0,0,0,0,0,0,0
Malawi ,54.66,20.54,1.1,3.93,14.53,0,0,3.3,0,0,0,0
Papua New Guinea ,64.72,22.47,1.65,7.34,1.23,0,0,0,0,0,2.31,0
Monaco ,49.48,27.83,13.86,5.91,1.4,0,0,0,0,0,0,0
Greenland ,63.29,25.24,5.26,4.03,1.02,0,0,0,0,0,0,0
Congo (Democratic Republic of the),58.82,25,2.16,6.64,5.1,0,0,1.17,0,0,0,0
Bhutan ,54.37,26.77,1.51,13.24,1.98,0,0,1.45,0,0,0,0
Gabon ,59.24,21.75,2.91,5.66,6.92,0,0,1.1,0,0,0,0
Lesotho ,69.45,19.45,0,3.65,4.62,0,0,0,0,0,0,0
Anguilla ,72.48,17.08,3.78,5.07,0,0,0,0,0,0,0,0
Rwanda ,41.91,39.15,3.27,7.97,5.37,0,0,1.23,0,0,0,0
San Marino ,56.24,25.89,9.18,7.31,0,0,0,0,0,0,0,0
Togo ,51.63,40.44,2.13,3.03,1.75,0,0,0,0,0,0,0
Seychelles ,52.14,33.06,3.15,8.05,2.54,0,0,0,0,0,0,0
Somalia ,91.07,5.78,0,1.66,0,0,0,0,0,0,0,0
Tajikistan ,41.56,19.76,1.3,4.93,31.06,0,0,0,0,0,0,0
Gambia ,37.2,51.63,1.52,3.65,4.12,0,0,0,0,0,0,0
Liberia ,59.81,17.97,3.54,5.14,7.66,0,0,2.06,0,0,2.09,0
Turkmenistan ,46.4,13.95,0,2.56,34.67,0,0,1.22,0,0,0,0
Niger ,55.37,31.04,2.19,4.92,3.89,0,0,1.33,0,0,0,0
American Samoa ,55.51,29.04,8.33,5.82,0,0,0,0,0,0,0,0
Swaziland ,53.3,18.82,1.31,5,16.75,0,0,3.18,0,0,0,0
Equatorial Guinea ,61.13,25.16,2.19,2.72,5.75,0,0,1.46,0,0,0,0
Sierra Leone ,68.27,23.7,0,5.55,0,0,0,0,0,0,0,0
Vanuatu ,50.42,38.42,2.63,6.31,0,0,0,0,0,0,0,1.09
Samoa ,67.09,25.66,1.45,3.2,1.41,0,0,0,0,0,0,0
Saint Pierre and Miquelon ,48.44,41.29,3.92,3.79,1.98,0,0,0,0,0,0,0
Solomon Islands ,70.12,18.63,3.85,4.75,2.09,0,0,0,0,0,0,0
Guinea ,56.18,37.86,0,2.04,1.01,0,0,1.08,0,0,0,0
Holy See (Vatican City State) ,69.22,24.71,0,5.14,0,0,0,0,0,0,0,0
Eritrea ,65.69,29.79,0,2.36,1.43,0,0,0,0,0,0,0
Falkland Islands (Malvinas) ,77.8,12.32,3.88,4.56,1.19,0,0,0,0,0,0,0
Montserrat ,60.79,19.88,2.16,15.93,0,0,0,0,0,0,0,0
Timor-Leste ,42.15,48.17,2.8,4.46,1.89,0,0,0,0,0,0,0
Cook Islands ,60.91,26.78,2.54,7.77,0,1.51,0,0,0,0,0,0
Micronesia ,58.25,32.4,3.69,4.65,0,0,0,0,0,0,0,0
Tonga ,37.68,50.08,5.99,4.51,0,0,0,0,0,0,0,0
Burundi ,50.56,38.26,1.9,5.07,2.26,0,0,0,0,0,0,0
Congo (Republic of the),59.66,24.96,1.73,3.02,4.34,0,0,4.51,0,0,0,0
Palau ,55.71,22.62,6.63,6.41,0,0,0,4.59,0,0,0,2.41
Sao Tome and Principe ,75.17,19.07,0,3.14,0,0,0,0,0,0,0,0
Kiribati ,28.86,59.64,0,9.55,0,0,0,0,0,0,0,0
Marshall Islands ,37.84,47.65,3.15,2.31,0,0,0,0,0,0,7.39,0
Mayotte ,61.15,25.12,8.93,3.94,0,0,0,0,0,0,0,0
Guinea-Bissau ,83.41,12.63,1.18,2.32,0,0,0,0,0,0,0,0
Chad ,45.81,16.49,3.78,2.2,18.43,1.3,0,11.22,0,0,0,0
Comoros ,56,40.19,0,1.89,0,0,0,0,0,0,0,0
Central African Republic ,57.45,32.14,1.6,4.19,3.22,0,0,0,0,0,0,0
Wallis and Futuna ,25.13,41.24,26.98,6.58,0,0,0,0,0,0,0,0
Niue ,47.38,40.88,0,9.32,0,0,0,0,0,0,0,1.28
Tuvalu ,42.1,45.88,0,10.91,0,0,0,0,0,0,0,0
Norfolk Island ,100,0,0,0,0,0,0,0,0,0,0,0
