"Continent","IE","Chrome","Firefox","Safari","Android","iPhone","Opera","BlackBerry","UC Browser","Nokia","NetFront","Dolfin","Maxthon","TheWorld","SeaMonkey","Flock","Comodo Dragon","iPod Touch","Samsung","Obigo","Iron"
El Salvador ,23.78,41.29,28.05,2,0,0,2.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan ,15.61,37.53,9.92,1.26,0,0,32.49,0,0,1.47,0,0,0,0,0,0,0,0,0,0,0
Armenia ,5.26,66.52,20.03,1.16,0,0,5.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia ,18.78,31.87,38.5,2.76,0,0,6.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mongolia ,11.45,21.7,57.82,1.82,1.34,0,3.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Syrian Arab Republic ,26.11,13.37,46.09,1.02,1.37,0,3.12,0,0,5.63,0,0,0,0,0,0,0,0,0,0,0
Estonia ,23.48,28.42,36.87,4.4,0,0,4.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moldova ,9.57,54.88,24.54,0,0,0,8.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Panama ,39.89,32.44,16.2,4.88,2.47,0,1.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honduras ,28.64,36.67,22.12,2.79,1.65,1.27,2.71,1.21,0,1.09,0,0,0,0,0,0,0,0,0,0,0
Trinidad and Tobago ,25.35,43.35,22.32,4.36,0,0,1.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nepal ,11.3,36.43,33.04,1.54,0,0,11.85,0,1.49,1.38,0,0,0,0,0,0,0,0,0,0,0
Oman ,35.57,23.35,14.4,2.25,5.88,1.23,2.26,2.51,2.16,9.53,0,0,0,0,0,0,0,0,0,0,0
Bahrain ,40.96,23.22,12.23,5.78,3.17,4.3,3.59,1.21,0,3.69,0,0,0,0,0,0,0,0,0,0,0
Kenya ,15.38,14.56,39.21,2.52,1.47,0,22.34,0,0,2.14,0,0,0,0,0,0,0,0,0,0,0
Kazakhstan ,13.67,28.94,23.9,1.99,0,0,29.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus ,32.97,33.19,24.61,4.9,1.15,0,1.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palestinian Territory ,28.84,34.2,32.42,0,0,0,1.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myanmar ,48.33,2.42,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamaica ,21.37,42.64,26.18,4.14,0,0,2.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iceland ,22.35,37.96,25.76,10.54,0,0,1.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicaragua ,21.01,39.15,33.11,1.69,0,0,1.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sudan ,17.06,8.44,26.05,0,0,0,27.95,0,0,15.68,0,0,0,0,0,0,0,0,0,0,0
Ghana ,12.05,13.65,46.7,2.71,1.23,0,16.42,0,1.16,2.42,1.16,0,0,0,0,0,0,0,0,0,0
Yemen ,20.49,29.99,36.93,0,0,1.25,7.03,0,0,1.61,0,0,0,0,0,0,0,0,0,0,0
Malta ,32.22,39.27,19.16,5.15,1.1,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritius ,19.36,35.95,33.58,3.2,0,0,3.65,0,0,1.84,0,0,0,0,0,0,0,0,0,0,0
Senegal ,19.82,22.65,50.78,2.29,0,0,1.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Libya ,22.03,32.41,20.57,1.31,0,0,8.87,0,0,12.08,0,0,0,0,0,0,0,0,0,0,0
Cambodia ,12.71,17.72,40.32,4.52,3.43,4.74,7.04,0,1.07,6.04,1.02,0,0,0,0,0,0,0,0,0,0
Luxembourg ,29.03,17.94,32.11,12.94,1.62,3.83,1.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bermuda ,56.26,11.63,10.41,19.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zimbabwe ,12.65,6.2,13.88,1.61,0,0,55.26,0,1.16,4.3,1.07,0,0,0,0,0,0,0,0,0,0
Brunei Darussalam ,11.39,21.61,23.07,7.94,6.33,2.67,14.78,0,0,10.02,0,0,0,0,0,0,0,0,0,0,0
Faroe Islands ,50.26,23.27,10.79,10.45,1.55,2.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiopia ,13.91,14.11,39.51,1.2,0,0,20.61,0,2.74,5.57,0,0,0,0,0,0,0,0,0,0,0
Macao ,39.15,22.96,19.25,7.83,4.27,3.53,0,0,0,0,0,0,1.06,0,0,0,0,0,0,0,0
Barbados ,26.85,35.27,26.88,5.03,1.02,0,1.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahamas ,35.83,31.61,15.89,10,1.3,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reunion ,19.73,22.43,40.34,9.23,2.75,1.93,1.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanzania ,28.29,10.68,32.48,3.33,1.17,0,15.9,0,1.36,4.42,0,0,0,0,0,0,0,0,0,0,0
Angola ,50.08,16.91,16.27,8.23,1.38,0,4.06,0,0,1.06,0,0,0,0,0,0,0,0,0,0,0
Netherlands Antilles ,44.05,25.65,15.92,9.07,0,1.18,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uganda ,23.62,13.68,42.11,2.38,1.23,0,11.6,0,1.01,2.24,0,0,0,0,0,0,0,0,0,0,0
Uzbekistan ,7.61,16.95,14.66,1.43,0,0,51.97,0,0,4.37,0,0,0,0,0,0,0,0,0,0,0
Maldives ,11.09,28.75,43.26,4.28,1.34,1.3,2.77,0,1.08,4.74,0,0,0,0,0,0,0,0,0,0,0
Lao Peoples Democratic Republic ,22.56,15.05,23.41,2.81,1.32,2.02,20.39,0,0,10.57,0,0,0,0,0,0,0,0,0,0,0
Suriname ,44.49,24.73,21.07,3.29,0,0,2.46,1.21,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon ,14.91,10.88,65.03,1.6,0,0,4.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cote dIvoire ,17.19,28.83,36.9,1.96,0,0,7.86,0,0,2.38,0,0,0,0,0,0,0,0,0,0,0
Isle of Man ,42.43,20.42,16.19,14.91,1.48,2.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zambia ,19.27,7.3,17.44,2.77,1.16,0,45.02,0,0,2.81,0,0,0,0,0,0,0,0,0,0,0
Mozambique ,35.6,17.46,22.35,3.99,0,0,11.57,0,0,5.57,0,0,0,0,0,0,0,0,0,0,0
