"Continent","Chrome","IE","Firefox","Safari","iPhone","Android","Yandex Browser","Opera","UC Browser","Nokia","NetFront","BlackBerry","Sogou Explorer","Maxthon","QQ Browser","360 Safe Browser","CoRom+","Puffin","IEMobile","Chromium","iPod Touch","Silk","Sony PS3","Phantom","Iron"
Seychelles ,24.95,23.37,23.96,6.71,2.22,5.65,0,5.5,2.46,2.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
San Marino ,25.56,27.37,22.3,16.71,3.25,3.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cook Islands ,7.06,16.26,8.84,2.94,0,1.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.64
Greenland ,20.23,34.44,10.35,16.47,5.69,5.99,0,4.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lesotho ,14.81,26.28,10.92,2.33,0,1.88,0,27.53,4.38,9.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkmenistan ,20.22,8.49,6.03,2.33,7.45,21.88,1.22,12.05,6.75,11.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Swaziland ,18.04,22.96,12.88,3.54,1.02,3.07,0,29.84,0,5.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Timor-Leste ,8.99,10.63,28.25,2.84,1.23,3.51,0,30.21,2.43,10.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
British Virgin Islands ,33.25,36.82,9.75,12.08,2.06,2.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Niger ,13.11,15.88,19.03,3.15,1.12,4.93,0,19.51,9.44,9.99,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17,0
Congo (Republic of the),16.25,16.41,23.43,6.52,1.78,6.92,0,18.97,3.49,1.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American Samoa ,40.04,17.18,22.6,12.87,1.16,3.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.01,0,0,0,0
Burundi ,23.11,17.13,33.28,5.18,1.03,2.79,0,7.91,6.54,1.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equatorial Guinea ,24.37,19.21,20.97,3.99,1.33,5.56,0,17.26,3.28,2.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Samoa ,17.91,30.65,30.17,2.53,0,4.77,0,7.85,1.75,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Micronesia ,38.78,25.93,23.31,6.08,0,1.91,0,0,0,0,0,1.71,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Martin ,36.4,22.06,13.42,18.89,1.98,3.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marshall Islands ,37.66,16.32,31.72,6.59,1.21,3.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.27,0,0,0,0
Sao Tome and Principe ,33.34,32.23,26.5,4.05,0,0,0,1.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anguilla ,39.82,26.87,12.63,12.04,1.37,3.47,0,0,0,0,0,1.54,0,0,0,0,0,0,0,0,0,1,0,0,0
Vanuatu ,30.53,22.65,24.94,8.06,1.26,4.54,0,2.67,0,0,0,0,0,2.61,0,0,0,0,0,0,0,0,0,0,0
Tonga ,20.23,18.9,50.36,5.85,0,1.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comoros ,36.73,19.39,32.99,2.19,0,2.58,0,2.79,0,0,0,0,0,1.14,0,0,0,0,0,0,0,0,0,0,0
Solomon Islands ,17.68,25.68,13.56,3.86,2.11,6.08,0,15.99,4.19,9.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Holy See (Vatican City State) ,24.89,46.38,20.95,5.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Pierre and Miquelon ,38.46,18.3,28.94,9.51,0,1.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.08,0,0,0,0
Guinea ,21.07,23.19,24.35,9.73,1.78,4.68,0,8.4,1.73,2.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eritrea ,7.62,13.68,74.47,0,0,0,0,1.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palau ,34.26,23.12,23.42,6.95,1.31,6.75,0,0,0,1.17,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic ,22.45,20.6,34.34,11.04,0,3.97,0,4.35,0,1.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Falkland Islands (Malvinas) ,16.08,38.77,13.34,10.27,2.28,1.27,0,16.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wallis and Futuna ,41.74,9.85,37.1,5.14,0,1.28,0,3.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kiribati ,28.37,20.83,45.41,3.11,0,1.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chad ,24.52,29.36,34.4,2.31,0,2.02,0,2.35,0,0,0,0,2.96,0,0,0,0,0,0,0,0,0,0,0,0
Saint Helena ,26.46,53.8,16.21,2.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Korea ,32.4,30.15,32.39,1.44,0,1.26,0,0,0,0,0,0,1.03,0,0,0,0,0,0,0,0,0,0,0,0
Montserrat ,28.93,65.69,5.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea-Bissau ,14.28,50.75,30.06,3.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuvalu ,50.9,10.01,34.77,1.59,0,0,0,0,1.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niue ,23.51,43.3,20.8,11.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nauru ,65.81,17.45,8.01,2.43,1.14,5.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tokelau ,13.96,28.38,55.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norfolk Island ,15,60,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Svalbard & Jan Mayen Islands ,20,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
