"Continent","IE","Chrome","Firefox","Safari","iPhone","Android","Opera","UC Browser","Nokia","NetFront","Dolfin","BlackBerry","Sogou Explorer","360 Safe Browser","Maxthon","QQ Browser","IEMobile","iPod Touch","Sony PS3","Obigo","RockMelt","AppleWebKit","Samsung","Openwave Mobile Browser","Unknown","Pale Moon"
New Zealand ,28.31,31.58,18.86,12.96,2.63,2.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine ,10.79,30.86,25.61,2.07,0,0,28.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay ,17.75,43,28.71,1.42,0,3.7,2.46,0,1.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria ,14.24,34.41,44.55,0,0,0,2.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tunisia ,9.57,58.87,22.46,1.68,0,1.24,2.49,0,1.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iraq ,23.96,39.43,23.17,1.74,1.46,3.76,2.7,0,2.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iran ,35.34,12.17,34.64,1.09,0,2.2,4.67,5.84,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania ,10.47,55.35,25.3,2.2,1.7,1.31,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macedonia ,5.92,55.38,32.16,0,0,1.39,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka ,13.4,34.45,32.48,1.17,0,1.28,8.8,1.3,3.49,1.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic ,14.7,57.79,17.49,3.74,0,1.44,1.77,0,0,0,0,1.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovenia ,23.23,27.73,40.62,3.42,0,1.95,1.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangladesh ,5.22,15.81,40.3,0,0,1.23,20.2,4.93,7.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovakia (Slovak Republic) ,12.43,37.96,33.94,2.41,0,1.91,9.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uruguay ,17.5,53.53,24.29,1.38,0,0,1.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guatemala ,27.44,37.44,20.28,4.45,2.16,2.62,2.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania ,18.39,31.94,36.93,2.09,0,1.14,8.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nigeria ,10.09,9.05,22.02,4.09,0,1.43,38.49,5.43,7.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan ,17.53,47.77,15.52,2.35,1.28,3.68,6.9,0,3.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Costa Rica ,22.26,37.01,20.29,4.53,1.9,4.26,4.24,0,3.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Qatar ,30.92,35.95,11.7,5.59,1.54,3.15,5.05,0,3.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan ,10.35,38.56,7.3,1.35,0,2.15,37.02,0,1.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia ,31.7,28.96,32.05,2.25,0,1.94,1.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belarus ,9.87,25.9,19.36,1.27,0,0,40.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puerto Rico ,28.11,29.96,16.31,10.35,3.06,7.8,0,0,0,0,0,0,0,0,0,0,0,1.41,1.02,0,0,0,0,0,0,0
Georgia ,5.98,48.35,11.94,1.35,0,0,30.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Salvador ,20.78,44.02,26.08,2.54,0,1.4,2.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montenegro ,10.89,45.95,30.93,1.81,0,1.92,5.84,0,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kuwait ,27.22,22.11,10.34,7.11,9.53,7.85,8.95,0,2.34,0,0,2.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Panama ,35.69,36.78,14.41,4.92,0,4.74,1.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia ,16.18,35.59,36.7,3.23,0,1.35,5.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moldova ,10.27,56.55,21.45,1.28,0,0,8.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palestinian Territory ,22,42.84,28.27,0,0,1.55,1.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honduras ,25.4,40.84,20.99,3.55,1.45,2,2.73,0,0,0,0,1.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trinidad and Tobago ,22.35,45.14,19.67,5.31,0,2.21,1.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonia ,20.2,33.85,33.42,5.03,0,1.59,4.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenya ,12.38,15.81,38.89,3.09,0,2.53,22.23,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armenia ,4.51,67.85,18.9,1.7,0,0,5.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus ,30.77,34.83,22.19,6.26,1.27,2.18,1.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kazakhstan ,12.6,34.8,20.97,2.8,0,1.47,24.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nepal ,9.03,38.47,30.2,2.18,1.29,1.72,12.76,1.58,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myanmar ,36.93,3.42,37.39,1.68,1.41,15.51,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Syrian Arab Republic ,17.52,17.98,43.31,1.25,1.13,5.07,4.06,0,6.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lebanon ,25.99,29.86,17.37,7.54,4.07,7.79,2.88,0,2.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Faroe Islands ,49.13,22.63,9.77,13.25,2.17,2.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iceland ,17.92,44.32,22.74,11.3,0,0,1.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahrain ,33.09,23.66,11.23,6.81,4.84,9.56,2.11,1.26,4.64,0,0,1.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yemen ,13.21,32.98,35.85,1.14,2.67,3.11,7.72,0,1.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
