"Continent","IE","Chrome","Firefox","Safari","iPhone","Android","Opera","UC Browser","Nokia","NetFront","Dolfin","BlackBerry","Sogou Explorer","360 Safe Browser","Maxthon","QQ Browser","IEMobile","iPod Touch","Sony PS3","Obigo","RockMelt","AppleWebKit","Samsung","Openwave Mobile Browser","Unknown","Pale Moon"
Djibouti ,24.08,28.27,27.63,2.09,0,1.67,9.63,1.74,2.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turks and Caicos Islands ,33.06,35.78,14.83,11.25,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkina Faso ,23.97,18.07,35.09,3.21,0,1.8,9.62,1.89,1.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
San Marino ,32.18,24.03,25.31,13.53,1.89,1.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo (Democratic Republic of the),24.93,16.19,29.46,4.2,0,2.28,11.1,2.25,4.8,1.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greenland ,44.47,18.59,13.64,13.52,2.13,2.31,1.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.65,0,0,0,0
Gambia ,13.83,13.4,43.33,3.73,2.64,4.01,11.62,2.47,2.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mali ,19.42,14.02,24.61,3.13,1.26,3.32,13.21,2.29,7.35,3.46,1.23,0,0,0,0,0,0,0,0,0,0,0,1.45,1.41,0,0
Seychelles ,31.12,20.63,30.5,5.01,0,1.52,4.94,0,3.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lesotho ,47.82,11.1,16.94,2.92,0,0,15.22,0,2.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Swaziland ,38.38,15.03,19.48,3.51,1.19,2.69,5.64,3.12,8.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkmenistan ,13.51,13.43,8.34,3.41,5.4,20.59,14.56,7.32,10.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sierra Leone ,12.03,4.08,13.87,3.78,1.24,4.37,46.29,4.49,7.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Timor-Leste ,18.15,16.57,43.8,4.74,0,2.24,10.21,0,1.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anguilla ,38.02,30.02,14.53,11.11,0,1.16,1.09,0,0,0,0,1.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mayotte ,24.17,30.17,28.91,5.67,0,4.64,3.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo (Republic of the),26.1,15.25,31.91,5.91,1.1,5.04,8.34,1.14,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liberia ,24.65,13.3,19.03,4.77,1.79,4.08,17.49,3.24,8.31,0,0,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niger ,21.86,11.43,21.51,3.21,0,2.23,17.19,3.77,12.9,1.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American Samoa ,24.37,30.25,24.11,16.92,0,1.19,0,0,0,0,0,0,0,0,0,0,0,1.65,0,0,0,0,0,0,0,0
Micronesia ,23.76,29.89,37.16,5.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Samoa ,32.89,12.49,37.94,3.89,0,1.33,7.8,0,1.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burundi ,28.26,16.43,37.1,4.14,0,1.76,8.34,0,1.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equatorial Guinea ,27.99,13.28,26.1,3.4,1.08,1.64,19.41,1.23,4.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solomon Islands ,30.81,11.6,13.52,7.06,0,2.92,22.21,1.4,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vanuatu ,33.08,21.66,33.26,7.92,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Holy See (Vatican City State) ,57.64,16.27,22.27,3.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea ,29.12,18.04,27.47,11.21,1.67,2.9,6.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Pierre and Miquelon ,24.21,27.4,36.07,10.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tonga ,22.28,16.61,50.66,7.53,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cook Islands ,41.62,18.19,26.47,9.55,0,1.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Falkland Islands (Malvinas) ,65.8,10.4,11.75,7.61,2.24,0,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eritrea ,21.73,5.73,62.61,0,0,0,6.31,0,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comoros ,24.72,20.86,27.11,1.46,0,0,24.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sao Tome and Principe ,50.88,16.13,22.79,6.43,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chad ,12.34,4.31,10.19,1.03,0,3.37,27.71,0,29.27,2.98,0,0,1.47,0,0,0,0,0,0,0,0,0,1.6,0,1.08,0
Marshall Islands ,23.46,30.37,35.56,4.89,1.28,2.23,0,0,0,0,0,0,0,0,0,0,0,1.14,0,0,0,0,0,0,0,0
Palau ,25.72,26,32.11,9.38,0,2.33,0,0,0,0,0,0,0,0,0,0,0,2.09,0,0,0,0,0,0,0,0
Central African Republic ,32.01,11.45,39.66,6.91,0,1.73,4.76,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montserrat ,43.04,26.86,19.81,4.85,0,1.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.19,0,0,0,0,0
Kiribati ,29.64,21.64,42.72,2.24,0,2.25,1.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Helena ,62.9,23.39,8.85,3.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Korea ,35.02,31.46,29.66,2.02,0,0,1.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea-Bissau ,68.02,5.11,24.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wallis and Futuna ,16.03,32.78,42.93,6.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuvalu ,19.52,32,42.46,2.41,3.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nauru ,53.54,21.55,12.46,0,0,0,11.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niue ,44.93,2.42,23.19,8.21,0,4.83,16.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norfolk Island ,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pitcairn Islands ,76.09,19.57,4.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christmas Island ,79.49,0,20.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tokelau ,4.35,0,30.43,0,0,0,65.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Georgia and the South Sandwich Islands ,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
