"Continent","IE","Chrome","Firefox","Safari","iPhone","Android","Yandex Browser","Opera","BlackBerry","UC Browser","Nokia","NetFront","Sogou Explorer","360 Safe Browser","Maxthon","QQ Browser","IEMobile","iPod Touch","Silk","Obigo","Phantom","Iron","Pale Moon"
Swaziland ,29.78,19.44,14.07,4.12,0,2.64,0,23.53,0,0,2.84,0,0,0,0,0,0,0,0,0,0,0,0
Liberia ,17.74,14.07,13.01,4.88,1.54,4.63,0,24.63,0,7.85,9.75,0,0,0,0,0,0,0,0,0,0,0,0
Niger ,21.34,13.3,25.43,3.39,1.36,4.51,0,13.6,0,4.98,7.98,0,0,0,0,0,0,0,0,0,0,0,0
Anguilla ,35.61,30.67,12.59,13.43,1.62,2.03,0,0,1.33,0,0,0,0,0,0,0,0,0,1.09,0,0,0,0
Burundi ,19.63,17.51,38.04,3.56,0,5.53,0,10.66,0,2.12,0,0,0,0,0,0,0,0,0,0,0,0,0
Equatorial Guinea ,24.55,18.72,27.02,5.29,0,4.72,0,12.2,0,2.09,2.42,0,0,0,0,0,0,0,0,0,0,0,0
Congo (Republic of the),18.75,15.98,26.69,6.18,1.74,7.04,0,15.1,0,2.06,2.17,0,0,0,0,0,0,0,0,0,0,0,0
American Samoa ,18.21,29.07,20.79,21.96,1.41,4.95,0,1.18,0,0,0,0,0,0,0,0,0,1.7,0,0,0,0,0
Guinea ,20.19,15.41,25.92,9.39,2.26,5.08,0,15.44,0,0,1.23,0,0,0,0,0,0,1.39,0,0,0,0,0
Sao Tome and Principe ,46.13,26.57,19.06,4.1,0,0,0,1.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Micronesia ,24.92,33.18,29.86,7.3,0,2.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Samoa ,36.78,18.61,22.72,3.55,1.13,4.36,0,8.29,0,0,2.85,0,0,0,0,0,0,0,0,0,0,0,0
Vanuatu ,28.4,24.08,25.13,6.52,1.59,3.99,0,5.93,0,1.09,1.91,0,0,0,0,0,0,0,0,0,0,0,0
Holy See (Vatican City State) ,53.16,16.19,25.93,3.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solomon Islands ,29.51,17.41,14.2,6.63,4.1,4,0,13.86,0,2.36,6.72,0,0,0,0,0,0,0,0,0,0,0,0
Marshall Islands ,20.17,33.83,26.95,10.85,1.03,2.84,0,1.31,0,0,0,0,0,0,0,0,0,1.22,0,0,0,0,0
Saint Pierre and Miquelon ,19.74,35.79,29.09,10.88,0,1.57,0,0,0,0,0,0,0,0,0,0,0,1.22,0,0,0,0,0
Tonga ,19.03,17.77,47.5,5.81,1.06,6.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chad ,12.78,4.82,11.71,2.52,1.12,2.53,0,31.63,0,2.65,22.69,1.33,1.91,0,0,0,0,0,0,0,1.06,0,0
Saint Martin ,18.15,29.93,20.28,21.79,4.01,2.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eritrea ,17.54,7.43,70.6,0,0,0,0,2.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montserrat ,23.3,47.93,11.86,10.69,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.92
Comoros ,19.49,25.92,25.29,1.62,0,2.38,0,22.75,0,0,0,0,0,0,1.11,0,0,0,0,0,0,0,0
Palau ,18.2,39.46,22.37,7.07,0,1.91,0,1.01,0,0,0,0,0,0,0,0,0,8.11,0,0,0,0,0
Central African Republic ,28.07,14.01,42.76,3.57,2.22,2.09,0,6.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Falkland Islands (Malvinas) ,46.73,19.95,15.06,11.35,2.33,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Helena ,55.64,30.12,11.73,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Korea ,31.22,29.84,33.59,1.93,0,0,0,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kiribati ,22.52,23.65,50.78,2.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wallis and Futuna ,14.98,35.63,37.31,7.16,0,2.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea-Bissau ,51.85,7.39,39.19,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nauru ,73.65,14.26,9.03,2.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuvalu ,15.75,45.13,30.71,8.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tokelau ,21.27,0,73.67,1.27,0,2.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niue ,14.47,16.45,16.45,44.08,1.32,4.61,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0
Western Sahara ,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norfolk Island ,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christmas Island ,0,54.84,32.26,0,0,0,0,12.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Barthelemy ,15.79,10.53,47.37,0,0,0,0,26.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
