"Continent","IE","Chrome","Firefox","Safari","iPhone","Android","Yandex Browser","Opera","BlackBerry","UC Browser","Nokia","NetFront","Sogou Explorer","360 Safe Browser","Maxthon","QQ Browser","IEMobile","iPod Touch","Silk","Obigo","Phantom","Iron","Pale Moon"
Denmark ,27.52,32.11,12.82,16.9,6.1,3.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland ,14.88,29.17,29.21,8.75,3.88,4.2,0,1.59,0,0,5.11,0,0,0,0,0,2.43,0,0,0,0,0,0
Bosnia and Herzegovina ,6.9,50.08,35.87,1.58,0,1.84,0,2.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway ,24.1,33.49,15.62,15.51,4.21,3.62,0,2.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria ,22.13,23.79,33.73,9.09,2.99,5.64,0,1.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland ,27.54,20,23.4,17.73,5.8,3.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tunisia ,7.49,62.85,19.48,1.74,1.22,2,0,1.99,0,0,1.53,0,0,0,0,0,0,0,0,0,0,0,0
Iraq ,16.73,43.02,20.55,2.54,2.93,8.06,0,2.04,0,0,2.69,0,0,0,0,0,0,0,0,0,0,0,0
Ecuador ,14.02,45.31,29.85,3.08,1.05,3.07,0,1.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czech Republic ,22.4,34.69,30.55,3.02,0,2.34,0,4.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Zealand ,24.47,34.91,16.21,14.18,3.76,3.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hong Kong ,31.3,28.4,12.99,10.34,4.28,10.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Croatia ,14.72,37.44,36.59,2.59,1.6,3.36,0,2.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine ,9.88,36.56,25.22,2.59,0,1.42,1.44,20.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Africa ,30.91,20.72,13.11,7.18,1.95,4.17,0,9.23,9.35,0,1.91,0,0,0,0,0,0,0,0,0,0,0,0
Iran ,29.02,16.13,37,1.59,1.33,4.14,0,5.67,0,0,2.55,0,0,0,0,0,0,0,0,0,0,0,0
Albania ,8.64,56.24,23.81,2.56,2.66,2.31,0,2.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic ,10.92,61.61,15.35,3.84,1.76,2.5,0,1.4,1.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka ,9.81,38.21,31.12,1.5,0,3.07,0,8.29,0,2.04,2.8,1.08,0,0,0,0,0,0,0,0,0,0,0
Macedonia ,5.58,57.09,29.76,1.03,0,2.53,0,2.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guatemala ,23.48,41.51,18.02,4.13,3.09,4.24,0,2.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uruguay ,12.63,59.12,22.47,1.64,0,1.44,0,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangladesh ,3.94,15.63,35.55,0,0,2.48,0,20.56,0,10.08,7.52,0,0,0,0,0,0,0,0,0,0,0,0
Slovakia (Slovak Republic) ,13.3,40.54,31.77,2.96,0,3.28,0,6.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovenia ,20.41,32.65,37.49,3.95,0,2.9,0,1.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nigeria ,7.69,10.12,17.86,3.78,0,2.56,0,37.18,0,11.69,7,0,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan ,8.54,50.51,6.25,1.86,1.47,3.98,2.1,22.31,0,0,1.74,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania ,16.05,37.7,35.21,2.44,0,1.99,0,4.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan ,17.01,47.39,13.57,2.6,1.96,6.41,0,5.46,0,0,4.03,0,0,0,0,0,0,0,0,0,0,0,0
Costa Rica ,17.44,40.24,17.36,4.97,2.8,6.96,0,4.39,0,0,3.66,0,0,0,0,0,0,0,0,0,0,0,0
Qatar ,24.09,39.48,10.68,6.89,2.38,5.85,0,4.9,0,1.38,2.9,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia ,24.64,34.22,30.66,2.62,1.23,3.32,0,1.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay ,13.92,47.2,23.87,1.24,0,4.79,0,4.08,0,0,3.12,0,0,0,0,0,0,0,0,0,0,0,0
Georgia ,4.8,59.31,11.19,1.66,0,0,0,19.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Salvador ,17.26,47.81,22.64,3,1.1,2.62,0,3.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puerto Rico ,23.9,31.98,15.05,10.87,3.95,9.67,0,0,0,0,0,0,0,0,0,0,0,1.7,0,0,0,0,0
Montenegro ,8.76,49.37,28,1.94,0,3.93,0,4.38,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0
Trinidad and Tobago ,19.22,49.82,15.98,5.86,1.06,4.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palestinian Territory ,16.63,47.82,27.03,1.2,1.16,2.69,0,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus ,23.39,40.19,21.99,6.45,1.71,3.21,0,1.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia ,13.01,41.33,34.19,3.83,0,1.91,0,3.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nepal ,6.48,38.47,25.77,2.25,1.78,3.15,0,14.01,0,4.06,1.84,0,0,0,0,0,0,0,0,0,0,0,0
Estonia ,17.76,40.02,30.8,5.22,0,2.29,0,2.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Panama ,30.82,39.48,11.97,5.78,1.14,7.96,0,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kazakhstan ,11.32,42.81,18.18,3.38,1.61,3.18,1.35,15.7,0,0,1.03,0,0,0,0,0,0,0,0,0,0,0,0
Kuwait ,22.47,24.91,9.16,7.93,11.73,10.15,0,9.2,1.44,0,1.18,0,0,0,0,0,0,0,0,0,0,0,0
Belarus ,9.42,33.29,19.83,1.87,0,1.72,0,30.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
