"Continent","IE","Firefox","Chrome","Safari","BlackBerry","Android","iPhone","Nokia","Opera","Maxthon","UC Browser","NetFront","Sony PS3","Bolt","iPod Touch","Windows Media Player","Camino","Mozilla","Sony PSP"
Kuwait ,67.54,11.98,10.32,3.08,0,0,1.63,2.54,0,0,0,0,0,0,0,0,0,0,0
New Zealand ,44.71,26.49,16.43,9.05,0,0,0,0,1.16,0,0,0,0,0,0,0,0,0,0
Slovenia ,32.4,50.37,11.78,1.8,0,0,0,0,2.93,0,0,0,0,0,0,0,0,0,0
Bosnia and Herzegovina ,15.86,48.63,29.38,0,0,0,0,0,5.15,0,0,0,0,0,0,0,0,0,0
Paraguay ,35.55,39.45,22.55,0,0,0,0,0,1.02,0,0,0,0,0,0,0,0,0,0
Guatemala ,48.35,26.84,17.19,2.65,1.93,0,0,0,1.14,0,0,0,0,0,0,0,0,0,0
Slovakia (Slovak Republic) ,21.55,44.3,18.93,1.54,0,0,0,0,12.52,0,0,0,0,0,0,0,0,0,0
Jordan ,54.23,18.11,21.3,0,0,0,0,2.64,1.93,0,0,0,0,0,0,0,0,0,0
Algeria ,45.2,38.24,13.29,0,0,0,0,0,2.19,0,0,0,0,0,0,0,0,0,0
Macedonia ,15.01,47.88,32.56,0,0,0,0,0,3.55,0,0,0,0,0,0,0,0,0,0
Qatar ,61.03,13.99,16.03,3.14,0,0,0,2.54,1.57,0,0,0,0,0,0,0,0,0,0
Lithuania ,31.14,41.57,15.52,1.28,0,0,0,0,9.75,0,0,0,0,0,0,0,0,0,0
Puerto Rico ,46.5,24.36,17.14,6.68,0,0,0,0,0,0,0,0,1.19,0,0,0,0,0,0
Bangladesh ,24.2,46.73,9.91,0,0,0,0,2.6,14.3,0,0,0,0,0,0,0,0,0,0
Syrian Arab Republic ,61.74,24.97,4.34,0,0,0,0,2.87,4.54,0,0,0,0,0,0,0,0,0,0
Bahrain ,73.41,10.63,9.87,2.56,0,0,0,1.36,0,0,0,0,0,0,0,0,0,0,0
Tunisia ,19.4,37.42,39.27,0,0,0,0,0,1.75,0,0,0,0,0,0,0,0,0,0
Nigeria ,29.24,31.07,6.72,1.21,0,0,0,2.38,25.77,0,0,0,0,2.17,0,0,0,0,0
Iraq ,65.77,17.21,9.43,0,0,0,0,3.33,3.2,0,0,0,0,0,0,0,0,0,0
Honduras ,46.47,23.03,15.79,1.73,1.23,0,0,3.79,2.14,0,0,3.1,0,0,0,0,0,0,0
Costa Rica ,39.24,29.24,15.78,3.52,0,0,0,5.92,2.24,0,0,2.53,0,0,0,0,0,0,0
Latvia ,26.91,44.79,17.97,1.68,0,0,0,0,7.93,0,0,0,0,0,0,0,0,0,0
Belarus ,16.23,23.88,7.78,0,0,0,0,0,50.32,0,0,0,0,0,0,0,0,0,0
Bolivia ,60.4,26.02,10.04,1.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonia ,30.57,43.71,15.62,3.23,0,0,0,0,6.04,0,0,0,0,0,0,0,0,0,0
Panama ,56.45,20.26,16.51,3.56,0,0,0,0,1.02,0,0,0,0,0,0,0,0,0,0
Sri Lanka ,29.45,35.89,26.51,0,0,0,0,0,5.49,0,0,0,0,0,0,0,0,0,0
Dominican Republic ,37.36,29.97,24.47,3.22,2.44,0,0,0,1.41,0,0,0,0,0,0,0,0,0,0
Palestinian Territory ,61.92,22.11,12.52,0,0,0,0,0,1.55,0,0,0,0,0,0,0,0,0,0
Lebanon ,58.34,16.7,17.56,2.82,0,0,0,1.5,1.87,0,0,0,0,0,0,0,0,0,0
Mongolia ,19.53,68.46,8.55,0,0,0,0,0,1.82,0,0,0,0,0,0,0,0,0,0
Oman ,57.8,13.69,12.87,1.02,0,0,0,10.29,2.34,0,0,0,0,0,0,0,0,0,0
Albania ,16.29,30.54,48.6,0,0,0,0,1.24,1.87,0,0,0,0,0,0,0,0,0,0
Uruguay ,39.12,32.69,24.98,1.23,0,0,0,0,1.22,0,0,0,0,0,0,0,0,0,0
Cyprus ,49.88,28.01,16.69,2.63,0,0,0,0,1.73,0,0,0,0,0,0,0,0,0,0
Montenegro ,22.01,36.74,29.12,0,0,0,0,0,9.83,0,0,0,0,0,0,0,0,0,0
El Salvador ,38.29,36.55,18.01,2.04,1.01,0,0,0,2.17,0,0,0,0,0,0,0,0,0,0
Georgia ,18.7,19.67,18.99,0,0,0,0,0,41.38,0,0,0,0,0,0,0,0,0,0
Moldova ,18.25,42.26,24.51,0,0,0,0,0,13.93,0,0,0,0,0,0,0,0,0,0
Libya ,45.4,18.99,20.45,0,0,0,0,7.44,6.08,0,0,0,0,0,0,0,0,0,0
Nicaragua ,36.32,43.37,15.53,1.21,0,0,0,0,1.16,0,0,0,0,0,0,0,0,0,0
Trinidad and Tobago ,36.74,27.62,29.19,3.27,0,0,0,0,1.53,0,0,0,0,0,0,0,0,0,0
Kazakhstan ,23.39,29.25,9.63,1.08,0,0,0,0,35.88,0,0,0,0,0,0,0,0,0,0
Yemen ,54.09,25.1,14.92,0,0,0,0,1.27,3.4,0,0,0,0,0,0,0,0,0,0
Sudan ,46.96,22.35,4.49,0,0,0,0,11.17,12.86,0,0,0,0,0,0,0,0,0,0
Kenya ,28.78,37.02,8.75,1.86,0,0,0,1.87,20.09,0,0,0,0,0,0,0,0,0,0
Iceland ,29.97,36.12,21.52,9.75,0,0,0,0,1.81,0,0,0,0,0,0,0,0,0,0
Brunei Darussalam ,17.12,30.61,16.2,5.23,0,0,1.09,18.6,7.77,0,0,1.23,0,0,0,0,0,0,0
Azerbaijan ,38.31,16.86,12.4,1.29,0,0,0,0,29.82,0,0,0,0,0,0,0,0,0,0
Ghana ,21.87,53.64,7.43,1.72,0,0,0,1.04,12.04,0,0,0,0,0,0,0,0,0,0
Malta ,48.09,23.46,22.26,3.32,0,0,0,0,1.48,0,0,0,0,0,0,0,0,0,0
