"Continent","IE","Chrome","Firefox","Safari","Android","iPhone","Opera","Nokia","UC Browser","NetFront","Dolfin","BlackBerry","Sogou Explorer","360 Safe Browser","Maxthon","QQ Browser","IEMobile","iPod Touch","Sony PS3","Obigo","Samsung","Openwave Mobile Browser","Unknown","Phantom","RockMelt"
Sierra Leone ,11.7,5.02,13.72,3.59,4.6,1.09,44.49,7.72,4.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkmenistan ,13.87,14.08,8.55,2.97,19,4.98,18.78,10.52,4.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anguilla ,37.43,32.66,12.21,10.51,0,1.14,0,0,0,0,0,2.17,0,0,0,0,0,1.1,0,0,0,0,0,0,0
Niger ,20.26,9.87,22.08,2.46,1.46,0,17.04,15.11,4.87,1.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo (Republic of the),24.2,13.18,33.7,5.03,3.86,1.11,10.91,1.84,1.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burundi ,32.8,14.19,38.3,3.48,1.91,0,5.9,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liberia ,26.73,14.36,20.21,5.4,4.13,1.78,16.23,6.42,1.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American Samoa ,26.09,31.92,25.13,11.94,1.45,0,0,0,0,0,0,0,0,0,0,0,0,1.35,0,0,0,0,0,0,0
Micronesia ,22.23,33.93,35.27,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Timor-Leste ,24.92,25.33,43.31,3.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vanuatu ,40.66,17.5,26.7,9.15,1.66,1.15,1.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Samoa ,28.84,12.57,34.54,5.03,1.45,0,12.11,2.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea ,29.76,17.41,33.33,5.09,3.11,1.2,6.73,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equatorial Guinea ,29.37,14.02,29.37,4.69,1.84,0,14.2,3.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Holy See (Vatican City State) ,62.63,16.42,18.92,1.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solomon Islands ,50.64,17.76,18.04,9.16,0,0,1.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cook Islands ,47.23,13.16,24.23,10.68,1.94,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Pierre and Miquelon ,24.58,24.97,35.64,12.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mayotte ,29.58,26.45,30.71,5.58,2.15,0,3.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eritrea ,20.37,5.39,68.56,0,0,0,2.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comoros ,32.57,25.02,35.99,2.3,0,0,1.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Falkland Islands (Malvinas) ,68.26,10.57,12.3,4.81,1.51,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tonga ,27.32,15.1,51.61,4.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chad ,10.75,3.08,7.41,1.11,3.03,0,27.21,32.83,0,3.75,0,1.61,0,0,0,0,0,0,0,2.31,1.3,0,1.29,1.26,0
North Korea ,28.6,20.76,47.45,1.45,0,0,1.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sao Tome and Principe ,48.46,16.72,24.7,5.17,0,0,2.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palau ,27.04,24.77,31.45,10.83,1.99,0,0,0,0,0,0,0,0,0,0,0,0,1.63,0,0,0,0,0,0,0
Marshall Islands ,25.78,19.33,42.88,5.53,2.15,1.39,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kiribati ,24.43,25.08,43.91,0,3.63,0,1.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Helena ,70.98,19.9,5.78,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic ,38.24,12.85,31.56,7.57,1.59,0,3.23,0,0,0,0,0,1.99,0,0,0,0,0,0,0,0,0,0,0,0
Wallis and Futuna ,15.31,45.69,33.9,3.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montserrat ,26.65,33,22.68,10.27,1.86,0,2.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.08
Guinea-Bissau ,54.45,4.8,38.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuvalu ,9.53,33.11,57.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nauru ,58.52,6.63,30.69,1.82,1.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niue ,64.67,1.78,28.89,3.56,0,0,1.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christmas Island ,92.86,0,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norfolk Island ,91.18,8.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tokelau ,0,0,80,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western Sahara ,83.33,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pitcairn Islands ,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
