"Continent","IE","Chrome","Firefox","Safari","Android","iPhone","Opera","Nokia","UC Browser","NetFront","Dolfin","BlackBerry","Sogou Explorer","360 Safe Browser","Maxthon","QQ Browser","IEMobile","iPod Touch","Sony PS3","Obigo","Samsung","Openwave Mobile Browser","Unknown","Phantom","RockMelt"
Hong Kong ,38.14,23.16,14.21,9.5,8.16,3.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland ,31.32,17.28,25.57,16.48,2.5,4.45,1.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denmark ,35.31,27.78,14.86,14.6,2.24,3.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria ,26.95,19.21,35.87,8.09,4.04,2.24,2.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway ,27.84,29.12,17.84,14.56,2.52,2.9,4.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Africa ,40.82,19.52,16.81,7.17,2.82,1.52,8.6,1.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland ,26.43,33.7,17.76,9.3,4.16,5.23,1.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Croatia ,17.96,31.91,39.51,2.41,2.05,1.34,3.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morocco ,13.8,43.32,32.61,1.8,1.75,0,3.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czech Republic ,21.97,32.59,32.22,2.5,1.28,0,7.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bosnia and Herzegovina ,8.34,45.32,39.57,1.23,0,0,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Zealand ,29.26,30.66,18.81,13.17,2.44,2.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ecuador ,21.42,37.86,32.79,2.8,1.47,0,1.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay ,18.23,42.34,28.76,1.35,3.4,0,2.57,2.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine ,13.25,28.6,26.23,2.08,0,0,27.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tunisia ,9.02,59.21,22.86,1.7,1.11,0,2.55,1.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania ,10.06,55.67,25.05,2.3,1.21,1.86,2.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iran ,34.9,11.91,34.35,1.08,2.45,0,5.31,2.22,5.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangladesh ,5.29,15.71,40.3,0,1.12,0,20.62,7.97,4.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iraq ,25.41,37.78,23.29,1.62,3.14,1.26,3.1,3.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria ,14.36,36.56,42.34,0,0,0,2.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka ,13.71,34.54,32.74,1.17,1.21,0,8.61,3.43,1.22,1.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macedonia ,6.42,54.57,32.56,0,1.24,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic ,16.51,56.47,17.19,3.68,1.37,0,1.72,0,0,0,0,1.24,0,0,0,0,0,0,0,0,0,0,0,0,0
Nigeria ,9.89,8.6,21.22,3.7,1.16,0,43.76,6.24,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovakia (Slovak Republic) ,12.18,38.44,33.51,2.34,1.77,0,10.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovenia ,23.29,27.19,40.54,3.5,1.76,0,2.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uruguay ,20.12,51.78,23.61,1.35,0,0,1.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guatemala ,28.47,36.57,20.39,4.44,2.36,2.03,2.91,0,0,0,0,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan ,18.67,46.93,15.86,2.38,3.05,1.24,7.12,3.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Costa Rica ,24.56,35.3,19.92,4.3,4.07,2.09,4.26,3.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Qatar ,32.32,35.56,11.84,5.53,2.73,1.52,4.35,3.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania ,19.19,31.22,36.18,2.33,1.25,0,8.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan ,10.58,38.37,7.41,1.3,1.8,0,37.17,1.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia ,32.12,28.69,31.93,2.29,1.83,0,1.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belarus ,10.62,24.97,19.75,1.26,0,0,40.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puerto Rico ,29.53,29.6,16.62,9.94,6.98,2.64,0,0,0,0,0,0,0,0,0,0,0,1.56,1.02,0,0,0,0,0,0
Kuwait ,27.97,22.19,10.19,7.29,7.11,9.88,7.81,2.56,0,0,0,3.35,0,0,0,0,0,0,0,0,0,0,0,0,0
El Salvador ,23.95,41.94,25.63,2.36,1.26,0,2.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montenegro ,11.74,44.92,30.19,2.04,2.04,0,6.21,1.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Georgia ,6.43,47.52,12.25,1.28,0,0,30.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Panama ,37.44,35.2,14.17,5.17,4.46,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honduras ,27.25,38.51,20.69,3.21,2.37,1.8,3.17,0,0,0,0,1.12,0,0,0,0,0,0,0,0,0,0,0,0,0
Myanmar ,38.17,2.89,38.71,1.48,13.8,1.34,1.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nepal ,9.77,38.13,31.64,1.95,1.49,1.07,12.12,0,1.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palestinian Territory ,21.75,42.77,29,0,1.29,0,1.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moldova ,10.19,56.46,22.13,1.26,0,0,8.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia ,17.38,34.49,36.59,3.24,1.17,0,5.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenya ,12.1,15.23,38.92,3.08,2.47,0,23.2,2.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trinidad and Tobago ,22.86,45.16,19.85,5.29,2.09,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonia ,21.3,32.02,34,5.01,1.52,0,4.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armenia ,4.53,68.16,18.59,1.55,0,0,5.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus ,29.09,36.97,21.6,6.4,2.12,1.28,1.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Faroe Islands ,51.82,20.5,9.36,13.12,2.17,2.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kazakhstan ,13.55,34.02,21.19,2.71,1.34,0,24.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lebanon ,27.03,30.16,17.61,7.11,6.66,3.71,2.96,2.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahrain ,33.36,23.66,10.64,6.63,8.81,5.58,2.13,5.04,1.18,0,0,1.32,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghana ,9.95,14.71,43.66,3.06,2.14,0,19.18,2.28,1.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yemen ,14.76,31.98,35.55,1.14,2.54,2.42,8.26,1.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamaica ,19.81,43.19,24.13,4.58,1.24,0,2.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oman ,28.15,22.68,11.89,2.91,11.61,1.42,2.4,12.16,3.64,0,0,2.04,0,0,0,0,0,0,0,0,0,0,0,0,0
Iceland ,19.05,41.98,23.31,11.67,0,0,1.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicaragua ,21.11,41.34,30.02,2,1.33,0,2.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Syrian Arab Republic ,18.94,17.89,41.44,1.28,4.4,1.15,4.32,7.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mongolia ,9.09,28.15,50.8,3.69,3.89,0,2.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sudan ,13.91,8.37,23.15,0,2.91,0,29.57,16.62,1.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malta ,28.62,41.48,17.7,6.34,2.17,1.41,1.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Libya ,18.23,36.16,19.71,1.87,2.34,0,9.45,9.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritius ,16.45,37.67,30.75,4.25,1.88,0,4.28,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cambodia ,9.58,19.82,38.25,5.91,5.37,6.46,6.53,5.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senegal ,18.9,26.69,43.77,3.7,1.36,0,2.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bermuda ,51.31,12.92,9.76,22.57,0,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luxembourg ,26.84,20.2,30.23,13.66,2.45,4.07,1.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guyana ,66.55,16.16,13.24,1.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brunei Darussalam ,10.39,21.99,21.02,8.45,9.61,2.6,16.58,7.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanzania ,23.12,11.71,32.57,3.82,2.15,0,16.67,5.43,1.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barbados ,23.57,38.07,25.62,5.9,1.54,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zimbabwe ,18.35,9.46,20.07,2.66,1.12,0,42.27,3.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahamas ,34.21,32.94,13.86,10.83,2.43,1.31,0,0,0,0,0,0,0,0,0,0,0,0,1.04,0,0,0,0,0,0
Macao ,33.01,27.27,15.04,8.48,7.93,4.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiopia ,10.41,11.86,27.3,1.41,0,0,32.96,9.2,3.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uganda ,14.13,12.79,43.24,2.98,2.14,0,17.74,3.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maldives ,8.61,34.11,39.2,4.82,2.39,1.3,3.13,4.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola ,41.48,18.5,15.59,9.68,3.01,1.23,5.79,2.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reunion ,18.52,26.33,36.98,9.33,3.6,2.41,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lao Peoples Democratic Republic ,17.74,18.3,24.35,4.1,2.22,2.58,17.59,11.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cote dIvoire ,15.56,30.24,38.95,2.71,1.6,0,5.95,1.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon ,10.75,13.02,63.46,1.89,0,0,7.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands Antilles ,38.61,28.11,16.11,10.57,1.82,1.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suriname ,37.54,28.24,21.54,4.59,2.11,0,2.04,0,0,0,0,1.62,0,0,0,0,0,0,0,0,0,0,0,0,0
Isle of Man ,40.61,21.53,14.85,16.77,1.77,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guam ,22.55,32.54,17.37,14.51,4.38,4.07,0,0,0,0,0,0,0,0,0,0,0,2.36,0,0,0,0,0,0,0
Uzbekistan ,7.76,23.09,16.09,2.02,2.11,1.54,40.53,4.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mozambique ,28.93,16.62,19.65,4.25,1.81,0,16.41,8.41,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cuba ,14.6,8.84,72.53,0,0,0,2.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guadeloupe ,27.58,30.26,22.77,9.65,5.07,1.31,1.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martinique ,28.17,34.18,22.74,7.45,3.57,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malawi ,25.04,8.17,17.87,2.24,1.32,0,38.33,3.16,1.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aruba ,37.19,28.64,14.88,11.11,3.58,2.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan ,29.37,17.46,25.08,4.77,2.5,2.97,9.9,4.6,1.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Namibia ,37.45,19.39,19.5,5.19,3.05,1.47,9.79,2.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grenada ,30.5,40.29,19.63,6.14,0,0,1.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fiji ,23.28,21.87,38.58,4.82,1.7,0,4.51,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madagascar ,10.31,24.65,51.5,3.2,1.31,0,4.98,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Botswana ,36.21,20.54,24.95,4.94,1.47,0,5.75,2.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jersey ,31.43,23.01,14.09,23.83,2.14,3.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haiti ,34.28,26.18,19.8,7.94,1.71,1.04,4.77,0,0,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Lucia ,25.81,40.48,22.87,5.64,0,0,1.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zambia ,23.21,11.84,23.01,4.42,2.59,1.02,27.84,2.76,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guernsey ,31.93,20.85,13.44,22.56,2.79,6.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyrgyz Republic ,14.6,31.6,13.43,4.25,2.06,1.02,29.82,2.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andorra ,38.39,28.63,16.28,11.25,2.59,1.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French Polynesia ,19.18,23.07,37.26,15.24,1.58,0,1.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cayman Islands ,35.38,25.34,16.25,17.37,1.54,1.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,51.67,31.1,100,3.04,8.35,4.23,10.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Mariana Islands ,29.39,45.29,14.53,3.92,4.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Papua New Guinea ,18.82,5.68,8.67,2.26,5.69,1.04,38.19,9.61,3.11,0,0,0,0,0,0,0,0,0,0,4.55,0,0,0,0,0
Rwanda ,19.94,16.73,42.54,4.65,1.51,0,10.94,1.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Caledonia ,26.45,25.35,29.26,14.18,1.79,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belize ,24.08,29.64,32.5,5.39,2.63,1.54,1.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Kitts and Nevis ,26.33,38.8,20.02,10.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Vincent and the Grenadines ,21.89,41.48,25.75,4.85,1.23,0,1.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda ,28.53,33.5,23.55,8.82,1.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benin ,12.6,32.49,41.25,1.61,0,0,6.94,1.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Togo ,17.42,14.86,56.17,2.74,1.78,0,4.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French Guiana ,25.11,31.69,27.2,5.78,5.59,1.75,1.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominica ,26.1,39.14,20.66,7.8,0,0,2.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
