"Continent","IE","Chrome","Firefox","Safari","iPhone","Android","Yandex Browser","Opera","BlackBerry","UC Browser","Nokia","NetFront","Sogou Explorer","Maxthon","QQ Browser","360 Safe Browser","IEMobile","iPod Touch","Silk","Obigo","Phantom","Iron","Samsung","Openwave Mobile Browser","Pale Moon"
Norway ,25.19,32.73,15.18,16.56,3.67,3.31,0,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria ,16.81,39.31,35.68,1.37,0,1.93,0,2.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland ,19.1,39.94,14.86,10.76,6.65,5.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denmark ,25.96,33.21,12.65,17.15,6.54,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland ,13.93,29.95,28.71,8.96,3.81,4.09,0,1.51,0,0,5.96,0,0,0,0,0,2.26,0,0,0,0,0,0,0,0
Bosnia and Herzegovina ,6.73,51.1,34.91,1.54,0,1.9,0,2.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria ,10.7,38.77,42.33,0,0,2.1,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tunisia ,7.48,63.41,18.57,1.77,1.29,2.17,0,1.93,0,0,1.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria ,21.87,24.23,33.07,9.34,3.09,5.7,0,1.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland ,26.84,20.6,23.01,18.1,5.96,3.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iraq ,14.91,43.83,19.99,2.62,3.24,8.95,0,1.9,0,0,2.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Zealand ,24.07,35.47,15.8,14.33,3.83,3.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czech Republic ,21.16,36.03,29.92,3.18,0,2.58,0,4.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iran ,27.74,17.54,36.12,1.63,1.33,4.12,0,6.22,0,1.3,2.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ecuador ,13.61,45.36,29.94,3.14,1.06,3.21,0,1.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Africa ,29.69,20.9,12.52,6.88,1.98,4.24,0,9.98,9.95,0,2.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Croatia ,14.08,38.58,35.57,2.76,1.72,3.53,0,2.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hong Kong ,29.44,30.07,13.19,10.45,4.33,10.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine ,9.57,36.87,24.57,2.64,0,1.38,1.85,20.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania ,8.3,55.9,23.58,2.58,2.86,2.51,0,2.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic ,10.85,61.67,14.79,3.99,1.91,2.65,0,1.37,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangladesh ,3.64,15.62,33.89,0,0,2.85,0,19.73,0,11.94,8.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guatemala ,22.51,41.77,17.6,4.28,3.42,4.87,0,2.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uruguay ,12.76,58.68,22.51,1.72,0,1.54,0,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macedonia ,5.32,57.43,29.29,1.11,0,2.72,0,2.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka ,9.25,36.56,28.63,1.55,0,3.78,0,10.27,0,2.68,3.42,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0
Nigeria ,7.16,9.89,17.41,3.83,0,2.92,0,36.36,0,13.06,7.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovenia ,20.51,33.42,36.4,3.97,0,3.07,0,1.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovakia (Slovak Republic) ,14.13,40.41,31.13,2.9,0,3.49,0,5.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan ,8.44,50.96,6.08,2.18,1.47,4.26,2.12,21.31,0,0,1.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan ,13.31,49.86,13.49,2.57,2.07,7.07,0,5.63,0,0,4.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Qatar ,23.09,40.16,10.75,7.3,2.35,5.63,0,5.28,0,1.53,2.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania ,15.83,38.94,34.24,2.41,0,1.95,0,5.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Costa Rica ,17.37,39.62,16.83,5.16,2.91,7.44,0,4.44,0,0,3.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Georgia ,4.42,60.06,10.4,1.6,0,0,0,20.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia ,23.74,34.65,30.17,2.75,1.29,3.63,0,2.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay ,13.47,47.19,23.32,1.21,0,5.06,0,4.46,0,0,3.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puerto Rico ,23.27,32.99,13.8,10.77,4.25,10.08,0,0,0,0,0,0,0,0,0,0,0,1.85,0,0,0,0,0,0,0
El Salvador ,17.06,48.05,22.17,3.11,1.1,2.79,0,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montenegro ,7.83,49.81,27.76,2.18,1.05,4.2,0,4.53,0,0,1.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armenia ,3.15,74.77,13.43,1.86,0,0,1.24,3.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trinidad and Tobago ,18.26,50.51,15.69,5.85,1.22,4.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nepal ,6.34,39.61,25.27,2.16,1.75,3.12,0,13.56,0,4.28,1.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palestinian Territory ,15.88,48.46,27.03,1.26,1.13,2.72,0,1.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kuwait ,21.21,25.39,8.85,8.51,11.87,9.83,0,10.07,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonia ,18.19,39.36,30.6,5.06,0,2.59,0,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Panama ,29.9,40.48,11.72,5.69,1.13,8.02,0,1.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus ,22.74,41.13,21.17,6.9,1.78,3.49,0,1.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia ,12.81,42.15,33.21,3.93,0,1.95,0,3.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kazakhstan ,11.1,43.17,17.68,3.43,1.69,3.19,1.79,15.44,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moldova ,6.54,65.49,17.78,1.48,0,1.18,0,5.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenya ,9.07,17.48,34.72,3.19,0,3.26,0,24.14,0,2.23,3.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0
