"Continent","IE","Chrome","Firefox","Safari","iPhone","Android","Yandex Browser","Opera","BlackBerry","UC Browser","Nokia","NetFront","Sogou Explorer","Maxthon","QQ Browser","360 Safe Browser","IEMobile","iPod Touch","Silk","Obigo","Phantom","Iron","Samsung","Openwave Mobile Browser","Pale Moon"
Greenland ,39.86,18.49,11.76,17.32,5.01,4.26,0,1.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turks and Caicos Islands ,25,36.55,12.2,15.22,3.15,4.25,0,0,1.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
San Marino ,28.21,25.87,23.49,15.79,3.01,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seychelles ,25.03,26.44,25.62,5.91,1.31,3.6,0,5.77,0,1.74,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cook Islands ,13.92,2.72,35.35,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.46,0,0,0
Sierra Leone ,9.31,7.44,13.57,2.2,1.18,2.62,0,44.41,0,10.76,5.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkmenistan ,11.9,18.43,9.72,2.59,7.34,22.88,0,9.12,0,6.4,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Timor-Leste ,8.59,7.93,28.17,2.48,0,3.98,0,34.41,0,2.13,9.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lesotho ,26.76,12.24,12.67,2,0,1.74,0,28.95,0,4.21,9.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liberia ,16.47,13.57,14.55,4.91,1.25,4.57,0,26.41,0,8.03,8.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Swaziland ,28.16,17.06,15.27,3.14,1.08,2.61,0,25.4,0,0,4.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niger ,19.73,15.34,23.57,3.23,1.4,5.28,0,12.99,0,6.28,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anguilla ,33.75,33.37,12.33,11.98,1.78,1.77,0,0,1.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burundi ,19.11,16.56,38.82,3.46,0,8.54,0,7.67,0,2.5,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equatorial Guinea ,22.51,20.69,26.4,3.97,1.02,5.8,0,11.4,0,3.19,2.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American Samoa ,16.55,37.81,18.47,17.45,1.65,3.91,0,1.38,0,0,0,0,0,0,0,0,0,1.76,0,0,0,0,0,0,0
Congo (Republic of the),17.46,15.99,26.77,6.7,1.95,6.42,0,18.07,0,1.37,1.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea ,18.07,22.46,20.47,7.83,1.65,4.27,0,16.87,0,2.21,1.64,1.33,0,0,0,0,0,0,0,0,0,0,0,0,0
Micronesia ,24.78,31.97,30.57,8.23,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vanuatu ,23.44,23.61,23.15,6.02,1.38,5.78,0,7.65,0,1.31,4.85,0,0,0,0,0,0,1.33,0,0,0,0,0,0,0
Sao Tome and Principe ,42.02,32.86,16.93,3.86,0,1.42,0,2.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Samoa ,33.88,18.32,24.08,4.36,0,4.69,0,9.21,0,0,2.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Holy See (Vatican City State) ,52.14,17.64,25.46,3.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Martin ,19.91,33.26,17.22,20.26,2.85,3.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chad ,8.67,5.73,8.27,1.63,1.02,3.12,0,31.87,0,2.42,25.2,1.95,2.06,0,0,0,0,0,0,0,1.08,0,2.73,1.57,0
Marshall Islands ,20.09,33.45,27.26,9.86,1.48,3.31,0,1.1,0,0,0,0,0,0,0,0,0,1.49,0,0,0,0,0,0,0
Tonga ,17.47,19.43,52.89,6.22,0,0,0,0,0,0,0,0,1.52,0,0,0,0,0,0,0,0,0,0,0,0
Saint Pierre and Miquelon ,19,31.92,34.25,10.01,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solomon Islands ,28.58,14.26,16.02,6.93,3.24,5.46,0,12.18,0,3.95,8.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comoros ,20.38,25.65,29.57,1.42,0,2.54,0,17.66,0,0,0,0,0,1.11,0,0,0,0,0,0,0,0,0,0,0
Eritrea ,15.86,9.27,69.89,0,0,0,0,2.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montserrat ,31.01,39.42,14.43,7.83,0,1.83,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.69
Palau ,19.45,38.28,21.94,8.24,0,2.16,0,1.62,0,0,0,0,0,0,0,0,0,5.86,0,0,0,0,0,0,0
Central African Republic ,29,14.76,37.39,8.23,0,5.13,0,3.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Falkland Islands (Malvinas) ,48.81,19.11,16.72,11.81,1.06,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kiribati ,18.11,21.3,57.77,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Korea ,26.26,32.09,31.25,6.45,0,0,0,1.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Helena ,57.32,27.61,9.77,2.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wallis and Futuna ,8.86,37.44,39.82,10.63,0,1.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea-Bissau ,40.7,8.03,48.11,1.6,0,0,0,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niue ,16.31,40.83,30.36,10.15,0,1.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuvalu ,15.25,54.93,28.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nauru ,57.99,14.75,15.57,9.22,1.02,1.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tokelau ,55.86,15.86,25.52,2.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western Sahara ,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norfolk Island ,0,27.27,9.09,0,63.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Barthelemy ,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
