"Continent","IE","Chrome","Safari","Firefox","iPhone","Android","Yandex Browser","Opera","UC Browser","Nokia","NetFront","BlackBerry","Sogou Explorer","Maxthon","QQ Browser","360 Safe Browser","CoRom+","Puffin","IEMobile","Unknown","Chromium","iPod Touch","Openwave Mobile Browser","Phantom","Obigo","Silk","Dolfin","Iron"
French Polynesia ,14.33,31.85,15.71,28.61,2.77,4.09,0,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania ,7.5,32.17,1.88,17.46,1.08,2.5,0,27.79,1.81,5.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhutan ,6.64,32.42,3.21,17.17,1.18,2.84,0,20.97,6.8,6.04,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Caledonia ,20.66,32.36,14.2,23.06,1.4,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Togo ,7.66,13.86,1.76,38.75,0,2.49,0,27.49,4.02,1.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grenada ,15.37,56.29,8.34,13.69,0,1.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09,0,0
Saint Lucia ,17.25,50.2,5.3,17.49,1.16,2.91,0,2.09,0,0,0,1.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Mariana Islands ,21.31,49.16,6.03,13.65,1.01,6.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andorra ,30.45,33.91,13.44,13.5,2.42,4.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,100,35.93,11.8,66.67,1.04,3.92,0,3.34,0,0,0,11.28,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0
Gabon ,19.16,17.77,5.41,17.6,1.1,3.26,0,28.64,1.55,1.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guernsey ,24.98,24.52,24.05,10.3,7.77,4.42,0,0,0,0,0,0,0,0,0,0,0,0,1.47,0,0,0,0,0,0,0,0,0
Swaziland ,14.4,12.91,1.84,7.76,0,2.28,0,47.44,1.54,8.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo (Republic of the),8.86,8.98,2.71,13.19,0,3.97,0,50.8,3.23,1.15,1.14,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,1.05,0
Timor-Leste ,5.4,5.88,1.86,16.72,0,2.63,0,53.59,3.47,8.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gibraltar ,21.74,35.92,17.85,13.45,5,3.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Djibouti ,11.08,35.31,2.77,23.64,1.33,3.9,0,3.86,7.87,6.19,1.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Kitts and Nevis ,15.01,49.03,13.73,13.92,1.39,3.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Vincent and the Grenadines ,14.61,52.73,6.46,15.98,0,3.15,0,1.75,0,0,0,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liechtenstein ,33.92,19.72,15.65,19.04,5.22,2.87,0,2.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monaco ,21.95,27.17,27.47,17.51,3.14,1.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seychelles ,21.34,25.3,4.83,20.56,1.37,5.34,0,11.59,1.87,4.16,0,0,0,0,0,1.49,0,0,0,0,0,0,0,0,0,0,0,0
Turks and Caicos Islands ,21.53,41.5,14.19,10.59,2.66,4.55,0,1.23,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
San Marino ,26.66,28.14,15.92,22.15,2.99,3.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mayotte ,15.67,39.79,4.91,27.28,0,4.99,0,2.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burundi ,10.48,12.47,2.49,21.61,0,2.23,0,41.73,4.27,2.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cook Islands ,20.32,7.86,2.83,7.01,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.33
Turkmenistan ,8.41,21.68,1.73,5.25,7.64,23.1,0,11.85,6.19,9.53,0,0,0,0,0,0,0,1.69,0,0,0,0,0,0,0,0,0,0
Dominica ,13.07,55.25,9.09,12.16,3.44,2.88,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greenland ,28.76,20.99,14.85,8.19,4.34,4.59,0,15.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equatorial Guinea ,15.65,20.36,3.65,17.75,1.04,3.42,0,33.39,1.84,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
British Virgin Islands ,30.88,39.25,12.63,9.97,1.8,2.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05,0,0
Micronesia ,19.36,47.24,6.85,20.86,0,2.26,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Samoa ,22.03,13.53,2.39,30.74,0,5.15,0,17.38,1.23,4.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American Samoa ,21.04,34.65,16.12,20.27,1.62,3.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05,0,0,0,0,0,0
Solomon Islands ,14.51,21.13,2.81,8.1,1.49,3.8,0,37.08,3.71,6.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marshall Islands ,21.41,38.87,10.57,21.96,1.72,2.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03,0,0
Saint Martin ,23.39,34.37,15.87,11.73,1.23,5.74,0,1.42,0,0,0,4.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sao Tome and Principe ,32.98,34.55,3.6,20.21,0,1.19,0,6.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Holy See (Vatican City State) ,42.22,21.84,7.86,25.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tonga ,20.24,19.77,6.52,47.82,0,1.32,0,0,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vanuatu ,22.64,25.1,7.61,29.79,1.51,7.78,0,0,0,0,0,0,0,3.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Pierre and Miquelon ,16.56,38.3,10.79,29.84,1.5,1.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anguilla ,27.45,36.53,14.47,12.28,2.26,3.2,0,0,0,0,0,1.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comoros ,11.34,29.94,2.17,29.8,0,3.46,0,17.63,1.42,0,0,0,0,1.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palau ,15.6,45.34,4.22,19.44,1.03,5.6,0,3.04,0,0,0,0,0,0,0,0,0,0,0,0,0,3.45,0,0,0,0,0,0
Eritrea ,12.16,9.95,0,73.13,0,0,0,2.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Falkland Islands (Malvinas) ,49.31,13.61,13.14,15.63,2.63,2.67,0,2.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic ,14.21,13.86,4.55,31.89,0,4.77,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wallis and Futuna ,9.62,36.63,10.63,38.67,0,1.08,0,1.74,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0
Kiribati ,22.82,24.93,10.19,39.54,0,1.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Korea ,30.72,33.37,2.71,27.32,0,0,0,1.62,0,0,0,0,1.33,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Helena ,56.5,26.92,4.66,11.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chad ,24.54,26.17,5.01,30.53,0,0,0,4.62,0,0,0,0,4.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montserrat ,66.54,21.27,0,10.04,0,0,0,1.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuvalu ,14.2,33.43,5.27,46.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niue ,28.16,19.52,19.24,30.78,0,1.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea-Bissau ,33.58,26.62,2.47,32.62,0,1.01,0,2.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tokelau ,12.47,2.24,1.06,84.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nauru ,31.67,47.02,3.33,13.21,0,3.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norfolk Island ,19.3,43.86,0,36.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Barthelemy ,0,0,0,90,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Svalbard & Jan Mayen Islands ,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
