"Continent","IE","Chrome","Safari","Firefox","iPhone","Android","Yandex Browser","Opera","UC Browser","Nokia","NetFront","BlackBerry","Sogou Explorer","Maxthon","QQ Browser","360 Safe Browser","CoRom+","Puffin","IEMobile","Unknown","Chromium","iPod Touch","Openwave Mobile Browser","Phantom","Obigo","Silk","Dolfin","Iron"
United Arab Emirates ,16.8,40.52,8.05,8.44,3.05,6.87,0,3.78,5.38,4.78,0,1.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vietnam ,8.73,44.57,3.05,18.68,4.7,2.16,0,7.81,2.26,0,0,0,0,0,0,0,5.17,0,0,0,0,0,0,0,0,0,0,0
Venezuela ,13.27,52.66,1.89,23.68,0,2.67,0,2.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangladesh ,1.65,8.84,0,17.84,0,2.66,0,46.57,14.08,5.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morocco ,7.6,47.19,2.26,26.43,1.65,3.97,0,7.39,0,1.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Africa ,20.04,16.73,4.31,7.55,1.51,3.35,0,27.2,1.15,4,0,11.58,0,0,0,1.02,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria ,15.46,41.15,1.54,33.16,0,2.49,0,3.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iraq ,9.67,45.06,2.79,17.05,4.24,12.33,0,4.38,0,2.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland ,19.43,39.01,11.31,13.11,7.15,5.23,0,0,0,0,0,0,0,0,0,1.27,0,0,0,0,0,0,0,0,0,0,0,0
Norway ,21.41,37.77,15.55,14,4.72,3.31,0,2.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iran ,19.97,20.25,1.29,33.61,1.23,3.85,0,10.59,4.07,2.16,0,0,0,0,0,0,0,1.68,0,0,0,0,0,0,0,0,0,0
Denmark ,24.31,34.83,18.34,11.04,7.01,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland ,14.28,33.44,9.63,27.59,4.56,4.69,0,1.61,0,0,0,0,0,0,0,0,0,0,3.02,0,0,0,0,0,0,0,0,0
Tunisia ,6.24,63.82,1.73,15.87,1.38,2.42,0,4.79,0,1.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Zealand ,21.01,38.32,14.83,14.51,4.4,4.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bosnia and Herzegovina ,6.44,51.69,1.54,32.46,0,2.77,0,3.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland ,26.01,22.41,18.33,20.72,6.32,3.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria ,21.09,26.04,9.96,30.81,3.36,5.73,0,1.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hong Kong ,25.56,35,10.04,11.24,5.06,10.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czech Republic ,19.46,38.06,3.28,28.43,0,2.28,0,5.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Croatia ,12.6,41.99,2.77,32.09,1.84,3.95,0,3.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania ,6.88,55.41,2.71,20.18,3.5,3.09,0,5.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine ,8.28,32.04,2.36,19.45,0,1.37,2.73,30.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria ,8.55,40.79,1.18,37.52,0,2.74,0,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
