"Continent","IE","Firefox","Chrome","Safari","Android","iPhone","Opera","BlackBerry","Nokia","UC Browser","NetFront","Dolfin","Maxthon","TheWorld","SeaMonkey","Flock","iPod Touch","Sony PS3","Samsung","Openwave Mobile Browser","Obigo","SonyEricsson","Chromium"
Timor-Leste ,28.03,43.75,12.35,4.43,0,0,7.02,0,2.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Samoa ,24.61,56.37,9.96,3.41,0,0,2.18,0,2.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American Samoa ,30.59,26.59,25.19,15.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liberia ,47.02,28.72,11.77,5.21,0,0,3.87,0,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equatorial Guinea ,38.42,23.27,11.6,2.57,0,0,16.53,0,3.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niger ,20.42,23.26,7.67,2.47,0,0,23.99,0,14.53,2.67,1.74,0,0,0,0,0,0,0,0,0,0,0,0
Burundi ,36.61,38.92,12.34,3.13,0,0,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Pierre and Miquelon ,36.37,35.16,19.6,6.66,0,0,1.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vanuatu ,40.86,29.76,15.1,10.79,0,0,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solomon Islands ,30.65,14.2,6.28,4.25,0,1.08,25.29,0,10.63,2.17,1.73,0,0,0,0,0,0,0,0,0,1.61,0,0
Guinea ,36.48,34.59,14.64,3.71,1.61,0,4.04,0,2.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Falkland Islands (Malvinas) ,64.45,12.84,14.45,5.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tonga ,33.6,45.14,10.84,6.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cook Islands ,50.55,23.48,10.77,10.96,1.24,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Micronesia ,33.72,34.63,23.56,5.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montserrat ,38.66,20.22,32.61,4.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eritrea ,41.19,50.1,4.13,0,0,0,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sao Tome and Principe ,56.62,17.99,16.81,4.45,0,0,1.58,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0
Mayotte ,32.88,44.21,10.11,6.39,1.52,1.02,3.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comoros ,43.64,29.35,19.71,2.95,0,1,1.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Helena ,72.93,14.49,9.76,2.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marshall Islands ,34.34,42.01,18.17,2.58,0,0,0,0,0,0,0,0,0,0,0,0,1.46,0,0,0,0,0,0
Central African Republic ,46.85,29.79,10.43,3.4,3.95,0,3.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palau ,31.27,29.61,24.87,10.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chad ,20.12,15.6,4.34,2.03,0,0,26.34,0,25.01,0,0,0,4.15,0,0,0,0,0,0,0,0,0,0
Kiribati ,28.9,50.73,17.91,1.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Korea ,44.06,36.87,14.13,1.15,0,0,2.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wallis and Futuna ,15.42,40.44,40.97,2.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niue ,23.31,42.93,25.69,6.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea-Bissau ,60.44,25.28,10.23,1.18,0,0,1.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuvalu ,5.93,72.44,21.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nauru ,22.06,55.67,13.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.99
Christmas Island ,1.82,40.91,56.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
