"Continent","IE","Firefox","Safari","Chrome","BlackBerry","iPhone","Android","Opera","Nokia","Maxthon","UC Browser","NetFront","Sony PS3","Bolt","Motorola Internet Browser","Camino","Samsung","Windows Media Player","Mozilla"
Czech Republic ,30.02,42.62,2.11,13.99,0,0,0,9.85,0,0,0,0,0,0,0,0,0,0,0
Ukraine ,18.77,32.06,1.16,9.76,0,0,0,37.27,0,0,0,0,0,0,0,0,0,0,0
Slovenia ,32.97,50.37,1.69,10.34,0,0,0,3.97,0,0,0,0,0,0,0,0,0,0,0
Guatemala ,52.91,26.93,2.59,14.35,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iraq ,78.12,11.31,0,5.34,0,0,0,2.35,2.28,0,0,0,0,0,0,0,0,0,0
Paraguay ,37.8,40.77,0,19.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bosnia and Herzegovina ,17.45,51.29,0,25.17,0,0,0,5.11,0,0,0,0,0,0,0,0,0,0,0
Jordan ,58.08,17.78,0,18.19,0,0,0,1.83,2.65,0,0,0,0,0,0,0,0,0,0
Algeria ,49.43,35.77,0,11.59,0,0,0,2.14,0,0,0,0,0,0,0,0,0,0,0
Slovakia (Slovak Republic) ,24.01,44.91,1.63,15.76,0,0,0,12.48,0,0,0,0,0,0,0,0,0,0,0
Macedonia ,16.98,51.1,0,27.08,0,0,0,3.85,0,0,0,0,0,0,0,0,0,0,0
Qatar ,63.87,14.23,2.94,13.5,0,0,0,1.44,2.53,0,0,0,0,0,0,0,0,0,0
Lithuania ,34.88,41.21,1.22,12.53,0,0,0,9.5,0,0,0,0,0,0,0,0,0,0,0
Puerto Rico ,49.71,25.21,6.09,14.54,0,0,0,0,0,0,0,0,1.05,0,0,0,0,0,0
Bahrain ,75.99,10.02,2.11,8.43,0,0,0,0,1.58,0,0,0,0,0,0,0,0,0,0
Syrian Arab Republic ,65.44,22.46,0,3.91,0,0,0,4.14,2.73,0,0,0,0,0,0,0,0,0,0
Nigeria ,30.55,33.64,0,6.2,0,0,0,21.42,3.11,0,0,0,0,2.71,0,0,0,0,0
Honduras ,51.29,23.98,1.43,12.37,0,0,0,3.45,2.76,0,0,1.94,0,0,0,0,0,0,0
Costa Rica ,41.61,30.43,3.18,13.19,0,0,0,2.73,5.52,0,0,2.22,0,0,0,0,0,0,0
Bolivia ,63.8,24.88,0,8.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tunisia ,21.26,39.96,0,34.68,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Estonia ,32.74,44.69,3.18,13.29,0,0,0,5.4,0,0,0,0,0,0,0,0,0,0,0
Panama ,60.44,20.28,2.71,13.35,0,0,0,1.08,0,0,0,0,0,0,0,0,0,0,0
Latvia ,28.36,45.49,1.66,14.92,0,0,0,8.93,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic ,41.81,30.79,2.82,20.19,1.78,0,0,1.66,0,0,0,0,0,0,0,0,0,0,0
Bangladesh ,25.18,44.4,0,9.53,0,0,0,15.32,3.09,0,0,0,0,0,0,0,0,0,0
Palestinian Territory ,66.28,20.38,0,10.51,0,0,0,1.21,0,0,0,0,0,0,0,0,0,0,0
Oman ,61.49,12.82,0,10.13,0,0,0,2.49,10.4,0,0,0,0,0,0,0,0,0,0
Uruguay ,41.97,35.09,1,20.08,0,0,0,1.27,0,0,0,0,0,0,0,0,0,0,0
Mongolia ,21.1,68.17,0,7.33,0,0,0,1.89,0,0,0,0,0,0,0,0,0,0,0
Lebanon ,63.19,16.59,2.8,12.89,0,0,0,1.98,1.49,0,0,0,0,0,0,0,0,0,0
Sri Lanka ,30.15,37.59,0,24.97,0,0,0,4.78,0,0,0,0,0,0,0,0,0,0,0
El Salvador ,41.95,38.24,1.65,14.21,0,0,0,1.86,0,0,0,0,0,0,0,0,0,0,0
Belarus ,18.3,23.72,0,6.84,0,0,0,49.15,0,0,0,0,0,0,0,0,0,0,0
Cyprus ,53.06,28.41,2.37,13.36,0,0,0,1.66,0,0,0,0,0,0,0,0,0,0,0
Albania ,21.15,32.88,0,41.47,0,0,0,2.07,1.18,0,0,0,0,0,0,0,0,0,0
Montenegro ,25.33,38.77,0,25.52,0,0,0,7.85,0,0,0,0,0,0,0,0,0,0,0
Georgia ,20.29,19.9,0,15.75,0,0,0,42.78,0,0,0,0,0,0,0,0,0,0,0
Libya ,46.09,18.85,0,17.93,0,0,0,6.77,8.96,0,0,0,0,0,0,0,0,0,0
Nicaragua ,39.75,45,1.14,11.5,0,0,0,1.23,0,0,0,0,0,0,0,0,0,0,0
Yemen ,57.35,23.36,0,12.77,0,0,0,3.96,1.37,0,0,0,0,0,0,0,0,0,0
