"Continent","IE","Firefox","Chrome","Safari","BlackBerry","Android","iPhone","Opera","Nokia","Maxthon","UC Browser","NetFront","Bolt","Mozilla","Motorola Internet Browser","Windows Media Player","Camino","Samsung","iPod Touch"
New Zealand ,47.48,25.79,14.86,8.85,0,0,0,1.12,0,0,0,0,0,0,0,0,0,0,0
Kuwait ,69.21,11.65,9.31,2.84,0,0,1.53,0,2.64,0,0,0,0,0,0,0,0,0,0
Slovenia ,33.01,51.29,10.46,1.74,0,0,0,2.83,0,0,0,0,0,0,0,0,0,0,0
Guatemala ,51.04,27.1,15.5,2.57,1.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay ,37.13,40.14,20.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bosnia and Herzegovina ,17.23,50.62,25.93,0,0,0,0,5.24,0,0,0,0,0,0,0,0,0,0,0
Slovakia (Slovak Republic) ,23.75,44.3,17.03,1.53,0,0,0,12.25,0,0,0,0,0,0,0,0,0,0,0
Algeria ,50,35.28,11.65,0,0,0,0,2.03,0,0,0,0,0,0,0,0,0,0,0
Jordan ,55.72,18.3,19.64,0,0,0,0,1.85,2.8,0,0,0,0,0,0,0,0,0,0
Macedonia ,16.16,50.34,29.05,0,0,0,0,3.48,0,0,0,0,0,0,0,0,0,0,0
Qatar ,61.53,14.47,14.92,3.04,0,0,0,1.52,2.87,0,0,0,0,0,0,0,0,0,0
Lithuania ,34.04,41.05,13.56,1.26,0,0,0,9.27,0,0,0,0,0,0,0,0,0,0,0
Puerto Rico ,48.57,24.76,15.8,6.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Syrian Arab Republic ,63.43,23.63,4.06,0,0,0,0,4.6,2.84,0,0,0,0,0,0,0,0,0,0
Bahrain ,74.41,10.33,9.18,2.34,0,0,0,0,1.68,0,0,0,0,0,0,0,0,0,0
Nigeria ,29.38,32.75,6.33,1.03,0,0,0,23.59,2.89,0,0,0,2.54,0,0,0,0,0,0
Iraq ,66.67,16.64,8.85,0,0,0,0,3.44,3.48,0,0,0,0,0,0,0,0,0,0
Honduras ,49.2,23.53,14.07,1.54,1.06,0,0,2.71,3.2,0,0,2.59,0,0,0,0,0,0,0
Costa Rica ,41.18,29.52,14.34,3.35,0,0,0,2.52,5.55,0,0,2.3,0,0,0,0,0,0,0
Bolivia ,62.39,25.32,9.12,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tunisia ,21.47,38.77,35.91,0,0,0,0,1.74,0,0,0,0,0,0,0,0,0,0,0
Bangladesh ,24.98,45.37,9.49,0,0,0,0,14.66,3.09,0,0,0,0,0,0,0,0,0,0
Latvia ,27.47,45.71,16.06,1.59,0,0,0,8.53,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic ,39.91,30.29,22.04,2.91,2.15,0,0,1.57,0,0,0,0,0,0,0,0,0,0,0
Panama ,58.33,20.37,14.95,2.83,0,0,0,1.18,0,0,0,0,0,0,0,0,0,0,0
Estonia ,34.12,42.73,13.32,3.16,0,0,0,5.92,0,0,0,0,0,0,0,0,0,0,0
Palestinian Territory ,63.94,21.54,11.44,0,0,0,0,1.44,0,0,0,0,0,0,0,0,0,0,0
Mongolia ,20.23,68.17,8.03,0,0,0,0,1.85,0,0,0,0,0,0,0,0,0,0,0
Oman ,58.96,13.09,11.18,0,0,0,0,2.43,11.46,0,0,0,0,0,0,0,0,0,0
Lebanon ,56.92,17.21,18.61,2.75,0,0,0,1.72,1.59,0,0,0,0,0,0,0,0,0,0
Sri Lanka ,31.28,36.44,24.8,0,0,0,0,5.01,0,0,0,0,0,0,0,0,0,0,0
Uruguay ,41.15,33.59,22.32,1.09,0,0,0,1.18,0,0,0,0,0,0,0,0,0,0,0
Belarus ,16.94,23.99,7.21,0,0,0,0,50.01,0,0,0,0,0,0,0,0,0,0,0
Albania ,18.13,32.04,45.1,0,0,0,0,1.95,1.32,0,0,0,0,0,0,0,0,0,0
