"Continent","IE","Firefox","Safari","Chrome","BlackBerry","Nokia","Opera","iPhone","Maxthon","UC Browser","Bolt","NetFront","Motorola Internet Browser","Mozilla","Windows Media Player"
Bahrain ,79.83,9.91,1.71,5.92,0,1.19,0,0,0,0,0,0,0,0,0
Macedonia ,20.07,54.77,0,19.94,0,0,4.09,0,0,0,0,0,0,0,0
Puerto Rico ,52.26,27.29,5.34,11.12,0,0,0,0,0,0,0,0,0,0,0
Lithuania ,35.54,43.05,1.15,10.05,0,0,9.48,0,0,0,0,0,0,0,0
Costa Rica ,47.68,33.99,3.1,9.96,0,2.03,1.52,0,0,0,0,0,0,0,0
Dominican Republic ,48.41,32.68,2.65,13.79,0,0,1.31,0,0,0,0,0,0,0,0
Panama ,65.49,21.18,2.4,8.73,0,0,0,0,0,0,0,0,0,0,0
Honduras ,57.12,26.25,1.61,9.86,0,1.18,2.15,0,0,0,0,0,0,0,0
Bolivia ,65.71,24.97,0,6.87,0,0,0,0,0,0,0,0,0,0,0
Syrian Arab Republic ,69.36,21.02,0,3.15,0,1.64,3.74,0,0,0,0,0,0,0,0
Latvia ,30.57,48.23,1.66,10.91,0,0,7.92,0,0,0,0,0,0,0,0
Uruguay ,47.4,35.54,0,14.39,0,0,1.2,0,0,0,0,0,0,0,0
Oman ,67.1,13.78,0,7.99,0,6.1,2.87,0,0,0,0,0,0,0,0
Nigeria ,37.29,34.6,0,5.93,0,1.29,16.99,0,0,0,2.14,0,0,0,0
Palestinian Territory ,68.95,19.58,0,8.58,0,0,1.31,0,0,0,0,0,0,0,0
Estonia ,32.36,47.59,2.99,9.89,0,0,6.22,0,0,0,0,0,0,0,0
Iraq ,71.67,14.38,0,5.95,0,3.02,3.94,0,0,0,0,0,0,0,0
El Salvador ,46.67,38.72,1.64,10.2,0,0,1.56,0,0,0,0,0,0,0,0
Bangladesh ,27.17,44.21,0,7.94,0,2.91,15.57,0,0,0,0,0,0,0,0
Lebanon ,66.15,18.27,2.55,9.87,0,1.13,1.17,0,0,0,0,0,0,0,0
Sri Lanka ,33.54,38.71,0,20.95,0,0,4.18,0,0,0,0,0,0,0,0
Mongolia ,22.57,67.45,0,6.2,0,0,2.22,0,0,0,0,0,0,0,0
Cyprus ,56.17,28.95,2.42,9.75,0,0,1.72,0,0,0,0,0,0,0,0
Montenegro ,28.55,41.81,0,19.05,0,1,7.97,0,0,0,0,0,0,0,0
Belarus ,22.75,24.28,0,5.38,0,0,45.37,0,0,0,0,0,0,0,0
Georgia ,26.82,18.34,0,10.18,0,0,43.43,0,0,0,0,0,0,0,0
Libya ,54.46,17.84,0,13.45,0,6.36,6.49,0,0,0,0,0,0,0,0
Trinidad and Tobago ,42,32.34,3.15,19.55,0,0,1.46,0,0,0,0,0,0,0,0
Sudan ,56.38,20.8,0,3.31,0,7.21,10.8,0,0,0,0,0,0,0,0
Nicaragua ,44.57,43.86,1.19,8.38,0,0,1.16,0,0,0,0,0,0,0,0
Moldova ,23.91,46.54,0,14.2,0,0,13.8,0,0,0,0,0,0,0,0
Albania ,22.14,41.42,0,32.22,0,0,2.11,0,0,0,0,0,0,0,0
Brunei Darussalam ,21.27,36.73,4.73,11.64,0,13.04,9.54,0,0,0,0,1.02,0,0,0
Senegal ,26.14,65.63,0,6.05,0,0,0,0,0,0,0,0,0,0,0
Myanmar ,37.69,58.14,0,2.55,0,0,0,0,0,0,0,0,0,0,0
Malta ,53.44,26.38,2.58,15.2,0,0,1.27,0,0,0,0,0,0,0,0
Azerbaijan ,49.16,15.61,1.23,8.2,0,0,24.58,0,0,0,0,0,0,0,0
Nepal ,47.74,30.35,1.13,13.03,0,0,6.53,0,0,0,0,0,0,0,0
Iceland ,35.88,39.54,8.26,13.52,0,0,1.86,0,0,0,0,0,0,0,0
Yemen ,65.16,19.61,0,9.25,0,1.15,3.75,0,0,0,0,0,0,0,0
Kenya ,33.36,42.48,2.25,7.36,0,0,12.59,0,0,0,0,0,0,0,0
Kazakhstan ,35.22,27.38,0,6.24,0,0,29.33,0,0,0,0,0,0,0,0
Jamaica ,38.39,38.99,2.81,16.47,0,0,2.08,0,0,0,0,0,0,0,0
Ghana ,25.65,57.98,1.27,5.41,0,0,7.55,0,0,0,0,0,0,0,0
Macao ,68.54,17.88,3.4,6.65,0,0,0,0,1.57,0,0,0,0,0,0
Luxembourg ,40.81,38.46,8.3,6.05,0,0,3.77,1.48,0,0,0,0,0,0,0
Bermuda ,68.21,13.35,11.72,5.2,0,0,0,0,0,0,0,0,0,0,0
Mauritius ,31.47,45.2,2.1,15.4,0,1.13,3.9,0,0,0,0,0,0,0,0
Bahamas ,59.6,20.57,6.09,10.8,0,0,0,0,0,0,0,0,0,0,0
Cambodia ,46.59,35.35,2.58,6.28,0,2.8,4.4,0,0,0,0,0,0,0,0
Angola ,68.58,17.05,2.7,6.87,0,0,2.69,0,0,0,0,0,0,0,0
Faroe Islands ,67.02,17.74,4.07,9.42,0,0,0,0,0,0,0,0,0,0,0
Lao Peoples Democratic Republic ,61.26,24.8,1.32,3,0,2.28,6.43,0,0,0,0,0,0,0,0
Netherlands Antilles ,62.35,21.78,4.32,9.07,0,0,0,0,0,0,0,0,0,0,0
Ethiopia ,60.43,28.73,0,5.61,0,0,3.12,0,0,0,0,0,0,0,0
Cote dIvoire ,50.41,34.64,0,7.82,0,0,3.76,0,0,0,0,0,0,0,0
Barbados ,43.42,37.44,3.15,13.07,0,0,1.03,0,0,0,0,0,0,0,0
Armenia ,25.73,40.93,1.25,16.9,0,0,14.11,0,0,0,0,0,0,0,0
Reunion ,33.24,47.35,6.58,9.4,0,0,1.64,0,0,0,0,0,0,0,0
Isle of Man ,61.61,19.59,7.59,7.89,0,0,0,0,0,0,0,0,0,0,0
Mozambique ,53.95,27.94,2.64,6.69,0,3.02,4.93,0,0,0,0,0,0,0,0
Guam ,47.09,29.14,6.93,10.75,0,0,2.17,1.39,0,0,0,0,0,0,0
Tanzania ,58.51,23.39,2.77,6.05,0,1.58,6.65,0,0,0,0,0,0,0,0
Cameroon ,31.43,61.79,0,4.1,0,0,1.31,0,0,0,0,0,0,0,0
Maldives ,28.76,50.73,2.2,12.82,0,1.3,2.74,0,0,0,0,0,0,0,0
Uganda ,41.13,47.32,2.02,6.37,0,0,2.13,0,0,0,0,0,0,0,0
Guadeloupe ,48.83,33.72,5.85,9.36,0,0,0,0,0,0,0,0,0,0,0
Aruba ,57.64,26.19,4.27,9.91,0,0,0,0,0,0,0,0,0,0,0
Jersey ,55.59,20.73,11.63,8.52,0,0,0,0,0,0,0,0,0,0,0
Guernsey ,56.89,19.89,9.79,7.82,0,0,2.94,1.06,0,0,0,0,0,0,0
Martinique ,46.44,37.21,4.34,9.19,0,0,1.36,0,0,0,0,0,0,0,0
Botswana ,56.59,24.01,2.28,11.55,0,0,3.41,0,0,0,0,0,0,0,0
Namibia ,59.33,20.36,2.6,8.21,0,1.99,5.27,0,0,0,0,0,0,0,0
Cayman Islands ,54.47,24.83,9.07,9.39,0,0,0,0,0,0,0,0,0,0,0
Suriname ,59.3,23.91,0,6.28,0,1.75,5.41,0,0,0,0,0,0,0,0
 ,1.3,68.83,24.68,5.19,0,0,0,0,0,0,0,0,0,0,0
Saint Lucia ,50.93,31.64,3.46,12.03,0,0,0,0,0,0,0,0,0,0,0
Grenada ,50.63,30,2.3,14.16,0,0,1.79,0,0,0,0,0,0,0,0
Fiji ,47.67,37.25,2.91,9.9,0,0,1.22,0,0,0,0,0,0,0,0
Haiti ,66.65,19.6,3.89,7.32,0,0,0,0,0,0,0,0,0,0,0
Andorra ,58.05,24.48,5.98,9.38,0,0,0,0,0,0,0,0,0,0,0
Cuba ,38.88,53.85,0,3.37,0,0,2.21,0,0,0,0,0,0,0,0
French Polynesia ,43.67,37.8,9.48,6.84,0,0,0,0,0,0,0,0,0,0,0
Saint Kitts and Nevis ,51.54,27.27,6.08,12.65,0,0,1.48,0,0,0,0,0,0,0,0
Antigua and Barbuda ,55.23,25.47,5.37,11.06,0,0,1.68,0,0,0,0,0,0,0,0
Afghanistan ,70.5,18.63,2.17,5.56,0,0,1.76,0,0,0,0,0,0,0,0
Cape Verde ,69.65,19.5,1.67,7.79,0,0,1.02,0,0,0,0,0,0,0,0
New Caledonia ,43.84,34.55,8.28,11.3,0,0,0,0,0,0,0,0,0,0,0
Zambia ,47.64,33.01,1.99,8.15,0,0,7.34,0,0,0,0,0,0,0,0
Uzbekistan ,28.11,22.59,1.26,6.81,0,1.1,38.59,0,0,0,0,0,0,0,0
Djibouti ,73.81,15.58,0,7.28,0,0,1.35,0,0,0,0,0,0,0,0
Burkina Faso ,57.68,31.64,0,5.36,0,0,3.35,0,0,0,0,0,0,0,0
French Guiana ,48.64,38.98,3.05,7.97,0,0,0,0,0,0,0,0,0,0,0
Madagascar ,26.63,58.27,2.12,8.39,0,0,3.07,0,0,0,0,0,0,0,0
Guyana ,51.42,34.23,1.22,8.69,0,0,2.66,0,0,0,0,0,0,0,0
Saint Vincent and the Grenadines ,51.51,31.04,2.43,12.23,0,0,1.57,0,0,0,0,0,0,0,0
Northern Mariana Islands ,55.04,27.54,2.85,11.86,0,0,0,0,0,0,0,0,0,0,0
Belize ,40,42.47,2.99,8.76,0,0,1.6,0,0,0,0,0,1.33,0,0
Gibraltar ,53.37,31.29,3.91,8.56,0,0,0,0,0,0,0,0,0,0,0
Zimbabwe ,44.93,34.83,2.82,9.16,0,1.79,5.44,0,0,0,0,0,0,0,0
Benin ,63.07,30.11,0,3.37,0,0,1.93,0,0,0,0,0,0,0,0
Mali ,57.19,27.57,1.83,6.58,0,0,4.25,0,0,0,0,0,0,0,0
Mauritania ,59.11,24.51,1.15,12.27,0,0,1.2,0,0,0,0,0,0,0,0
Dominica ,40.68,36.15,5.77,13.97,0,0,2.79,0,0,0,0,0,0,0,0
British Virgin Islands ,58.68,22.47,8.1,7.52,0,0,1.38,0,0,0,0,0,0,0,0
