"Continent","IE","Firefox","Safari","Chrome","Opera","Maxthon","Nokia","iPhone","BlackBerry","NetFront","Mozilla","Minefield","Flock","Windows Media Player"
Bosnia and Herzegovina ,26.15,54.67,0,12.56,5.5,0,0,0,0,0,0,0,0,0
Syrian Arab Republic ,70.95,20.81,0,2.85,3.42,0,1.13,0,0,0,0,0,0,0
Costa Rica ,48.76,35.6,3.29,7.85,1.97,0,1.19,0,0,0,0,0,0,0
Honduras ,59.06,26.42,1.56,7.85,2.4,0,1.39,0,0,0,0,0,0,0
Palestinian Territory ,71.26,20.07,0,5.6,1.73,0,0,0,0,0,0,0,0,0
Latvia ,31.96,50.33,1.55,6.66,8.65,0,0,0,0,0,0,0,0,0
Bolivia ,68.23,23.76,1.02,4.84,1.28,0,0,0,0,0,0,0,0,0
Dominican Republic ,49.29,35.58,2.69,10.2,1.31,0,0,0,0,0,0,0,0,0
Oman ,71.93,13.86,0,6.42,2.34,0,3.85,0,0,0,0,0,0,0
Uruguay ,49.35,35.99,0,11.69,1.44,0,0,0,0,0,0,0,0,0
Panama ,65.26,23.37,2.4,7.23,0,0,0,0,0,0,0,0,0,0
Estonia ,33.59,48.41,2.74,7.46,6.76,0,0,0,0,0,0,0,0,0
Nigeria ,35.54,25.02,0,4.7,32.53,0,0,0,0,0,0,0,0,0
El Salvador ,47.69,40.54,1.66,7.89,1.36,0,0,0,0,0,0,0,0,0
Cyprus ,61.92,27.43,1.9,6.09,1.84,0,0,0,0,0,0,0,0,0
Lebanon ,66.85,19.89,2.21,7.71,1.5,0,1.09,0,0,0,0,0,0,0
Mongolia ,45.92,48.05,0,3.7,1.47,0,0,0,0,0,0,0,0,0
Bangladesh ,31.26,43.16,0,6.27,15.55,0,2.04,0,0,0,0,0,0,0
Sri Lanka ,40.24,38.32,0,15.78,3.48,0,0,0,0,0,0,0,0,0
Libya ,56.95,21.3,0,9.63,6.32,0,4.46,0,0,0,0,0,0,0
Iraq ,74.84,13.3,0,3.77,4.29,0,2.67,0,0,0,0,0,0,0
Belarus ,23.08,25.08,0,3.83,45.87,0,0,0,0,0,0,0,0,0
Moldova ,28.34,44.81,0,10.27,15.08,0,0,0,0,0,0,0,0,0
Georgia ,28.1,18.04,0,7.12,45.4,0,0,0,0,0,0,0,0,0
Sudan ,61.44,21.89,0,3.25,7.45,0,4.47,0,0,0,0,0,0,0
Iceland ,38.31,41.03,8.31,9.89,1.76,0,0,0,0,0,0,0,0,0
Azerbaijan ,54.33,14.38,0,4.33,25.05,0,0,0,0,0,0,0,0,0
Trinidad and Tobago ,44.65,33.73,3.18,15.21,1.82,0,0,0,0,0,0,0,0,0
Brunei Darussalam ,23.83,38.33,4.86,8.82,10.18,0,11.61,0,0,0,0,0,0,0
Albania ,22.03,52.1,0,22.6,1.68,0,0,0,0,0,0,0,0,0
Malta ,57.91,26.94,2.36,10.41,1.19,0,0,0,0,0,0,0,0,0
Montenegro ,36.01,38.45,0,13.55,8.37,0,1.71,0,0,0,0,0,0,0
Nicaragua ,43.92,46.3,1.29,6.24,1.56,0,0,0,0,0,0,0,0,0
Bermuda ,72.69,12.4,10.2,3.4,0,0,0,0,0,0,0,0,0,0
Yemen ,67.45,19.95,0,7.13,3.7,0,0,0,0,0,0,0,0,0
Luxembourg ,42.65,40.56,7.89,4.98,1.66,0,0,1.29,0,0,0,0,0,0
Jamaica ,41.07,40.27,2.78,12.31,2.19,0,0,0,0,0,0,0,0,0
Cambodia ,57.76,29.89,1.95,4.05,3.49,0,1.53,0,0,0,0,0,0,0
Kazakhstan ,32.86,29.39,0,4.45,31.49,0,0,0,0,0,0,0,0,0
Nepal ,51.77,29.76,1.24,10.14,6.18,0,0,0,0,0,0,0,0,0
Kenya ,37.02,38.8,2.21,6.38,14.09,0,0,0,0,0,0,0,0,0
Myanmar ,41.7,54.23,0,2.53,0,0,0,0,0,0,0,0,0,0
Mauritius ,31.74,48.27,2.13,11.19,4.78,0,1,0,0,0,0,0,0,0
Macao ,66.27,21.22,3.13,5.18,0,2.28,0,0,0,0,0,0,0,0
Senegal ,38.15,52.94,1.11,6.32,0,0,0,0,0,0,0,0,0,0
Bahamas ,61.52,22.47,5.85,7.17,0,0,0,0,0,0,0,0,0,0
Angola ,64.3,17.02,3.11,6.99,5.28,0,1.68,0,0,0,0,0,0,0
Ghana ,33.18,49.87,1.86,4.75,8.51,0,0,0,0,0,0,0,0,0
Netherlands Antilles ,65,21.57,4.3,6.59,1.35,0,0,0,0,0,0,0,0,0
Lao Peoples Democratic Republic ,61.27,26.51,1.45,2.73,5.58,0,1.28,0,0,0,0,0,0,0
Barbados ,46.83,37.15,3.22,10.35,1.09,0,0,0,0,0,0,0,0,0
Cote dIvoire ,54.08,25.86,0,6.3,10.6,0,1.09,0,0,0,0,0,0,0
Isle of Man ,62.32,20.26,7.56,7.23,0,0,0,0,0,0,0,0,0,0
Reunion ,36.33,47.02,7.22,5.97,1.8,0,0,0,0,0,0,0,0,0
Tanzania ,63.23,21.71,2.71,4.26,5.76,0,1.54,0,0,0,0,0,0,0
Faroe Islands ,64.95,22.19,3.62,7.45,0,0,0,0,0,0,0,0,0,0
Armenia ,29.26,39.83,1.05,10.81,17.73,0,0,0,0,0,0,0,0,0
Guam ,51.06,31.02,6.33,7.84,0,0,0,1.23,0,0,0,0,0,0
Mozambique ,53,30.29,2.41,6.12,6.02,0,1.48,0,0,0,0,0,0,0
Ethiopia ,63.45,27.57,0,5.42,2.1,0,0,0,0,0,0,0,0,0
Uganda ,44.99,44.68,1.84,4.87,2.7,0,0,0,0,0,0,0,0,0
Guadeloupe ,49.77,36,5.26,6.07,1.78,0,0,0,0,0,0,0,0,0
Jersey ,60.44,19.16,11.24,5.73,0,0,0,0,0,0,0,0,0,0
Aruba ,60.96,24.82,4.44,7.04,0,0,0,0,0,0,0,0,0,0
Maldives ,29.26,51.61,2.28,10.24,4.41,0,0,0,0,0,0,0,0,0
Grenada ,56.72,28.59,3.46,8.41,1.46,0,0,0,0,0,0,0,0,0
Cameroon ,34.29,58.45,0,4.24,1.27,0,0,0,0,0,0,0,0,0
Andorra ,63.68,22.36,4.7,6.51,1.14,0,0,0,0,0,0,0,0,0
Martinique ,52.84,33.43,5.32,6.06,1.08,0,0,0,0,0,0,0,0,0
Botswana ,60.64,23.21,3.43,7.37,2.34,0,0,0,0,1.45,0,0,0,0
Guernsey ,60.65,20.65,9.12,6.04,0,0,0,0,0,0,0,0,0,0
Cayman Islands ,56.39,25.28,9.09,7.08,0,0,0,0,0,0,0,0,0,0
 ,6.99,78.44,1.71,2.34,9.52,0,0,0,0,0,0,0,0,0
Saint Lucia ,52.96,32.39,2.79,9.7,1.22,0,0,0,0,0,0,0,0,0
Suriname ,58.7,25.97,0,5.48,5.84,0,1.4,0,0,0,0,0,0,0
Namibia ,56.92,22.03,2.36,7.34,6.61,0,2.31,0,0,0,0,0,0,0
Fiji ,49.43,36.68,3,8.05,1.34,0,0,0,0,0,0,0,0,0
Saint Kitts and Nevis ,55.3,28.42,5.24,7.76,1.66,0,0,0,0,0,0,0,0,0
Uzbekistan ,30.48,22.53,1.31,5.17,37.69,0,1.39,0,0,0,0,0,0,0
Cape Verde ,69.84,20.65,1.59,6.08,1.07,0,0,0,0,0,0,0,0,0
Djibouti ,82.58,11.77,0,4.14,0,0,0,0,0,0,0,0,0,0
Cuba ,40.93,50.53,0,2.92,2.7,0,0,0,0,0,1.81,0,0,0
Haiti ,66.73,21.76,3.04,5.48,1.27,0,0,0,0,0,0,0,0,0
Antigua and Barbuda ,55.48,28.06,4.59,9.24,1.14,0,0,0,0,0,0,0,0,0
Gibraltar ,59.77,27.62,4.22,5.87,0,0,0,0,0,0,0,0,0,0
French Guiana ,50.23,40.48,2.7,5.17,0,0,0,0,0,0,0,0,0,0
