Continent,Chrome,IE,Safari,Firefox,iPhone,Android,Yandex Browser,Opera,UC Browser,Nokia,NetFront,Unknown,BlackBerry,IEMobile,Sogou Explorer,QQ Browser,Maxthon,CoRom+,Puffin,Openwave Mobile Browser,iPod Touch,Obigo,SonyEricsson,Silk,Phantom,Dolfin,360 Safe Browser,Iron,Iceweasel
United Arab Emirates ,41.78,14.98,8.73,8.46,4.12,6.93,0,3.04,7.35,2.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Venezuela ,53.11,11.79,2.15,23.97,1.23,3.62,0,1.41,0,0,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Israel ,45.98,27.94,3.69,8.77,4.76,3.96,0,1.16,0,0,0,0,2.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangladesh ,8.9,1.4,0,17.81,0,3.72,0,44.68,13.12,6.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morocco ,48.97,6.64,2.65,26.91,2.16,5.58,0,3.37,0,1.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria ,42.45,13.8,1.57,32.75,0,3.41,0,3.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway ,33.41,30.82,13.41,11.97,4.76,3.09,0,1.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iraq ,45.73,7.37,2.66,15.55,4.86,17.78,0,1.84,0,2.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bosnia and Herzegovina ,52.85,5.48,1.62,32.12,0,3.16,0,3.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland ,41.91,15.75,11.93,11.9,8.28,6.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denmark ,35.25,22.74,18.37,10.59,8.1,3.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Croatia ,43.4,11.89,2.88,30.83,2,4.76,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland ,34.49,13.27,9.73,25.63,5.6,5.23,0,1.49,0,0,0,0,0,3.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Africa ,17.73,15.88,4.31,6.78,2.29,5.67,0,19.65,1.78,7.03,0,0,16.27,1.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tunisia ,63.89,6.08,2.25,16.15,1.65,3.52,0,2.28,0,1.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Zealand ,38.27,18.87,15.16,13.36,5.75,5.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria ,27.52,20.32,10.46,28.67,3.91,6.19,0,1.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czech Republic ,38.45,19.12,3.36,28.49,0,2.73,0,4.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria ,40.52,7.88,1.35,38.46,1.04,4.53,0,2.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland ,24.03,23.58,18.59,20.93,6.98,3.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hong Kong ,36.57,24.24,10.88,10.81,5.01,8.71,0,1.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iran ,18.58,17.01,1.6,33.42,1.59,5.69,0,9.16,5.41,3.48,0,0,0,0,0,0,0,0,2.8,0,0,0,0,0,0,0,0,0,0
Ukraine ,39.17,9.37,2.93,19.57,1.1,2.08,3.63,19.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nigeria ,8.36,4.22,2.56,10.81,0,3.65,0,43.34,15,8.11,0,0,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania ,57.3,6,2.99,19.03,4.58,4.06,0,2.99,0,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ecuador ,48.17,9.73,4.13,26.81,1.56,4.54,0,1.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenya ,8.96,2.76,1.35,13.42,0,5.04,0,44.33,2.28,14.83,1.66,0,0,1.06,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0
Macedonia ,58.89,4.26,1.4,26.38,1.67,3.58,0,2.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guatemala ,43.83,15.91,4.66,14.42,4.46,9.41,0,3.17,0,0,0,0,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
