Continent,Chrome,IE,Safari,Firefox,iPhone,Android,Yandex Browser,Opera,UC Browser,Nokia,NetFront,Unknown,BlackBerry,IEMobile,Sogou Explorer,QQ Browser,Maxthon,CoRom+,Puffin,Openwave Mobile Browser,iPod Touch,Obigo,SonyEricsson,Silk,Phantom,Dolfin,360 Safe Browser,Iron,Iceweasel
Cayman Islands ,35.02,21.17,21.33,11.55,4.8,2.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belize ,36.17,15.34,8.22,23.42,3.71,8.31,0,1.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benin ,22.59,4.12,2.46,16.05,0,4.85,0,28.77,10.51,5.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Mariana Islands ,54.21,20.28,6.74,10.16,1.05,5.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhutan ,37.91,6.26,3.17,17.68,2.12,4.12,0,7.72,8.74,8.16,1.12,0,0,1.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guernsey ,21.36,23.43,28.15,10.83,8.36,4.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0
Andorra ,35.05,21.34,15.76,13.55,4.55,7.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Caledonia ,32.41,18.4,14.89,22.27,2.17,7.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tajikistan ,36.71,5.92,2.89,6.35,3,7.04,1.92,23.87,4.34,5.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niger ,6.29,4.95,1.95,9.64,0,9.4,0,32.57,10.85,13.39,3.39,0,0,0,0,0,0,0,0,0,0,1.41,0,0,2.53,0,0,0,0
Gabon ,22.64,24.04,6.34,22.47,1.48,5.87,0,8.72,1.15,1.43,0,0,2.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sierra Leone ,6.54,6.75,2.16,11.15,1.29,3.87,0,49.91,10.22,5.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Lucia ,46.93,16.44,5.92,19.4,1.31,3.87,0,1.43,0,0,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06,0,0
Djibouti ,35.68,10.45,3.1,21.68,1.22,4.43,0,8.28,7.19,5.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Somalia ,20.63,7.03,0,13.69,0,2.59,0,36.75,6.63,9.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Swaziland ,10.66,14.03,1.38,8.03,0,3.56,0,40.19,2.97,12.68,0,0,0,2.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gibraltar ,32.9,19.65,21.14,12.56,7.04,4.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkina Faso ,12.15,9.37,2.29,21.56,0,8.66,0,18.8,9.39,4.36,3.33,0,0,0,0,0,0,0,0,2.25,0,1.2,0,0,2.37,0,0,0,0
Lesotho ,11.79,17.26,1.32,8.85,0,2.27,0,34.36,4.19,15.47,1.13,0,0,0,0,0,0,0,0,1.13,0,0,0,0,0,0,0,0,0
Guinea ,12.84,6.97,2.99,14.8,2.19,11.93,0,29.2,6.71,3.96,2.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Kitts and Nevis ,48.19,15.09,14.7,12.72,2.18,3.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Vincent and the Grenadines ,53.5,14.21,6.58,14.65,1.23,4.51,0,0,0,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seychelles ,25.97,18.29,5.79,24.4,1.51,7.79,0,5.81,2.16,4.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.08,0,0
Turkmenistan ,27.01,8.01,1.95,4.22,9.52,25.83,0,6.91,5.3,7.74,0,0,0,0,0,0,0,0,1.32,0,0,0,0,0,0,0,0,0,0
Monaco ,26.63,22.5,27.33,15.73,4.81,1.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turks and Caicos Islands ,41.61,19.36,18.49,9.56,3.78,3.39,0,1.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liberia ,13.71,10.68,3.99,10.67,2.08,11.81,0,25.64,9.59,9.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gambia ,16.15,7.02,2.9,28.75,3.09,8.47,0,18.72,8.8,2.02,0,0,0,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
San Marino ,27.83,24.57,16.13,21.07,4.4,4.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liechtenstein ,19.27,31.81,17.95,20.5,6.11,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mayotte ,41.42,15.72,3.86,21.61,2.23,10.54,0,1.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.52,0,0,0
Timor-Leste ,8.47,8.96,2.03,22.1,0,3.38,0,37.99,3.28,10.89,0,0,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cook Islands ,8.67,14.49,2.74,6.54,1.11,2.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.87,0
Greenland ,23.22,26.72,15.46,7.62,7.76,6.91,0,9.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burundi ,13.25,11.25,3.04,22.58,1.65,5.88,0,29.27,4.7,4.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominica ,47.61,11.72,4.95,14.17,0,5.86,0,8.87,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,1.27,0,0,0,0,0
Congo ,14.6,10.89,3.75,19.36,2,8.09,0,17.77,11.21,1.62,1.71,0,1.36,0,0,0,0,0,0,1.94,0,1.67,0,0,0,0,0,0,0
Equatorial Guinea ,25.86,19.01,4.84,21.84,3.03,6.34,0,10.62,3.04,2.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Micronesia ,47.81,17.7,6.87,19.17,1.62,2.71,0,1.71,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
British Virgin Islands ,32.44,29.38,17.83,11.11,3.31,3.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American Samoa ,31.27,14.27,20.63,20.94,2.26,5.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
Marshall Islands ,36.97,18.12,8.51,28.91,1.2,3.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Holy See (Vatican City State) ,25.01,43.4,7.71,21.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sao Tome and Principe ,44.88,25.73,4.25,16.4,0,2.12,0,2.66,1.41,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Martin ,33.21,17.57,24.34,11.07,3.85,5.11,0,0,0,0,0,0,3.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tonga ,22.81,18.01,5.71,40.75,1.16,4.89,0,1.39,0,2.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Samoa ,17.92,18.39,2.99,19.99,1.72,13.88,0,14.79,2.12,5.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anguilla ,33.17,29.02,11.96,14.3,3.53,3.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04,0,0,0,0,0
Comoros ,37.66,14.62,2.49,29.16,1.12,5.72,0,3.76,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05,0,0,0
Saint Pierre and Miquelon ,37.02,21.3,12.68,24.39,0,2.04,0,1.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vanuatu ,27.39,23.56,6.21,25.73,1.52,12.11,0,0,1.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eritrea ,6.92,11.46,0,77.99,0,0,0,1.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solomon Islands ,18.42,18.06,3.45,11.53,2.33,7.16,0,18.59,5.76,10.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chad ,18.19,6.89,1.52,10.38,0,6.67,0,28.96,4.61,15.11,1.2,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0
Guinea-Bissau ,25.88,25.12,7.73,30.94,1.37,4.68,0,2.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palau ,37.34,33.51,4.77,18.35,0,3.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Falkland Islands (Malvinas) ,19.38,45.21,14.25,14.33,2.7,1.66,0,1.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic ,17.75,15.67,3.76,28.52,2.34,16.47,0,14.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Democratic People's Republic of Korea ,41.79,15.64,6.41,29.41,1.39,2.64,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kiribati ,14.57,23.76,2.47,40.51,0,3.72,0,13.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wallis and Futuna ,31.67,13.02,11.44,37.96,0,4.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Helena ,38.42,51.1,3.25,4.82,0,1.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montserrat ,46.88,35.45,2.25,9.7,0,1.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7
Niue ,37.97,16.87,2.26,39.59,1.24,1.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuvalu ,37.38,18.88,9.79,29.76,1.46,2.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nauru ,25.82,37.8,17.97,12.27,3,2.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tokelau ,59.07,13.26,0,27.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norfolk Island ,0,35.94,0,64.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western Sahara ,33.33,0,0,66.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
