"Continent","Chrome","IE","Safari","Firefox","iPhone","Android","360 Safe Browser","Yandex Browser","Opera","UC Browser","Nokia","NetFront","Unknown","BlackBerry","IEMobile","Sogou Explorer","QQ Browser","Maxthon","CoRom+","Puffin","iPod Touch","Obigo","Silk","Phantom","Openwave Mobile Browser","SonyEricsson","Dolfin","Iron","Iceweasel","Sony PSP Vita"
Venezuela ,53.73,11.08,2.26,22.69,1.51,4.44,0,0,1.45,0,0,0,0,1.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Arab Emirates ,42.26,14.64,8.71,8.26,4.34,6.92,0,0,3.05,7.32,2.08,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgium ,33.5,29.69,12.63,14.55,3.62,3.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Israel ,42.81,24.62,3.43,8.11,4.46,3.65,0,0,2.91,0,0,0,0,9.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vietnam ,43.47,7.54,4.14,15.98,9.19,3.06,0,0,2.18,1.12,0,0,0,0,1.57,0,0,0,9.55,0,0,0,0,0,0,0,0,0,0,0
Bangladesh ,9.69,1.37,0,18.46,0,3.66,0,0,43.91,13.77,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria ,42.84,13.74,1.66,31.87,1.02,3.52,0,0,3.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morocco ,47.83,6.55,2.7,26,2.38,6.88,0,0,3.64,0,1.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iraq ,47.38,7.48,2.67,15.33,4.94,16.2,0,0,1.91,0,2.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway ,38.94,18.67,16.84,12.65,6.03,3.66,0,0,2.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bosnia and Herzegovina ,53.06,5.36,1.61,31.16,0,3.63,0,0,3.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denmark ,35.93,21.45,18.7,10.4,8.71,3.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland ,34.81,13.16,9.9,25.11,5.8,5.14,0,0,1.43,0,0,0,0,0,3.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland ,41.9,15.53,12.21,11.43,8.57,6.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Croatia ,44.05,11.32,2.89,30.33,2.18,5,0,0,3.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Africa ,18.82,15.2,4.44,6.69,2.48,6.13,0,0,20.71,1.86,6.73,0,0,14.53,1.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Zealand ,38.95,18.31,15.44,12.88,6.1,5.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tunisia ,65.5,5.52,2.19,15.44,1.5,3.49,0,0,2.22,0,1.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland ,25.55,22.23,18.63,20.32,7.2,3.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria ,40.87,7.56,1.33,37.45,1.07,5.56,0,0,2.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hong Kong ,37.31,23.88,11.06,10.29,5.75,9.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czech Republic ,37.54,20.27,3.5,27.75,0,2.8,0,0,4.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria ,28.43,18.86,10.32,29.03,4.19,6.2,0,0,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nigeria ,9,4.11,2.69,10.12,0,4.28,0,0,43.73,14.54,7.53,0,0,1.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania ,57.69,5.82,3.07,18.73,4.43,4.19,0,0,3.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ecuador ,48.93,9.27,4.05,26.16,1.68,4.77,0,0,1.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine ,39.61,8.8,3.19,19.45,1.38,2.24,0,3.55,19.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iran ,18.89,15.08,1.57,31.09,1.83,5.85,0,0,11.17,5.97,3.41,0,0,0,0,0,0,0,0,3.62,0,0,0,0,0,0,0,0,0,0
Kenya ,10.01,2.85,1.48,14.04,0,5.49,0,0,44.27,2.78,12.96,1.26,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guatemala ,44.89,15.3,4.61,13.69,4.6,9.9,0,0,2.98,0,0,0,0,1.18,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macedonia ,59.42,4.09,1.48,25.76,1.75,3.73,0,0,2.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka ,24.67,4.28,1.2,14.29,1.42,13.83,0,0,18.56,4.33,9.65,2.91,1.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovakia (Slovak Republic) ,43.76,12.06,3.33,27.35,1.26,4.16,0,0,6.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan ,49.19,5.45,1.96,3.9,2.84,8.6,0,2.83,19.95,0,2.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic ,57.25,8.86,5.37,12.69,3.55,5.89,0,0,1.94,0,0,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Qatar ,40.5,14.92,6.87,7.99,4.18,7.81,0,0,10.23,4.03,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovenia ,41.87,14.67,4.48,31.21,1.16,3.96,0,0,1.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uruguay ,57.82,9.65,2.57,20.15,0,4.01,0,0,1.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan ,46.83,9.23,2.9,10.25,3.4,16.22,0,0,5.22,0,3.51,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania ,41.89,13.63,2.83,30.07,0,2.76,0,0,6.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Georgia ,61.66,3.59,1.57,7.72,1.04,1.62,0,0,19.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Salvador ,46.45,12.52,4.01,20.13,2.54,7.11,0,0,3.47,0,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
