"Continent","Chrome","IE","Safari","Firefox","iPhone","Android","360 Safe Browser","Yandex Browser","Opera","UC Browser","Nokia","NetFront","Unknown","BlackBerry","IEMobile","Sogou Explorer","QQ Browser","Maxthon","CoRom+","Puffin","iPod Touch","Obigo","Silk","Phantom","Openwave Mobile Browser","SonyEricsson","Dolfin","Iron","Iceweasel","Sony PSP Vita"
Botswana ,24.46,20.23,3.56,21.79,1.27,3.96,0,0,7.76,6.72,5.78,0,0,1.24,1.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haiti ,23.11,13.9,5.9,10.95,3.07,10.03,0,0,11.02,4.6,0,4.03,0,0,0,0,0,0,0,0,0,8.06,0,0,0,0,0,0,0,0
Fiji ,26.81,13.22,4.53,28.88,1.81,12.37,0,0,7.14,1.98,1.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania ,38.13,8.02,1.95,20.49,2.36,6.73,0,0,9.89,2.42,6.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Togo ,17.63,7.66,2.21,51.61,0,5.22,0,0,6.91,3.78,1.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jersey ,24.82,24.36,28.12,11.54,6.34,2.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French Polynesia ,32.12,14.14,16.68,25.48,3.48,5.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rwanda ,20.36,5.85,2.9,26.31,0,3.38,0,0,33.05,3.19,2.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French Guiana ,43,17.27,6.05,21.3,1.7,7.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benin ,20.62,4.84,1.62,17.3,1.06,5.42,0,0,30.36,10.21,4.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cayman Islands ,34.23,19.87,20.15,10.68,6.65,3.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.68,0,0,0,0,0,0,0
Belize ,36.07,15.4,8.24,23.1,4.02,8.41,0,0,1.02,0,0,0,0,0,0,0,0,0,0,0,1.13,0,0,0,0,0,0,0,0,0
Cape Verde ,47.33,20.35,3.82,15.56,1.59,4.94,0,0,3.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,20,9.3,100,100,2.96,2.59,0,0,0,0,0,0,0,2.68,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhutan ,40.78,6.21,3.08,17.53,2.22,4.04,0,0,6.85,8.03,7.97,0,0,0,1.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabon ,22.11,21.39,5.72,21.72,1.54,5.72,0,0,11.65,1.6,2.25,0,0,2.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guernsey ,21.54,27.93,30.12,9.11,6,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02,0,0,0,0,0,0,0
Djibouti ,34.17,8.38,1.93,20.33,1.04,4.32,0,0,9.84,9.39,7.36,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Mariana Islands ,50.65,22.65,6.53,11.1,1.14,6.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Caledonia ,33.03,17,15.07,23.19,2.45,7.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Lucia ,48.87,15.43,5.77,18.5,1.55,3.9,0,0,1.79,0,0,0,0,1.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkina Faso ,12.88,10.58,2.07,25.85,0,9.41,0,0,17.64,7.54,3.89,2.38,0,0,0,0,0,0,0,0,0,0,0,2.28,1.19,0,0,0,0,0
Andorra ,34.44,20.58,16.35,12.54,5.39,8.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tajikistan ,35.18,6.61,2.83,6.58,3.19,7.54,0,1.73,24.58,3.97,5.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niger ,8.54,8.9,1.51,10.34,0,10.88,0,0,29.47,10.43,11.32,2.29,0,0,0,0,0,0,0,0,0,1.09,0,1.99,0,0,0,0,0,0
Sierra Leone ,7.5,6.52,1.99,11.3,1.33,4.02,0,0,48.75,10.37,5.69,0,0,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Swaziland ,11.53,14.34,1.65,6.88,1.06,3.77,0,0,39.18,3.39,13.79,0,0,0,2.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea ,14.14,7.48,3.32,18.89,2.09,12.56,0,0,27.7,5.9,2.46,1.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gibraltar ,33,19.93,21.56,11.81,7.4,4.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo (Republic of the),12.24,10.79,3.16,17.38,1.87,5.8,0,0,33.5,7.3,1.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lesotho ,11.55,16.34,1.33,8.58,0,2.82,0,0,33.69,4.98,15.54,1.26,0,0,1.22,0,0,0,0,0,0,0,0,0,1.18,0,0,0,0,0
Saint Vincent and the Grenadines ,55.16,13.24,5.79,13.33,1.86,4.34,0,0,1.51,0,0,0,0,1.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Kitts and Nevis ,48.31,14.93,15.41,11.29,2.68,3.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seychelles ,22.04,25.29,5.4,21.92,1.87,7.31,0,0,4.8,3.85,3.97,0,0,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gambia ,14.89,7.01,3.03,30.93,3.31,9.24,0,0,16,9.74,2.02,0,0,0,1.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mayotte ,43.86,13.03,3.64,20.45,3.13,11.4,0,0,1.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05,0,0,0
Monaco ,26.71,20.08,29.39,15.91,4.83,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkmenistan ,28.43,6.69,2.15,4.35,10.3,24.05,0,0,7.64,4.89,7.44,0,0,0,1.07,0,0,0,0,1.08,0,0,0,0,0,0,0,0,0,0
Turks and Caicos Islands ,37.3,17.8,17.25,13.84,5.27,3.46,0,0,2.01,0,0,0,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liberia ,13.19,10.62,3.56,10.19,2.31,17.2,0,0,22.93,10.4,7.11,0,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liechtenstein ,21.73,28.77,18.25,20.19,6.52,2.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cook Islands ,10.11,13.83,3.37,6.57,1.2,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.37,0,0
Timor-Leste ,8.02,11.47,2.24,22.12,0,3.17,0,0,36.62,3.15,10.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
San Marino ,33.59,21.32,14.03,22.66,3.61,3.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burundi ,13.75,12.18,3.11,23.59,0,5.46,0,0,30.12,4.39,3.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Somalia ,32.73,11.69,1.06,22,0,4.45,0,0,15.3,3.75,7.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominica ,48.89,15.49,5.22,12.83,1.03,5.39,0,0,5.32,0,0,0,0,1.05,0,0,0,0,0,0,0,0,2.11,0,0,0,0,0,0,0
Greenland ,23.9,24.9,16.83,7.5,9.42,5.74,0,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
British Virgin Islands ,35.88,29.43,16.19,9.09,3.55,3.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equatorial Guinea ,27.72,18.45,5.08,20.5,2.24,9.39,0,0,9.96,2.86,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American Samoa ,29.32,13.23,17.67,20.02,4.1,9.01,0,0,1.75,0,0,0,0,0,0,0,0,0,0,0,2.36,0,0,0,0,0,0,0,0,0
Micronesia ,38.22,17.21,7.17,21.55,0,2.33,0,0,11.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anguilla ,35.59,25.22,9.22,21.03,2.35,2.43,0,0,1.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chad ,7.37,7.1,1.85,6.35,1.91,8.19,0,0,31.89,3.38,22.89,1.93,0,0,0,0,0,0,0,0,0,0,0,1.39,1.67,0,0,0,0,0
Marshall Islands ,40.42,17.61,8.22,24.26,2.44,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.97,0,0,0,0,0,0,0,0,0
Vanuatu ,31.63,22.59,7.98,22.53,2.5,10.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Holy See (Vatican City State) ,31.15,40.43,7.81,18.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15,0
Tonga ,26.11,17.69,7.08,33.98,1.42,6.35,0,0,1.15,0,2.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Pierre and Miquelon ,42.22,15.18,12.39,25.52,0,2.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Martin ,36.07,12.9,25.73,10.29,5.09,6.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Samoa ,16.87,16.32,3.23,19.73,1.59,18.1,0,0,13.7,2.14,4.3,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0,0,0,0
Sao Tome and Principe ,38.54,28.54,5.25,18.34,0,2.67,0,0,3.18,1.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comoros ,34.23,13.49,3.01,32.26,1.02,5.7,0,0,4.33,2.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solomon Islands ,21.38,22.58,4.86,12.02,1.34,5.56,0,0,14.83,6.29,7.98,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eritrea ,13.01,11.24,0,72.13,0,0,0,0,1.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palau ,33.61,30.88,5.87,20.28,1.09,5.11,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea-Bissau ,19.58,24.12,10.73,31.24,3.28,5.58,0,0,1.08,0,0,0,0,0,0,0,0,1.05,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic ,19.51,15.34,10.98,26.95,0,15.58,0,0,9.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Korea ,46.2,13.45,8.42,22.42,0,1.35,1.05,0,2.12,0,0,0,0,0,0,3.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kiribati ,21.25,19.53,1.63,44.27,0,3.34,0,0,8.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Falkland Islands (Malvinas) ,23.61,33.06,18.97,15.27,3.55,3.32,0,0,1.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wallis and Futuna ,37.44,10.82,11.04,33.8,0,3.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.35
Montserrat ,38.43,32.49,7.47,15.75,0,2,0,0,1.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Helena ,34.96,45.35,4.9,9.33,0,1.35,0,0,0,0,0,0,0,2.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuvalu ,41.97,26.6,4.72,23.24,0,2.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niue ,33.82,5.34,5.06,46.3,1.56,6.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06,0,0,0,0,0,0,0,0,0
Tokelau ,23.9,27.2,2.2,43.96,0,2.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nauru ,65.71,6.67,0,26.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norfolk Island ,13.86,30.69,0,55.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Svalbard & Jan Mayen Islands ,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Barthelemy ,4.26,0,0,89.36,0,0,0,0,0,0,0,0,0,0,0,0,6.38,0,0,0,0,0,0,0,0,0,0,0,0,0
Christmas Island ,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Georgia and the South Sandwich Islands ,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
