"Continent","IE","Chrome","Firefox","Safari","iPhone","Android","Opera","Yandex Browser","BlackBerry","UC Browser","Nokia","NetFront","Dolfin","Sogou Explorer","360 Safe Browser","Maxthon","QQ Browser","IEMobile","iPod Touch","Sony PS3","Samsung","Openwave Mobile Browser","Obigo","Unknown","Phantom","Silk","Midori"
Somalia ,10.17,11.63,12.2,0,0,0,49.37,0,0,6.89,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gibraltar ,28.04,29.47,17.12,17.36,3.07,2.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Djibouti ,18.06,31.72,27.29,2.5,0,1.81,9.32,0,0,3.43,3.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Papua New Guinea ,21.53,9.79,10.08,2.42,1.34,6.7,31.64,0,0,4.19,7.97,0,0,0,0,0,0,0,0,0,0,0,1.94,0,0,0,0
Monaco ,28.74,20.51,17.64,25.61,2.2,1.36,2.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mali ,19.55,12.9,25.92,3.9,1.58,6.46,11.45,0,0,3.74,5.62,2.25,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0
Burkina Faso ,23.01,17.71,35.45,3.62,0,2.18,8.09,0,0,3.58,2.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liechtenstein ,36.64,16.17,23.39,15.5,3.74,3.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gambia ,11.74,12.89,43.86,3.21,2.48,5.4,11.28,0,0,4.49,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
British Virgin Islands ,31.62,34.51,13.3,13.89,1.47,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seychelles ,28.69,22.42,27,6.75,1.24,2.84,5.92,0,0,1.44,2.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turks and Caicos Islands ,33.41,29.55,12.78,17.24,2.01,2.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greenland ,45.41,17.87,11.99,15.2,2.99,3.11,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.53
Congo (Democratic Republic of the),17.54,13.99,24.2,4.19,0,4.6,17.83,0,0,5.5,5.71,1.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
San Marino ,29.69,25.45,25.51,14.6,2.17,1.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sierra Leone ,12.48,4.69,11.56,2.9,1.77,3.18,45.07,0,0,8.54,7.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lesotho ,39.98,11.61,16.37,2.62,0,1.11,21.09,0,0,1.6,3.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mayotte ,21.47,31.26,30.04,5.86,0,5.32,2.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Swaziland ,29.1,13.3,17.17,3.63,0,3.06,21.5,0,0,3.14,5.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkmenistan ,13.72,14.73,7.84,2.77,5.29,19.13,15.15,0,0,8.5,10.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Timor-Leste ,13.76,11.99,34.36,3.09,0,4.07,24.37,0,0,1.67,5.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anguilla ,35.05,26.17,14.04,16.58,1.54,1.78,0,0,1.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.43,0
Niger ,24.21,13.72,25.57,3.59,1.03,3.12,11.41,0,0,4.93,8.25,1.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo (Republic of the),24.8,14.27,33.42,5.49,1.57,5.22,8.45,0,0,1.68,1.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liberia ,21.81,13.47,16.36,4.71,1.64,4.09,18.09,0,0,9.1,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American Samoa ,24.12,33.02,20.66,17.79,0,1.74,0,0,0,0,0,0,0,0,0,0,0,0,1.69,0,0,0,0,0,0,0,0
Burundi ,24.62,17.84,37.96,4.28,0,2.36,8.46,0,0,0,1.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equatorial Guinea ,23.7,14.55,28.43,4.28,0,3.19,17.86,0,0,2.92,3.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Micronesia ,24.75,33.88,30.65,6.27,0,1.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vanuatu ,29.7,19.79,27.24,8.53,1.88,5.02,2.69,0,0,1.08,0,0,0,0,0,0,1.58,0,1.11,0,0,0,0,0,0,0,0
Solomon Islands ,29.48,11.99,18.24,6.38,1.14,3.69,14.91,0,0,3.26,8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea ,25.76,17.46,28.64,9.84,2.27,5.07,7.35,0,0,0,1.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comoros ,16.89,17.44,22.56,1.79,0,1.43,38.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Holy See (Vatican City State) ,58.65,17.17,21.7,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cook Islands ,45.23,21.53,17.29,9.56,1.52,2.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Pierre and Miquelon ,25.52,29.75,28.89,10.44,0,1.66,0,0,0,0,0,0,0,0,0,0,0,0,2.37,0,0,0,0,0,0,0,0
Tonga ,20.3,27.42,42.63,6.12,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Samoa ,28.33,17.97,23.89,4.79,1.11,3.57,13.13,0,0,0,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eritrea ,17.23,6,65.43,0,0,0,8.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sao Tome and Principe ,52.11,20.12,19.09,4.03,0,1.17,1.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montserrat ,26.23,51.28,11.43,6.92,0,1.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palau ,26.9,32.98,27.66,7.72,0,1.66,1.02,0,0,0,0,0,0,0,0,0,0,0,1.35,0,0,0,0,0,0,0,0
Falkland Islands (Malvinas) ,49.39,16.19,12.05,10.3,1.1,1.37,8.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marshall Islands ,25.06,22.6,39.38,8.26,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13,0,0,0,0,0,0,0,0
Saint Helena ,66.75,21.07,9.97,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic ,35.67,13.74,36.94,4.77,0,2.4,4.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Martin ,20.92,25.06,14.76,32.56,2.15,1.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04,0
North Korea ,44.86,13.31,36.65,1.83,0,0,2.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kiribati ,14.97,36.34,42.66,1.54,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wallis and Futuna ,16.17,34.24,38.82,8.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuvalu ,9.48,27.94,56.05,6.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea-Bissau ,54.2,18.55,21.62,4.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nauru ,73.23,16.16,10.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tokelau ,75.3,13.25,10.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0
Niue ,0,4.26,25.53,70.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bouvet Island (Bouvetoya) ,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western Sahara ,35.29,0,64.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Svalbard & Jan Mayen Islands ,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Georgia and the South Sandwich Islands ,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pitcairn Islands ,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norfolk Island ,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christmas Island ,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
