"Continent","Chrome","IE","Firefox","Safari","iPhone","Android","Yandex Browser","Opera","BlackBerry","UC Browser","Nokia","NetFront","Sogou Explorer","Maxthon","QQ Browser","360 Safe Browser","IEMobile","iPod Touch","Obigo","Phantom","Silk","Iron","Samsung","Openwave Mobile Browser","Sony PS3","Pale Moon"
Burkina Faso ,17.09,19.06,36.24,3.5,0,4.21,0,8.18,0,4.8,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Djibouti ,32.24,15.77,24.23,3.13,1.06,2,0,8.25,0,5.6,4.4,0,0,1.23,0,0,0,0,0,0,0,0,0,0,0,0
Somalia ,15.5,7.59,15.36,0,0,1.2,0,42.49,0,10.41,5.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monaco ,23.71,25.6,14.51,29.95,3.11,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
British Virgin Islands ,35.91,31.52,11.87,12.66,1.71,2.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.65,0,0,0,0,0
Congo (Democratic Republic of the),13.69,14.32,21.62,4.47,1.22,7.18,0,22.83,0,5.39,4.55,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gambia ,13.72,10.98,39.41,3.45,3.07,5.86,0,12.33,0,6.23,2.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turks and Caicos Islands ,36.14,25.42,11.02,17.29,3.12,3.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sierra Leone ,6.65,8.77,15.5,2.16,1.14,3.77,0,40.97,0,12.42,5.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mayotte ,40.43,21,25.47,4.08,0,4.25,0,2.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liechtenstein ,17.47,31.93,21.6,18.04,6.17,3.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seychelles ,24.47,26.44,24.64,5.55,1.27,3.94,0,5.76,0,2.33,2.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cook Islands ,5.43,16.99,5.64,2.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.61,0,0,0,0
Turkmenistan ,19.11,13.82,10.12,2.1,6.54,21.46,0,9.36,0,5.86,9.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
San Marino ,27.18,26.76,24.21,15.25,2.97,2.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lesotho ,12.09,26.18,10.43,2.28,0,1.91,0,29.89,0,5.06,9.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Timor-Leste ,8.46,8.89,26.95,2.32,0,4.19,0,32.77,0,2.71,11.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liberia ,12.39,16.65,15.48,4.51,1.21,5.47,0,24.85,0,7.96,9.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greenland ,23.6,32.95,11.78,17.52,4.79,4.82,0,2.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Swaziland ,16.71,25.28,15.45,3.21,1.05,2.83,0,27.29,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anguilla ,36.95,30.95,10.62,13.28,2.04,1.77,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0
Burundi ,17.46,17.79,41.8,5.21,0,3.69,0,6.65,0,3.15,1.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niger ,10.94,15.34,20.11,3.31,1.19,4.6,0,22.62,0,7.07,10.56,0,0,0,0,0,0,0,0,1.4,0,0,0,0,0,0
Equatorial Guinea ,22.73,19.75,29.43,4.01,1.17,4.87,0,12.03,0,2.32,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo (Republic of the),17.04,16.42,28.93,5.85,1.94,6.4,0,16.08,0,2.56,1.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American Samoa ,34.33,15.18,20.67,12.94,2.47,6.14,0,1.22,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
Micronesia ,35.7,22.8,30,6.77,0,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Samoa ,19.25,32.26,33.05,2.81,0,2.7,0,5.66,0,0,1.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vanuatu ,29.23,24.71,23.51,8.28,2,5.45,0,3.27,0,1.03,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sao Tome and Principe ,25.68,42.28,22.94,4.36,0,1.44,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chad ,6.11,7.41,7.23,1.55,0,4.23,0,31.36,0,3,25.1,2.97,0,0,0,0,0,0,0,1.07,0,0,3.72,1.95,0,0
Guinea ,17.61,15.91,20.17,8.05,1.32,5.61,0,20.82,0,3.71,2.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Martin ,34.82,17.78,16.02,20.45,3.29,3.28,0,0,1.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.45,0
Marshall Islands ,28.42,21.57,27.98,10.66,5.66,2.53,0,0,0,0,0,0,0,0,0,0,0,1.36,0,0,0,0,0,0,0,0
Holy See (Vatican City State) ,17.81,52.93,22.42,5.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solomon Islands ,14.21,28.51,17.64,6.76,2.22,5.22,0,11.85,0,3.58,8.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Pierre and Miquelon ,37.89,16.74,31.43,10.08,0,1.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comoros ,32.2,20.98,27.29,2.98,0,2.55,0,11.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montserrat ,39.1,42.2,8.17,5.25,0,1.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.57
Eritrea ,13.6,13.28,68.36,0,0,0,0,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tonga ,18.42,20.23,49.35,8.32,0,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palau ,33.3,31.5,22.56,4.52,0,4.72,0,1.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kiribati ,16.35,16.85,62.89,2.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Falkland Islands (Malvinas) ,16.03,43.64,17.92,13.75,2.21,1.31,0,4.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic ,12.66,34.72,36.22,6.27,0,5.97,0,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Korea ,35.71,31.04,22.62,6.09,0,0,0,0,0,0,0,0,2.83,0,0,0,0,0,0,0,0,0,0,0,0,0
Wallis and Futuna ,40.56,11.56,35.06,5.95,0,1.29,0,4.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Helena ,33.71,54.07,8.07,3.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niue ,32.88,15.03,42.99,6.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea-Bissau ,9.84,44.06,42.91,1.18,0,0,0,1.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tokelau ,61.21,9.53,29.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nauru ,63.29,23.14,10.79,2.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuvalu ,55.69,12.56,26.29,3.69,0,1.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western Sahara ,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christmas Island ,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
