"Continent","Chrome","IE","Firefox","Safari","iPhone","Android","Yandex Browser","Opera","BlackBerry","UC Browser","Nokia","NetFront","Sogou Explorer","Maxthon","QQ Browser","360 Safe Browser","IEMobile","iPod Touch","Obigo","Phantom","Silk","Iron","Samsung","Openwave Mobile Browser","Sony PS3","Pale Moon"
Morocco ,49.34,8.17,29.24,2.09,1.6,3.51,0,2.92,0,0,1.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria ,39.81,16.86,35.09,1.37,0,2.12,0,2.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway ,33.39,24.17,14.9,16.98,3.91,3.37,0,2.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland ,39.81,18.38,14.55,11.13,6.97,5.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denmark ,33.81,25.5,12.63,17.34,6.37,3.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iraq ,45.04,13.31,19.62,2.85,3.48,9.31,0,1.88,0,0,2.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bosnia and Herzegovina ,51.49,6.45,34.41,1.57,0,2.18,0,2.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Zealand ,36.17,23.28,15.44,14.6,3.99,3.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland ,29.07,13.18,27.46,8.51,3.52,4.05,0,1.49,0,0,9.65,0,0,0,0,0,2.31,0,0,0,0,0,0,0,0,0
Austria ,24.75,21.41,32.57,9.78,3.12,5.57,0,1.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tunisia ,64.06,7.27,17.7,1.82,1.26,2.35,0,1.94,0,0,1.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iran ,17.63,26.25,36.25,1.66,1.55,4.37,0,6.95,0,1.32,2.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hong Kong ,30.92,28.1,12.45,10.19,4.5,11.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland ,21.23,25.81,22.55,18.41,6.41,3.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
