"Continent","IE","Chrome","Safari","Firefox","iPhone","Android","360 Safe Browser","Yandex Browser","Opera","UC Browser","Nokia","NetFront","Unknown","BlackBerry","IEMobile","Sogou Explorer","Maxthon","QQ Browser","Sleipnir","CoRom+","Puffin","Openwave Mobile Browser","Chromium","iPod Touch","Obigo","Silk","Phantom","Samsung","Jasmine","SonyEricsson","Dolfin","Midori","Iron"
Guyana ,23.41,43.24,3.69,18.39,1.04,2.74,0,0,1.84,0,0,0,0,3.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martinique ,22.12,40.58,7.01,15.11,1.58,10.6,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lao Peoples Democratic Republic ,9.73,22.32,5.46,17.72,8.75,8.57,0,0,9.77,5.48,8.19,0,0,0,2.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands Antilles ,23.91,38.07,15.63,10.88,2.55,4.53,0,0,0,0,0,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guadeloupe ,21.45,37.25,8.56,20.85,1.48,7.74,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uzbekistan ,5.83,23.91,2.03,9.01,3.31,5.3,0,0,31.09,6.26,9.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Namibia ,15.21,15.75,3.21,8.22,1.35,4.56,0,0,23.47,1.94,17.02,4.07,0,1.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda ,18.37,46.03,10.11,11.22,1.92,6.36,0,0,2.08,0,0,0,0,1.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madagascar ,5.52,25.63,2.77,39.58,0,2.56,0,0,12.89,2.92,2.11,1.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Somalia ,3.55,10.91,0,7.87,0,1.27,0,0,56.94,6.65,8.47,1.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cuba ,14.08,9.69,0,72.81,0,0,0,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyrgyz Republic ,8.15,41.57,2.79,9.98,1.97,4.46,0,1.19,22.52,1.8,3.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mali ,4.22,3.68,0,6.31,0,2.68,0,0,20.08,4.13,8.52,20.54,1.4,0,0,0,0,0,0,0,0,9.2,0,0,5.04,0,7.82,0,1.33,0,1.95,0,0
Isle of Man ,30.18,27.13,21.73,13.01,3.58,1.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aruba ,27.89,33.36,12.85,10.15,5.59,6.43,0,0,0,0,0,0,0,1.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Botswana ,22.08,23.93,3.53,20.14,0,2.84,0,0,7.31,5.3,8.34,1.72,0,1.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fiji ,13.04,27.27,5.3,30.88,2.02,7.41,0,0,8.79,1.43,1.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cape Verde ,26.15,48.55,2.84,14.85,0,2.28,0,0,2.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan ,15.82,22.68,4.36,20.52,4.81,5.97,0,0,10.84,6.27,6.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rwanda ,6.07,16.36,2.37,22.86,0,1.73,0,0,34.66,4.95,5.46,0,2.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jersey ,25.29,29.14,24.66,12.14,4.34,2.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haiti ,13.7,18.94,5.34,10.5,1.97,4.6,0,0,9.81,2.78,1.79,7.13,6.24,1.35,0,0,0,0,0,0,0,0,0,0,12.77,0,0,0,0,0,0,0,0
Belize ,14.68,41.2,6.53,22.93,3.09,6.87,0,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French Polynesia ,13.78,32.51,16.15,26.92,2.93,4.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania ,9.76,37.96,2.45,21.79,1.56,3.65,0,0,9.37,2.18,6.33,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.36,0,0,0,0,0,0
Bhutan ,7.75,39.53,3.23,18.08,1.44,3.19,0,0,8.39,8.71,6.35,1.16,0,0,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French Guiana ,20.04,40.31,6.27,22.74,1.3,6.59,0,0,1.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cayman Islands ,23.12,36.52,19.09,11.84,4.25,2.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Togo ,8.18,15.08,2.12,46.81,0,2.81,0,0,11.09,6.27,2.65,1.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benin ,5.19,19.58,0,17.22,0,2.91,0,0,29.34,9.72,8.03,2.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grenada ,14.05,59.95,8.08,11.51,0,2.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33,0,0,0,0,0,0,0
Andorra ,28.44,35.22,13.43,13.41,2.71,5.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Caledonia ,20.25,32.25,13.88,23.13,1.88,6.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,38.46,29.8,8.02,61.54,4.06,5.15,0,0,0,0,0,0,0,7.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Mariana Islands ,24.4,47,6.58,11.65,1.18,7.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Lucia ,16.42,49.21,5.42,17.9,1.39,3.1,0,0,1.85,0,0,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niger ,5.41,4.28,0,9.69,0,3.28,0,0,29.61,10.61,15.12,9.25,0,0,0,0,0,0,0,0,0,1.33,0,0,2.48,0,5,0,0,0,0,0,0
Swaziland ,10.93,8.95,1.38,6.4,0,1.93,0,0,44.27,0,16.68,2.38,0,1.9,1.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guernsey ,23.95,24.74,23.6,11.36,7.04,3.51,0,0,0,0,0,0,0,0,3.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tajikistan ,7.46,33.19,2.64,6.62,2.37,5.69,0,1.48,26.71,3.03,7.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sierra Leone ,6.16,6.18,1.6,12.34,0,2.26,0,0,48.48,12.86,6.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Djibouti ,9.76,32.74,1.94,21.4,0,3.8,0,0,3.11,9.86,10.24,2.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkina Faso ,9.87,9.14,1.86,21.71,0,3.79,0,0,18.83,8.04,5.68,7.02,0,0,0,0,0,0,0,0,0,2.56,0,0,2.79,0,4.15,0,0,0,1.14,0,0
Gibraltar ,19.97,36.67,18.45,12.7,5.76,4.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Kitts and Nevis ,15.01,51.23,13.46,12.43,1.76,2.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lesotho ,13.39,9.54,1.35,6.61,0,0,0,0,33.53,5.11,18.61,4.86,0,0,0,0,0,0,0,0,0,2.93,0,0,0,0,0,0,0,0,0,0,0
Gabon ,22.38,19.13,5.78,22.44,1.15,3.42,0,0,10.72,2.36,2.51,3.5,0,1.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02,0,0
Liechtenstein ,36.87,17.18,14.67,21.91,5.35,2.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Vincent and the Grenadines ,15.26,51.06,5.35,17.06,0,3.46,1.12,0,1.23,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea ,5.24,8.29,3.08,12.99,1.97,7.09,0,0,26.38,9.25,7.61,6.51,1.36,0,0,0,0,0,0,0,0,2.19,0,0,1.36,0,1.52,0,1.14,0,1.84,0,0
Seychelles ,22.77,25.25,5.1,20.68,1.4,3.87,2.52,0,7.49,2.36,5.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turks and Caicos Islands ,19.94,40.95,13.31,12.5,2.73,6.56,0,0,1.08,0,0,0,0,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monaco ,22.95,26.34,28.23,15.51,3.89,1.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mayotte ,18.36,39.89,4.07,25.53,0,4.55,0,0,1.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.18,0,0
Liberia ,9.92,18.53,3.73,9.71,1.77,6.04,0,0,27.36,9.74,10.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
San Marino ,26.28,27.61,16.3,21.2,3.76,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gambia ,8.38,13.6,3.12,28.33,2.86,7.08,0,0,20.84,7.11,3.02,1.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkmenistan ,9.75,20.39,2.08,4.94,8.07,23.66,0,2.9,9.26,5.62,9.65,0,0,0,0,0,0,0,0,0,1.46,0,0,0,0,0,0,0,0,0,0,0,0
Greenland ,29.95,23.7,15.76,7.99,5.78,6.74,0,0,6.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Timor-Leste ,7.44,8.9,2.52,20.05,1.18,3.99,0,0,36.78,3.61,13.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cook Islands ,14.95,8.72,3.18,7.77,0,1.66,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.6
Dominica ,12.87,55.64,4.44,13.79,1.46,4.07,0,0,2.3,0,0,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American Samoa ,19.38,43.2,14.87,15.85,1.63,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.55,0,0,0,0,0,0,0,0,0
Congo (Republic of the),12.38,13.53,3.81,18.68,2.19,5.87,0,0,17.18,7.51,2.13,5.37,0,1.22,1.1,0,0,0,0,0,0,2.83,0,0,2.57,0,0,1.01,0,0,0,0,0
Burundi ,12.93,13.44,2.77,23.49,0,3.42,0,0,24.37,5.33,6.8,1.31,1.22,0,0,0,0,0,0,0,0,1.18,0,0,1.38,0,0,0,0,0,0,0,0
British Virgin Islands ,30.51,37.17,15.01,9.01,2.28,2.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equatorial Guinea ,20.04,25.76,4.59,26.27,1.35,3.63,0,0,11.65,1.62,2.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Micronesia ,20.13,42.84,6.98,22.19,0,2.04,0,0,3.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marshall Islands ,13.49,43.95,11.97,24.97,1.39,2.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Samoa ,18.67,11.23,2.46,23.28,0,5.98,0,0,16.31,2.1,11.73,1.92,1.09,0,0,0,0,0,0,0,0,0,0,0,1.36,0,0,0,0,0,0,0,0
Saint Martin ,31.35,31.67,11.46,15.3,1.97,2.68,0,0,1.09,0,0,0,0,3.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sao Tome and Principe ,31.31,37.75,3.92,20.7,0,1.9,0,0,2.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tonga ,18.94,20.82,5.94,43.62,1.03,3.77,0,0,0,0,1.13,0,0,0,3.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Holy See (Vatican City State) ,39.45,22.79,10.38,24.41,0,1.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vanuatu ,19.5,29.52,7.38,30.98,1.63,6.51,0,0,0,0,0,0,0,0,0,0,1.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comoros ,13.56,31.87,1.96,32.66,0,3.43,0,0,6.74,1.82,1.51,1.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anguilla ,30.53,35.29,14.13,10.3,2.2,3.03,0,0,0,0,0,0,0,1.59,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0,0,0,0,0,0
Saint Pierre and Miquelon ,19.34,34.75,12.78,29.88,0,1.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solomon Islands ,19.99,20.14,5.3,11.04,2.5,4.63,0,0,18.42,5.29,10.13,0,0,0,0,0,0,0,0,0,0,0,0,0,1.32,0,0,0,0,0,0,0,0
Eritrea ,11.24,8.2,0,76.4,0,0,0,0,1.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palau ,17.84,41,5.11,25.01,0,5.4,0,0,0,1.44,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea-Bissau ,33.56,19.52,8.91,24.61,2.52,4.5,0,0,3.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Falkland Islands (Malvinas) ,50.33,14.9,12.55,11.43,4.57,3.52,0,0,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Korea ,15.19,50.74,5.42,23.28,0,2.63,0,0,1.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic ,19.76,16.95,7.71,30.52,0,6.97,0,0,12.57,2.8,0,1.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wallis and Futuna ,6.23,44.85,11.17,35.3,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kiribati ,25.7,25.82,6.81,37.82,0,3.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chad ,26.06,19.23,3.21,38.13,0,2.77,0,0,2.03,0,0,0,0,0,0,3.96,0,0,0,0,0,0,0,0,0,0,1.11,0,0,0,0,0,0
Saint Helena ,54.5,32.86,6.64,4.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montserrat ,56.83,35.41,0,6.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niue ,28.68,19.04,5.47,45.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuvalu ,14.09,44.57,4.43,35.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tokelau ,14.1,11.2,0,74.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nauru ,29.16,38.48,11.38,6.96,8.56,4.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norfolk Island ,50,22.22,0,22.22,0,5.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christmas Island ,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Georgia and the South Sandwich Islands ,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
