"Continent","IE","Firefox","Chrome","Safari","Android","iPhone","BlackBerry","Opera","Nokia","Maxthon","UC Browser","Unknown","NetFront","iPod Touch","Bolt","Sony PS3","Windows Media Player","Mozilla"
Kuwait ,57.67,11.13,12.52,4.24,1.1,5.77,2.13,1.22,2.51,0,0,0,0,1.26,0,0,0,0
Bosnia and Herzegovina ,13.54,45.72,35.22,0,0,0,0,4.42,0,0,0,0,0,0,0,0,0,0
Slovenia ,32.14,47.4,15.09,2,0,0,0,2.4,0,0,0,0,0,0,0,0,0,0
Paraguay ,32.45,37.56,26.32,0,0,0,0,1.41,1.34,0,0,0,0,0,0,0,0,0
Algeria ,37.71,41.18,17.59,0,0,0,0,2.25,0,0,0,0,0,0,0,0,0,0
Jordan ,45.41,17.88,28.63,0,0,0,0,2.9,2.94,0,0,0,0,0,0,0,0,0
Slovakia (Slovak Republic) ,19.6,43.02,23.38,1.78,0,0,0,10.7,0,0,0,0,0,0,0,0,0,0
Macedonia ,11.11,42.52,41.76,0,0,0,0,3.37,0,0,0,0,0,0,0,0,0,0
Qatar ,55.44,13.45,20.49,3.5,0,0,0,1.68,2.98,0,0,0,0,0,0,0,0,0
Tunisia ,15.64,32.01,48.09,0,0,0,0,2.05,0,0,0,0,0,0,0,0,0,0
Lithuania ,28.73,40.6,19.36,1.44,0,0,0,9.06,0,0,0,0,0,0,0,0,0,0
Iraq ,57.91,19.87,13.49,0,0,0,0,3.64,3.82,0,0,0,0,0,0,0,0,0
Bangladesh ,17.29,48.18,10.91,0,0,0,0,17.01,3.7,0,0,0,0,0,0,0,0,0
Nigeria ,23.21,26.77,6.95,1.58,0,0,0,37.04,1.63,0,0,0,0,0,1.25,0,0,0
Bahrain ,68.56,11.25,11.9,2.93,0,1.27,0,0,1.45,0,0,0,0,0,0,0,0,0
Puerto Rico ,41.1,22.39,21.59,7.44,2.22,0,0,0,0,0,0,0,0,1.32,0,1.3,0,0
Bolivia ,56.28,27.5,12.39,1.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belarus ,14.49,23.21,10.99,0,0,0,0,49.41,0,0,0,0,0,0,0,0,0,0
Sri Lanka ,27.08,35.09,28.1,0,0,0,0,6.06,1.42,0,0,0,0,0,0,0,0,0
Honduras ,39.74,21.64,20.95,1.88,0,0,1.68,2.5,4.63,0,0,0,2.56,0,0,0,0,0
Albania ,16.28,28.08,51.05,0,0,0,0,2.27,0,0,0,0,0,0,0,0,0,0
Costa Rica ,34.34,27.85,20.25,3.76,0,0,0,2.85,6.25,0,0,0,1.98,0,0,0,0,0
Oman ,56.54,13.68,14.71,1.17,0,0,0,2.56,8.56,0,0,0,0,0,0,0,0,0
Syrian Arab Republic ,50.93,33.85,6.63,0,0,0,0,3.36,3.09,0,0,0,0,0,0,0,0,0
Dominican Republic ,29.55,27.02,34.26,3.32,0,0,2.5,1.85,0,0,0,0,0,0,0,0,0,0
Latvia ,24.03,42.2,24.62,1.87,0,0,0,6.37,0,0,0,0,0,0,0,0,0,0
Panama ,52.34,19.01,21.15,3.97,0,0,0,1.06,0,0,0,0,0,0,0,0,0,0
Estonia ,27.09,43.64,19.93,3.5,0,0,0,4.81,0,0,0,0,0,0,0,0,0,0
Palestinian Territory ,52.74,27.04,16.81,0,0,0,0,1.74,0,0,0,0,0,0,0,0,0,0
Uruguay ,32.01,30.86,34.44,0,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0
