"Continent","IE","Chrome","Safari","Firefox","iPhone","Android","Yandex Browser","Opera","BlackBerry","UC Browser","Nokia","NetFront","Sogou Explorer","Maxthon","QQ Browser","360 Safe Browser","CoRom+","Puffin","IEMobile","Chromium","iPod Touch","Silk","Phantom","Iron"
Swaziland ,20.33,16.93,2.82,11.23,0,3.52,0,33.08,0,1.96,6.47,0,0,0,0,0,0,0,1.15,0,0,0,0,0
Mayotte ,16.97,40.98,4.61,27.58,0,4.46,0,2.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cook Islands ,16.91,7.74,3.08,9.74,0,1.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.78
Greenland ,34.72,21.23,15.34,8.91,4.71,5.71,0,7.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkmenistan ,8.63,21.91,2.25,5.87,7.52,23.38,0,9.21,0,5.77,10.75,0,0,0,0,0,0,1.44,0,0,0,0,0,0
Dominica ,18.27,51.73,8.31,13.88,1.83,2.93,0,1.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Timor-Leste ,7.95,8.54,2.47,26.32,0,3.95,0,34.82,0,3.58,10.3,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo (Republic of the),16.4,14.48,3.83,23.01,1.53,7.47,0,23.78,1.05,3.45,1.35,0,0,0,0,0,0,0,0,0,0,0,0,0
British Virgin Islands ,35.16,37.29,11.67,8.52,1.82,2.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equatorial Guinea ,20.44,28.24,5.17,21.49,1.15,5.74,0,12.76,0,2.19,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0
American Samoa ,17.67,37.17,14.61,21.9,1.37,3.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.55,0,0,0
Burundi ,15.06,20.05,4.35,32.38,1.19,3.12,0,16.67,0,4.77,1.18,0,0,0,0,0,0,0,0,0,0,0,0,0
Micronesia ,22.83,39.94,10.4,23.6,0,1.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Samoa ,28.04,18.88,3.03,28.11,1.39,5.44,0,9.23,0,2.77,2.23,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Martin ,16.1,37.72,23.63,12.57,1.25,2.96,0,0,2.48,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0
Marshall Islands ,18.15,37.86,8.49,28.29,1.62,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Holy See (Vatican City State) ,44.09,21.2,5.96,26.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tonga ,19.22,20.13,7.74,48.43,1.02,1.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sao Tome and Principe ,33.43,33.09,5.51,21.31,0,1.8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vanuatu ,27.11,25.44,6.2,28.68,1.78,6.21,0,0,0,0,0,0,0,1.91,0,0,0,0,0,0,0,0,0,0
Comoros ,13.92,38.16,3.16,35.35,0,3.33,0,2.62,0,0,0,0,0,1.51,0,0,0,0,0,0,0,0,0,0
Saint Pierre and Miquelon ,18.22,37.83,10.68,28.46,0,2.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anguilla ,27.08,35.46,12.69,14.69,1.59,3.23,0,1.07,1.88,0,0,0,0,0,0,0,0,0,0,0,0,1.09,0,0
Solomon Islands ,22.93,18.8,4.2,11.16,1.39,5.2,0,19.42,0,6.3,9.32,0,0,0,0,0,0,0,0,0,0,0,0,0
Palau ,22.4,46.21,4.35,16.86,0,5.14,0,1.19,0,1.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eritrea ,15.59,8.09,0,69.31,0,0,0,1.91,0,3.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Falkland Islands (Malvinas) ,48.19,13.35,12.96,19.49,2.3,1.88,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic ,23.34,19.31,8.79,28.72,1.05,5.33,0,11.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chad ,22.79,39.95,1.99,22.62,0,1.97,0,2.7,0,0,0,0,4.74,0,0,0,0,0,0,0,0,0,0,0
Kiribati ,28.93,29.58,5.57,28.5,0,0,0,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Korea ,37.07,33.21,3.01,22.45,0,1.18,0,1.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wallis and Futuna ,8.59,43.28,6.47,36.93,0,2.12,0,1.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montserrat ,70.87,15.99,0,12.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Helena ,50.67,37.36,4.95,6.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuvalu ,12.39,34.61,1.28,51.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niue ,24.61,34.16,10.03,27.31,0,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05,0,0,0
Guinea-Bissau ,41.05,17.33,2.36,36.5,0,0,0,1.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nauru ,18.46,64.87,2.5,9.28,0,2.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tokelau ,38.83,18.68,2.93,38.1,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norfolk Island ,49.32,27.4,0,23.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Svalbard & Jan Mayen Islands ,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
