"Continent","IE","Chrome","Safari","Firefox","iPhone","Android","Yandex Browser","Opera","BlackBerry","UC Browser","Nokia","NetFront","Sogou Explorer","Maxthon","QQ Browser","360 Safe Browser","CoRom+","Puffin","IEMobile","Chromium","iPod Touch","Silk","Phantom","Iron"
Bulgaria ,15.29,41.03,1.54,33.87,0,2.63,0,3.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway ,21.5,36.57,16.13,13.94,5.03,3.54,0,2.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iran ,20.62,19.67,1.48,35.96,1.51,4.1,0,7.4,0,4.04,2.28,0,0,0,0,0,0,1.51,0,0,0,0,0,0
Denmark ,24.96,34.26,17.95,11.37,7.17,2.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bosnia and Herzegovina ,6.46,51.42,1.56,33.22,0,2.88,0,2.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland ,14.51,32.89,9.93,27.87,4.39,4.69,0,1.54,0,0,0,0,0,0,0,0,0,0,2.99,0,0,0,0,0
Nigeria ,4.23,7.04,2.56,10.28,0,2.18,0,47.86,0,17.81,5.81,0,0,0,0,0,0,0,0,0,0,0,0,0
New Zealand ,21.63,37.6,14.53,14.59,4.54,4.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria ,21.25,25.95,9.65,30.87,3.4,6.02,0,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czech Republic ,19.52,38.62,3.27,28.78,0,2.4,0,4.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tunisia ,6.06,64.85,1.91,16.49,1.43,2.77,0,2.68,0,0,1.66,0,0,0,0,0,0,0,0,0,0,0,0,0
Croatia ,13.34,40.27,3.11,32.41,2.2,4.58,0,2.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hong Kong ,26.35,33.91,10.16,11.53,4.76,11.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland ,24.68,21.46,19.15,21.35,7.03,3.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania ,6.97,56.58,2.69,21.2,3.54,3.4,0,3.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Africa ,23.58,20.82,5.79,10.02,1.96,4.58,0,15.42,12.55,1.4,2.78,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine ,9.78,36.9,2.81,22.59,0,1.62,2.93,20.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ecuador ,11.07,48,3.66,27.5,1.29,4.15,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria ,8.69,41.83,1.17,38.85,0,2.62,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangladesh ,2.23,12.08,0,25.01,0,3.07,0,30.3,0,18.72,5.19,0,0,0,0,0,0,0,0,0,0,0,0,0
Macedonia ,4.55,59.32,1.18,26.52,1.25,3.19,0,2.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka ,7.26,35.35,1.44,24.98,1.04,6.05,0,12.56,0,4.08,3.9,1.27,0,0,0,0,0,0,0,0,0,0,0,0
Guatemala ,18.14,43.35,4.46,15.96,3.91,7.24,0,3.45,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uruguay ,10.33,57.53,1.97,23.45,0,2.15,0,1.27,0,0,0,0,0,0,0,0,0,0,0,1.48,0,0,0,0
Slovakia (Slovak Republic) ,11.19,43.41,3.13,30.12,0,3.43,0,6.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic ,9.62,59.35,4.82,14.14,2.53,4.12,0,2.03,1.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Qatar ,18.48,41.84,7.14,9.82,2.82,6.3,0,7.1,0,2.45,2.27,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovenia ,16.61,37.23,4.57,34.32,0,3.86,0,1.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan ,7.03,48.48,2.11,4.89,2.03,5.39,2.59,23.86,0,0,1.88,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan ,11.1,50.49,2.88,12.59,2.37,8.71,0,5.81,0,0,4.15,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania ,15.32,39.89,2.71,31.87,0,2.41,0,5.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia ,19.06,37.3,2.5,27.48,2.08,6.21,0,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Georgia ,4.07,60.82,1.68,8.77,0,1.08,0,20.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Costa Rica ,14.64,41.36,5.9,16.17,3.47,8.61,0,4.57,0,0,3.05,0,0,0,0,0,0,0,0,0,0,0,0,0
Puerto Rico ,21,33.27,11.24,12.99,5.41,11.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.39,0,0,0
Montenegro ,7.98,48.79,2.61,24.61,1.37,6.58,0,4.8,0,0,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay ,11.1,47.8,1.24,21.59,0,5.51,0,5.33,0,0,4.63,0,0,0,0,0,0,0,0,0,0,0,0,0
El Salvador ,14.75,48.42,3.65,21.33,1.49,4.04,0,3.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kuwait ,17.37,27.39,9.25,7.65,13.29,9.95,0,10.76,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nepal ,4.71,37.07,1.89,21.52,1.8,3.88,0,18.67,0,5.81,2.21,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus ,20.89,44.79,7.26,18.18,1.97,3.79,0,1.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palestinian Territory ,13.44,50.7,1.54,25.33,1.47,3.62,0,1.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenya ,7.4,18.14,2.85,31.93,0,3.52,0,27.17,0,2.7,3.86,0,0,0,0,0,0,0,0,0,0,0,0,0
Trinidad and Tobago ,16.43,49.87,7.03,14.5,1.61,5.87,0,0,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia ,13.42,42.21,4.41,31.48,0,2.38,0,3.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kazakhstan ,9.27,42.13,3.45,14.95,2.3,4.46,2.09,18.62,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonia ,16.09,42.1,5.64,28.17,0,3,0,3.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belarus ,7.89,34.21,1.98,17.33,0,2.24,1.97,31.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moldova ,5.88,65,1.78,16.86,0,1.75,0,5.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Panama ,25.96,41.88,6.37,10.95,1.54,9.92,0,1.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamaica ,13.69,50.48,4.71,18.31,1.52,4.45,0,2.29,1.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myanmar ,1.61,7.92,2.47,44.8,2.62,33.76,0,3.48,0,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sudan ,6.99,9.23,0,15.35,0,4.74,0,42.65,0,2.83,14.71,0,0,0,0,0,0,0,0,0,0,0,0,0
Zimbabwe ,9.92,9.2,1.57,12.44,0,1.83,0,55.64,0,2.07,5.96,0,0,0,0,0,0,0,0,0,0,0,0,0
Yemen ,5.88,33.33,1.53,28.65,3.8,9.1,0,12.85,0,2.23,1.51,0,0,0,0,0,0,0,0,0,0,0,0,0
Armenia ,3.6,69.74,2.74,12.91,1.19,1.36,1.4,5.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lebanon ,14.56,33.16,7.89,13.78,6.26,16.28,0,3.34,0,0,2.29,0,0,0,0,0,0,0,0,0,0,0,0,0
Oman ,14.75,23.97,2.7,7.35,2.51,21.08,0,1.84,1.72,4.98,16.65,0,0,0,0,0,0,0,0,0,0,0,0,0
Honduras ,15.6,48.29,4.8,17.92,2.26,5.17,0,2.33,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanzania ,7.74,9.17,2.28,16.42,0,5.45,0,44.08,0,6.3,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghana ,5.29,13.78,2.38,27.17,0,4.48,0,31.76,0,8.96,3.09,0,0,0,0,0,0,0,0,0,0,0,0,0
Iceland ,13.7,48.55,13.6,18.78,1.65,1.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
