"Continent","IE","Chrome","Firefox","Safari","Android","iPhone","Opera","UC Browser","Nokia","NetFront","Dolfin","BlackBerry","360 Safe Browser","Maxthon","QQ Browser","iPod Touch","Obigo","Silk","Windows Media Player","Chromium","Iron","Unknown","RockMelt","Mozilla"
Hong Kong ,39.08,22.7,14.86,9.87,6.86,3.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denmark ,39.25,25.79,15.05,12.88,2.05,3.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland ,27.19,34.34,18.03,8.57,3.69,4.58,1.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Africa ,42.49,18.84,17.51,6.64,2.42,1.21,8.31,0,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria ,28.46,18.68,36.08,7.68,3.3,2.12,2.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morocco ,14.99,41.69,34.98,1.5,1.09,0,3.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway ,29.66,27.7,18.9,13.16,2.35,2.68,4.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay ,18.72,42.38,30.31,1.25,2.18,0,2.34,0,1.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czech Republic ,23.83,31.92,31.74,2.35,1.09,0,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bosnia and Herzegovina ,8.55,45.39,39,1.07,0,0,4.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangladesh ,4.76,16.21,45,0,0,0,17,4.21,5.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Croatia ,17.97,31.32,39.54,2.75,1.96,1.48,4.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iran ,36.88,11.71,36.41,1.11,1.6,0,4.22,4.49,1.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine ,13.22,27.28,26.33,1.88,0,0,28.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ecuador ,20.53,38.18,33.65,2.75,1.26,0,1.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Zealand ,30.03,29.85,19.61,12.54,2.15,2.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic ,14.23,58.91,18.42,3.26,1.07,0,1.54,0,0,0,0,1.02,0,0,0,0,0,0,0,0,0,0,0,0
Tunisia ,8.77,59.41,23.39,1.52,0,0,2.55,0,1.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria ,14.78,34.79,44.72,0,0,0,2.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nigeria ,9.96,7.82,20.44,3.23,0,0,47.45,3.52,5.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka ,13.7,34.24,32.7,1.1,0,0,8.72,1.5,3.6,1.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovenia ,24.28,26.34,41.65,3.11,1.47,0,2.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iraq ,28.26,36.32,24.1,1.35,2.09,1.06,2.99,0,2.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macedonia ,7.25,52.81,33.47,0,0,0,3.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uruguay ,16.93,53.94,25.11,1.3,0,0,1.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovakia (Slovak Republic) ,12.45,37.94,34.12,2.17,1.48,0,10.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guatemala ,27.72,36.95,21.83,4.14,1.74,1.71,3.08,0,0,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0
Albania ,10.79,55.62,24.92,2.1,0,1.63,2.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan ,19.46,47.37,17.49,2.36,1.78,1.01,6.51,0,2.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Costa Rica ,22.13,36.54,22.27,4.4,3.04,1.68,4.24,0,4.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Qatar ,33.15,35.58,12.88,4.67,2.08,1.23,3.96,1.02,3.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania ,19.54,30.51,36.99,2.25,1.1,0,8.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan ,11.12,36.55,7.59,1.41,1.29,0,38.92,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puerto Rico ,28.45,29.96,17.13,9.78,7.22,2.59,0,0,0,0,0,0,0,0,0,1.71,0,0,0,0,0,0,0,0
Georgia ,7.73,46.32,12.47,1.16,0,0,30.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia ,33.39,27.13,32.52,2.31,1.61,0,1.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kuwait ,29.79,22.43,11.62,7.27,5.46,9.3,6.25,0,2.48,0,0,3.59,0,0,0,0,0,0,0,0,0,0,0,0
Belarus ,11.27,24.35,19.61,1.15,0,0,41.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Salvador ,20.87,43.59,26.78,2.36,1.32,0,2.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montenegro ,11.51,44.66,30.67,2.34,2.04,0,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armenia ,4.2,69.24,18.5,1.48,0,0,5.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honduras ,25.72,39.4,22.24,2.95,2.22,1.28,3.07,0,0,0,0,1.13,0,0,0,0,0,0,0,0,0,0,0,0
Myanmar ,41.67,2.84,43.11,1.23,7.19,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenya ,12.94,15.12,41.67,2.63,1.9,0,21.27,0,2.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Panama ,36.96,35.31,15.36,4.96,3.47,0,1.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trinidad and Tobago ,23.68,45.84,20.26,4.53,1.3,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nepal ,10.46,38.19,32.51,1.88,1.1,0,11.32,1.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moldova ,8.89,56.7,23.65,1.12,0,0,8.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
