"Continent","IE","Chrome","Firefox","Safari","Android","iPhone","Opera","UC Browser","Nokia","NetFront","Dolfin","BlackBerry","360 Safe Browser","Maxthon","QQ Browser","iPod Touch","Obigo","Silk","Windows Media Player","Chromium","Iron","Unknown","RockMelt","Mozilla"
Anguilla ,42.74,27.95,14.62,10.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sierra Leone ,15.65,4.68,16.6,2.72,3.21,1.61,40.67,3.64,8.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkmenistan ,15.56,13.93,9.1,5.58,13.65,5.52,17.43,5.4,11.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American Samoa ,27.56,37.26,20.6,8.7,0,0,0,0,0,0,0,0,0,0,0,3.09,0,0,0,0,0,0,0,0
Niger ,22.55,10.61,26.09,2.25,1.43,2.22,13.33,4.86,11.54,1.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo (Republic of the),29.97,15.05,34.98,4.03,1.65,0,7.2,1.03,1.09,0,1.58,0,0,0,0,0,0,0,0,0,0,0,0,0
Burundi ,36.21,15.3,33.93,4.79,1.14,0,5.51,0,1.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liberia ,30.31,11.93,25.45,6.34,2.22,1.19,14.85,0,5.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Pierre and Miquelon ,34.47,23.5,33.02,6.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equatorial Guinea ,29,13.46,24.63,3,1.75,0,19.62,1.89,3.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Micronesia ,29.47,27.51,33.65,5.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47,0,0,0,0,0
Samoa ,27.75,14.31,34.61,3,1.41,2.31,12.42,0,2.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vanuatu ,37.37,18.49,26.85,10.15,1.71,0,1.4,0,0,0,0,0,0,0,0,1.37,0,0,0,0,0,0,0,0
Timor-Leste ,29.36,12.98,50.27,2.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13,0,0,0,0
Guinea ,32.53,16.51,34.52,4.79,1.43,0,5.86,0,0,0,0,0,1.04,0,0,0,0,0,0,0,0,0,0,0
Cook Islands ,42.81,18.26,21.45,10.19,1.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.92,0,0,0
Solomon Islands ,45.09,25.54,17.48,7.27,0,1.1,2.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Falkland Islands (Malvinas) ,67.56,9.95,12.91,5.39,0,2.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comoros ,36.72,23.86,33.31,2.18,0,0,1.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sao Tome and Principe ,53.15,18.9,18.9,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mayotte ,28.48,21.03,34.88,6.37,1.97,0,2.39,0,0,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eritrea ,25.54,8.09,59.98,1,0,0,3.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tonga ,24.98,14.5,52.46,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chad ,8.01,3.58,7.55,1.56,1.21,0,22.48,1.29,37.22,8.61,1.32,0,0,1.26,0,0,0,0,0,0,0,2.15,0,0
Central African Republic ,48.59,9.42,30.87,3.23,1.11,0,2.42,1.45,0,0,0,0,1.22,0,0,0,0,0,0,0,0,0,0,0
Kiribati ,21.32,22.03,54.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Helena ,70.82,19.68,6.83,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Korea ,51.93,21.88,21.16,1.6,1,0,1.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marshall Islands ,38.61,11.92,36.69,4.78,0,0,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palau ,28.86,27.92,26.23,11.67,1.96,1.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montserrat ,37.87,32.44,20.49,3.17,0,0,2.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.45,0
Wallis and Futuna ,13.86,37.77,40,6.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea-Bissau ,53.16,4.28,40.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niue ,20.76,24.93,48.03,2.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.36
Tuvalu ,10.78,48.28,38.07,2.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tokelau ,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nauru ,3.62,23.91,72.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christmas Island ,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norfolk Island ,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
