"Continent","IE","Chrome","Firefox","Safari","Android","iPhone","Opera","UC Browser","Nokia","NetFront","Dolfin","BlackBerry","360 Safe Browser","Sogou Explorer","Maxthon","QQ Browser","IEMobile","iPod Touch","SeaMonkey","Sony PS3","Nintendo 3DS","Obigo","Silk","Samsung","Unknown"
Denmark ,37.53,26.64,14.56,13.88,2.13,3.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland ,32.23,16.98,25.81,15.99,2.28,4.23,1.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Arab Emirates ,30.11,32.26,12.5,6.96,2.5,2.03,3.87,1.43,6.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland ,26.34,34.14,17.8,8.83,4.13,5.08,1.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Africa ,42.21,19.17,17.14,6.8,2.55,1.29,8.17,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway ,29.45,27.9,18.34,14.06,2.4,2.73,4.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morocco ,13.75,43.13,33.75,1.75,1.4,0,3.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria ,27.85,18.74,35.88,7.76,3.83,2.21,2.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czech Republic ,22.56,32.89,31.4,2.34,1.3,0,7.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bosnia and Herzegovina ,8.5,44.66,39.91,1.04,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Croatia ,17.45,31.19,39.48,2.87,2.39,1.64,4.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay ,18.08,42.4,29.76,1.31,2.86,0,2.4,0,2.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ecuador ,19.55,38.97,33.52,2.78,1.41,0,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Zealand ,30.07,29.56,19.34,12.94,2.23,2.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine ,13.2,28.04,26.2,1.96,0,0,28.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iran ,33.94,12.09,35.97,1.21,2.31,0,4.61,5.58,1.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tunisia ,8.38,60.36,22.51,1.73,1.01,0,2.53,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iraq ,26.44,37.35,23.66,1.65,2.79,1.3,3.04,0,2.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic ,13.76,58.9,18.01,3.53,1.28,0,1.65,0,0,0,0,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria ,13.95,36.54,42.82,0,0,0,2.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nigeria ,9.75,8.22,21.08,3.3,0,0,46.48,3.35,5.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka ,13.82,34.36,33,1.15,1.04,0,8.58,1.3,3.35,1.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
