"Continent","IE","Chrome","Firefox","Safari","Android","iPhone","Opera","UC Browser","Nokia","NetFront","Dolfin","BlackBerry","360 Safe Browser","Sogou Explorer","Maxthon","QQ Browser","IEMobile","iPod Touch","SeaMonkey","Sony PS3","Nintendo 3DS","Obigo","Silk","Samsung","Unknown"
Congo (Democratic Republic of the),26.58,16.93,31.27,4.34,1.48,0,9.44,2.48,3.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
San Marino ,33.32,23.82,25.86,13.11,1.23,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sierra Leone ,11.64,4.13,14.01,3.01,2.88,1.01,46.25,4.51,9.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Swaziland ,35.73,12,15.01,3.09,1.46,0,25.34,0,4.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lesotho ,46.35,10.63,18.1,1.94,1.34,0,16.49,0,2.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkmenistan ,14.4,14.37,8.72,3.3,15.64,6.41,17.81,6.81,10.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anguilla ,34.67,36.53,14.11,9.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American Samoa ,22.48,36.72,23.59,11.68,1.68,0,0,0,0,0,0,0,0,0,0,0,0,2.33,0,0,0,0,0,0,0
Burundi ,37.13,16.04,33.02,4.07,1.3,0,5.78,0,1.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liberia ,28.92,12.51,23.38,5.53,3.27,1.38,14.63,0,7.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niger ,18.61,10.56,22.43,2.44,2.04,2.74,17.35,4.01,13.52,1.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo (Republic of the),27.63,15.69,34.56,4.01,2.35,0,6.78,1.34,1.04,0,0,0,0,0,0,0,0,2.41,0,0,0,0,0,0,0
Micronesia ,24.83,40.21,27.44,4.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Holy See (Vatican City State) ,74.98,10.3,13.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Pierre and Miquelon ,31.07,24.95,33.45,8.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vanuatu ,39.38,17.29,27.7,8.51,2.19,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Timor-Leste ,29.3,16.45,48.18,2.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equatorial Guinea ,35.03,17.99,33.23,4.7,1.4,1.16,3.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Samoa ,24.82,13.86,35.75,5.22,1.66,0,12.79,0,3.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea ,30.86,14.91,34.25,4.78,2.23,0,8.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solomon Islands ,49.84,19.91,20.42,6.07,0,0,1.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eritrea ,21.29,5.3,67.65,2.02,0,0,1.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mayotte ,33.84,21.69,32.54,4.67,1.91,0,2.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cook Islands ,44.75,14.99,23.69,11.79,1.4,1.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Falkland Islands (Malvinas) ,65.42,12.13,15.48,3.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chad ,7.06,1.91,8.06,0,1.82,0,23.46,1.48,41.73,3.08,0,0,1.39,2.71,0,0,0,0,0,0,0,0,0,1.59,1.5
Comoros ,30.94,27.78,33.26,3.66,0,0,1.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sao Tome and Principe ,52.65,19.23,18.88,6.52,0,0,1.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tonga ,25.35,17.41,50.29,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marshall Islands ,27.07,14.07,44.89,6.06,1.08,0,5.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palau ,27.51,25.6,30.6,11.06,1.36,0,0,0,0,0,0,0,0,0,0,0,0,1.54,0,0,0,0,0,0,0
Saint Helena ,66.98,20.55,8.24,4.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kiribati ,22.47,19.4,48.28,2.17,0,0,6.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Korea ,39.59,31.53,24.08,2.27,0,0,1.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montserrat ,33.19,32.91,27.93,3.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic ,37.21,12.14,36.64,3.41,1.97,0,3.31,0,0,0,0,0,0,2.2,0,0,0,0,0,0,0,0,0,0,0
Wallis and Futuna ,25.45,22.32,44.17,6.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea-Bissau ,42.66,5.67,49.02,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuvalu ,5.23,62.47,31.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nauru ,1,29.43,69.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niue ,65.16,7.67,26.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tokelau ,82.46,0,10.53,0,0,0,7.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christmas Island ,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norfolk Island ,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western Sahara ,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
