"Continent","IE","Chrome","Firefox","Safari","iPhone","Android","Opera","Yandex Browser","BlackBerry","UC Browser","Nokia","NetFront","Sogou Explorer","360 Safe Browser","Maxthon","QQ Browser","IEMobile","iPod Touch","Silk","Samsung","Openwave Mobile Browser","Obigo","Unknown","Midori","Iron","Maemo browser","Sony PS3"
Mali ,22.05,12.96,23.89,4.01,2.01,5.68,14.41,0,0,3.31,5.22,1.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cape Verde ,31.62,40.06,18.2,4.08,0,2.17,1.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhutan ,11.16,38.67,25,4.05,2,2.24,7.36,0,0,3.55,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gibraltar ,27.46,28.1,17.22,17.79,3.62,2.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monaco ,28.81,21.64,16.44,25.1,2.14,1.58,2.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Somalia ,12.44,16.49,16.89,0,0,0,40.34,0,0,6.06,4.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkina Faso ,22.7,17.73,35.86,3.32,1.06,2.75,8.61,0,0,2.93,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
British Virgin Islands ,35.6,31.25,12.71,13.97,1.62,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liechtenstein ,37.65,15.63,24.18,14.59,4.28,2.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Djibouti ,19.19,31.28,25.82,2.92,1.01,2.2,8.86,0,0,3.32,3.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo (Democratic Republic of the),17.34,13.83,24.82,4.77,1.44,6.7,16.9,0,0,4.7,4.77,1.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gambia ,12.41,12.95,44.75,2.79,2.78,5.45,11.2,0,0,3.55,1.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greenland ,43.98,18,12.09,14.86,3.87,2.9,1.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.12,0,0,0
Seychelles ,28.67,22.85,25.97,6.24,1.18,3.9,5.96,0,0,1.1,3.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turks and Caicos Islands ,30.9,30.27,12.83,17.71,2.22,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
San Marino ,28.92,25.93,24.92,15.19,2.09,2.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sierra Leone ,10.97,4.72,13.46,2.89,1.17,3.73,45.84,0,0,8.49,6.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkmenistan ,14.55,13.98,5.88,3.25,6.37,21.19,13.72,0,0,8.79,10.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mayotte ,22.18,30.7,31.99,5.68,0,3.65,2.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lesotho ,38.08,13.23,17.21,2.35,0,0,20.43,0,0,1.64,4.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Swaziland ,31.84,14.22,15.95,4.39,0,2.64,20.98,0,0,2.91,5.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Timor-Leste ,13.62,10.21,36.22,3.76,0,3.23,24.69,0,0,1.34,5.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anguilla ,33.85,27.56,14.08,15.53,1.7,1.77,0,0,2.13,0,0,0,0,0,0,0,0,0,1.45,0,0,0,0,0,0,0,0
Niger ,21.29,14.44,25.97,3.55,1.01,3.57,13.33,0,0,4.91,7.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo (Republic of the),23.13,15.6,31.78,6.07,1.52,5.3,10.19,0,0,2.25,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equatorial Guinea ,29.43,17.73,24.75,4.04,1.08,3.55,12.98,0,0,2.77,2.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American Samoa ,20.51,27.51,27.71,19.16,1.58,1.4,0,0,0,0,0,0,0,0,0,0,0,1.31,0,0,0,0,0,0,0,0,0
Burundi ,24.19,18.47,35.68,7.15,0,3.34,7.39,0,0,1.04,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liberia ,20.84,14.45,16.77,4.15,2.24,4.88,18.16,0,0,8.59,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Micronesia ,25.82,35.46,27.83,6.75,1.13,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea ,21.9,13.57,29.25,11.08,2.31,7.07,8.95,0,1.3,1.25,1.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vanuatu ,23.68,19.89,26.98,6.85,1.38,5.14,8.79,0,0,2.57,3.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cook Islands ,33.46,12.77,10.92,4.42,0,1.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.78,0,0
Holy See (Vatican City State) ,56.63,14.08,25.65,2.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Martin ,16.68,30.47,17.99,25.52,3.34,2.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solomon Islands ,29.32,15.87,15.24,7.34,1.11,3.7,13.93,0,0,2.49,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.86,0
Saint Pierre and Miquelon ,28.95,30.05,25.46,10.22,0,2.14,0,0,0,0,0,0,0,0,0,0,0,1.53,0,0,0,0,0,0,0,0,0
Samoa ,29.86,14.62,24.41,5.31,1.43,4.91,13.16,0,0,0,3.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sao Tome and Principe ,49.08,20.85,19.82,4.37,0,1.42,3.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tonga ,22.24,22.06,44,8.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comoros ,21.23,25.09,38.09,1.76,1.44,1.08,9.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eritrea ,17.19,5.53,70.72,1.6,0,0,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montserrat ,36.51,35.62,14.09,7.5,0,2.81,1.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palau ,24.73,38.9,25.23,6.3,0,2.63,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Falkland Islands (Malvinas) ,47.82,11.25,11.2,9.81,1.24,1.24,16.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marshall Islands ,27.82,29.73,28.22,8.72,2.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Helena ,64.58,22.93,8.67,1.64,0,0,1.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic ,31.03,10.59,32.18,17.47,0,1.75,4.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Korea ,28.36,26.37,41.07,1.75,0,0,1.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kiribati ,20.67,28.3,46.51,2.13,0,0,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wallis and Futuna ,13.23,43.2,34.88,6.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea-Bissau ,50.1,12.36,35.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuvalu ,14.18,33.8,44.53,7.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nauru ,71.65,18.21,7.04,3.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tokelau ,65.88,7.06,18.82,7.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niue ,6.85,24.66,0,61.64,0,1.37,0,0,0,0,0,0,0,0,0,0,0,5.48,0,0,0,0,0,0,0,0,0
Western Sahara ,28.57,28.57,42.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Svalbard & Jan Mayen Islands ,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Barthelemy ,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norfolk Island ,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
