"Continent","IE","Chrome","Firefox","Safari","iPhone","Android","Opera","Nokia","UC Browser","NetFront","Dolfin","Sogou Explorer","360 Safe Browser","Maxthon","QQ Browser","BlackBerry","Yandex Browser","IEMobile","iPod Touch","Sony PS3","Obigo","Samsung","Phantom","Openwave Mobile Browser","Unknown","Iron","Maemo browser","RockMelt","Pale Moon"
Somalia ,10.84,12.16,13.17,0,0,0,52.64,3.6,5.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Vincent and the Grenadines ,23.79,38.92,23.73,6.83,0,1.51,1.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda ,23.96,37.42,21.36,10.23,1.36,2.43,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Mariana Islands ,30.15,37.98,17.6,4.69,0,7.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Togo ,14.93,15.62,57.1,2.87,0,1.41,4.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cape Verde ,32.79,41.17,18.16,3.27,0,1.36,1.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominica ,21.9,40.99,25.66,5.89,0,1.26,1.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tajikistan ,11.72,32.52,10.73,2.61,1.21,3.97,28.46,5.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania ,13.61,35.29,29.34,2.57,0,1.38,8.1,5.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benin ,10.41,35.96,37.63,1.65,0,1.19,7.44,2.6,1.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhutan ,12.86,41,26.19,4.02,1.16,0,6.88,2.22,3.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabon ,30.05,17.12,26.42,7.78,0,2.72,9.4,2.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Djibouti ,20.27,29.16,27.13,2.54,0,1.22,10.65,3.57,3.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Papua New Guinea ,20.86,9.34,9.26,3.19,0,6.72,30.94,7.97,4.96,0,0,0,0,0,0,0,0,0,0,0,2.22,0,0,0,0,0,0,0,0
Gibraltar ,28.49,29.35,18.96,15.55,2.75,2.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkina Faso ,20.94,17.4,34.92,3.32,0,2.33,8.72,2.99,4.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo (Republic of the),25.56,11.6,46.5,3.35,0,3.46,5.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monaco ,27.24,20.72,19.12,23.78,2.27,1.22,4.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liechtenstein ,35.64,16.65,23.11,14.81,4.33,3.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gambia ,11.95,11.95,43.81,3.4,2.72,4.29,12.31,2.46,3.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turks and Caicos Islands ,30.71,32.32,13.95,16.49,2.32,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mali ,18.99,12.82,23.03,2.82,1.35,4.49,11.46,7.2,3.98,4.46,1.46,0,0,0,0,0,0,0,0,0,1.44,1.56,1.31,1.3,0,0,0,0,0
Seychelles ,29.9,20.67,26.38,5.75,0,2.17,5.96,4.48,2.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
British Virgin Islands ,32.06,29.62,17.46,14.86,1.61,1.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo (Democratic Republic of the),20.88,13.83,23.48,3.45,0,4.22,16.21,6.42,5.67,1.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greenland ,46.33,17.43,11.41,15.9,2.68,2.98,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
San Marino ,29.46,27.93,24.67,13.8,1.68,1.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sierra Leone ,12.32,3.56,12.68,2.68,1.18,2.53,44.86,7.43,9.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkmenistan ,13.23,13.28,7.18,2.63,6.33,20.58,13.93,11.73,8.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lesotho ,42.04,10.56,17.02,2.58,0,1.13,19.43,4.05,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mayotte ,22.72,32.04,29.33,4.23,0,6.22,2.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Timor-Leste ,13.16,13.61,41.2,4.19,0,3.74,16.89,3.85,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Swaziland ,28.24,13.12,15.69,3.76,0,3.5,18.4,7.46,4.42,0,0,0,0,0,0,0,0,2.46,0,0,0,0,0,0,0,0,0,0,0
Anguilla ,35.79,28.05,14.22,13.95,2.01,1.39,0,0,0,0,0,0,0,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0
Niger ,22.2,12.25,23.31,5.79,0,3.13,12.45,9.51,5.07,1.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liberia ,20.28,21.95,15.23,3.71,1.36,3.54,18.44,6.93,7.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American Samoa ,23.27,33.16,22.83,15.35,0,1.46,0,0,0,0,0,0,0,0,0,0,0,0,2.88,0,0,0,0,0,0,0,0,0,0
Micronesia ,23.52,36.18,29.58,6.08,0,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.53,0,0,0,0,0,0,0
Burundi ,24.42,16.43,36.91,5.47,0,2.12,9.9,1.54,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equatorial Guinea ,20.95,14.33,28.83,3.32,0,3,20.15,3.53,3.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chad ,8.26,1.31,3.51,0,0,1.43,9.79,45.19,0,5.64,2.01,1.47,0,0,0,0,0,0,0,0,0,9.5,0,6.72,1.76,0,0,0,0
Comoros ,18.05,15.98,22.78,1.78,0,1.28,38.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vanuatu ,34.58,23.75,25.68,7.97,1.99,2.34,0,0,0,0,0,0,0,0,1.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea ,26.27,15.68,28.22,12.65,2.26,3.78,6.23,1.45,1.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Pierre and Miquelon ,20.99,30.49,35.72,9.43,0,1.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cook Islands ,36.89,12.69,19.02,10.43,1.11,2.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.49,0,0,0
Solomon Islands ,25.38,13.03,15.39,7.95,1.32,3.64,17.88,7.63,4.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.14,0,0
Holy See (Vatican City State) ,58.51,15.83,22.85,2.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tonga ,25.01,18.35,45.09,8.01,0,0,0,0,0,0,0,1.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Samoa ,33.83,14.98,21.81,4.15,1.57,3.54,13.05,4.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11,0,0,0,0,0,0
Eritrea ,19.14,4.7,68.02,0,0,1.53,5.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Falkland Islands (Malvinas) ,62.12,14.04,11.69,7.68,1.92,1.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sao Tome and Principe ,45.53,20.66,22.64,6.2,0,1.27,1.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palau ,27.82,33.19,27.14,6.06,0,2.57,0,0,0,0,0,0,0,0,0,0,0,0,1.87,0,0,0,0,0,0,0,0,0,0
Montserrat ,25.56,33.54,18.78,17.37,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13,0
North Korea ,39.28,26.49,31.44,1.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marshall Islands ,28.95,22.58,32.44,11.26,1.01,1.73,0,0,0,0,0,0,0,0,0,0,0,0,1.15,0,0,0,0,0,0,0,0,0,0
Kiribati ,23.27,24.57,46.78,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic ,31.38,12.53,28.11,16.54,1.01,2.6,4.67,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Helena ,57.19,21.13,19.14,1.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea-Bissau ,57.04,8.7,23.89,9.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wallis and Futuna ,17.27,32.98,40.6,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuvalu ,12.95,28.96,51.13,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tokelau ,68.04,5.15,22.68,2.06,0,0,1.03,0,0,0,0,0,0,0,0,0,0,0,1.03,0,0,0,0,0,0,0,0,0,0
Nauru ,93.33,0,5,0,0,0,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niue ,0,10.34,13.79,74.14,0,0,1.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Georgia and the South Sandwich Islands ,96.55,0,3.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pitcairn Islands ,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norfolk Island ,80.77,15.38,3.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christmas Island ,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Svalbard & Jan Mayen Islands ,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western Sahara ,69.23,7.69,23.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bouvet Island (Bouvetoya) ,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
