"Continent","IE","Chrome","Firefox","Safari","Android","iPhone","Opera","BlackBerry","Nokia","UC Browser","NetFront","Dolfin","Maxthon","TheWorld","Flock","SeaMonkey","Comodo Dragon","iPod Touch","Obigo","Iron","Windows Media Player","IEMobile","Mozilla","Chromium"
Equatorial Guinea ,39.06,11.55,22.83,3.23,0,1.1,15.98,0,3.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American Samoa ,30.53,29.52,22.52,14.21,1.1,0,0,0,0,0,0,0,0,0,0,0,0,1.29,0,0,0,0,0,0
Samoa ,25.59,10.44,52.86,3.64,0,2.74,2.08,0,1.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Timor-Leste ,25.69,11.53,49.2,5.13,0,0,4.25,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Pierre and Miquelon ,36.21,20.49,31.68,8.3,0,0,1.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vanuatu ,43.3,15.28,26.94,10.88,0,0,0,0,0,0,0,0,0,0,0,0,0,1.44,0,0,0,0,0,0
Solomon Islands ,40.96,9.75,17.61,4.84,0,1.16,15.46,0,4.61,3.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Micronesia ,32.8,19.45,38.17,6.36,0,0,1.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Falkland Islands (Malvinas) ,62.85,10.57,13.21,6.26,1.97,1.25,3.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea ,38.99,14.37,30.01,3.34,2.9,1.18,4.37,0,2.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tonga ,36.43,11.48,43.68,4.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cook Islands ,47.57,13.09,23.91,10.66,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16,0,0,0,0
Eritrea ,37.58,4.61,53.08,0,0,0,3.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montserrat ,42.59,30.6,18.36,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mayotte ,35.62,12.08,42.75,6.29,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palau ,40.03,16.49,31.5,8.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.14,0,0,0
Sao Tome and Principe ,51.55,16.96,23.23,5.62,0,0,1.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marshall Islands ,24.45,15.34,51.02,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,2.47,0,0
Chad ,19.58,3.83,10.46,2.72,0,0,27.94,0,31.18,0,0,0,1.85,0,0,0,0,0,0,0,0,0,0,0
Central African Republic ,47.14,10.42,26.81,5.48,7.14,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comoros ,35,33.82,26.45,2.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Helena ,74.59,9.26,13.62,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kiribati ,26.37,19.54,49.37,0,0,0,3.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Korea ,38.97,17.53,39.7,1.25,0,0,2.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wallis and Futuna ,28.65,24.54,41.34,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea-Bissau ,64.12,4.13,26.42,2.05,0,0,2.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuvalu ,17.2,30.85,44.4,6.15,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35,0,0,0,0,0,0
Niue ,29.38,23.64,37.35,6.18,0,0,0,0,0,0,0,0,0,0,0,0,0,1.22,0,0,0,0,1.22,0
Nauru ,0,4.04,92.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.96
Christmas Island ,14.89,2.13,82.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bouvet Island (Bouvetoya) ,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norfolk Island ,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
