"Continent","IE","Chrome","Firefox","Safari","Android","iPhone","Opera","BlackBerry","Nokia","UC Browser","NetFront","Dolfin","Maxthon","TheWorld","Flock","SeaMonkey","Comodo Dragon","iPod Touch","Obigo","Iron","Windows Media Player","IEMobile","Mozilla","Chromium"
Ukraine ,13.01,23.59,27.19,1.45,0,0,33.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denmark ,41.49,24.04,16.53,12.38,1.41,2.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway ,33.84,25,19.4,12.61,1.67,2.13,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Georgia ,5.72,41.07,11.94,0,0,0,40.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria ,30.91,17.13,37.45,7.12,2.26,1.71,2.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Croatia ,20.69,29.25,41.7,1.91,0,1.05,3.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangladesh ,4.94,13.99,50.56,0,0,0,15.13,0,4.01,1.48,0,0,0,0,2.74,2.51,1.72,0,0,0,0,0,0,0
South Africa ,46.93,16,17.04,5.17,1.5,0,9.75,0,1.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland ,32.09,31.04,19.29,7.79,2.84,3.91,1.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bosnia and Herzegovina ,10.22,44.92,39.04,0,0,0,4.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czech Republic ,26.58,27.48,33.94,2.26,0,0,7.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iran ,45.68,9.48,32.2,0,1.03,0,4.43,0,1.76,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nigeria ,14.12,6.43,18.74,2.51,0,0,50.09,0,4.45,1.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0
