"Continent","IE","Firefox","Chrome","Safari","Android","iPhone","Opera","Nokia","BlackBerry","Maxthon","UC Browser","NetFront","iPod Touch","Sony PS3","Iron","Obigo","Windows Media Player","Flock","Chromium","AppleWebKit"
Ecuador ,33.47,33.48,25.9,2.29,0,0,0,1.87,0,0,0,0,0,0,0,0,0,0,0,0
New Zealand ,37.94,23.69,23.89,10.46,0,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czech Republic ,26.88,38.45,22.76,2.01,0,0,8.29,0,0,0,0,0,0,0,0,0,0,0,0,0
Guatemala ,40.26,24.15,25.94,3.21,0,0,1.46,0,1.52,0,0,0,0,0,0,0,0,0,0,0
Bosnia and Herzegovina ,12.63,42.33,38.94,0,0,0,4.69,0,0,0,0,0,0,0,0,0,0,0,0,0
Nigeria ,17.7,22.74,6.88,1.81,0,0,45.73,2.83,0,0,0,0,0,0,0,0,0,0,0,0
Morocco ,29.55,34.7,28.53,1.25,0,0,3.4,1,0,0,0,0,0,0,0,0,0,0,0,0
Slovenia ,28.58,47.44,17.86,2.3,0,0,2.56,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay ,27.33,35.7,32.31,0,0,0,1.5,1.92,0,0,0,0,0,0,0,0,0,0,0,0
Tunisia ,12.91,26.66,55.32,0,0,0,2.07,0,0,0,0,0,0,0,0,0,0,0,0,0
Macedonia ,10.1,39.2,45.67,0,0,0,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0
Kuwait ,46.62,11.62,15.3,5.27,1.45,8.54,2.18,2.38,4.8,0,0,0,1.48,0,0,0,0,0,0,0
Slovakia (Slovak Republic) ,17.71,41.33,26.6,1.99,0,0,10.55,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia ,48.86,29.14,17.9,1.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iraq ,47.27,23.18,21.19,0,0,0,3.5,3.03,0,0,0,0,0,0,0,0,0,0,0,0
Algeria ,28.33,41.86,25.64,0,0,0,2.31,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangladesh ,12.24,46.13,12.41,0,0,0,19.08,6.38,0,0,0,0,0,0,0,0,0,0,0,0
Albania ,13.01,25.75,56.92,0,0,0,1.87,0,0,0,0,0,0,0,0,0,0,0,0,0
Uruguay ,25.43,28.89,43.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic ,23.04,23.79,45.01,3.24,0,0,1.55,0,1.79,0,0,0,0,0,0,0,0,0,0,0
Qatar ,46.66,14,25.5,4.31,0,0,2.73,3.72,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania ,26.87,39.36,22.04,1.68,0,0,8.92,0,0,0,0,0,0,0,0,0,0,0,0,0
Puerto Rico ,36.87,20.96,25.14,7.91,3.69,1.48,0,0,0,0,0,0,1.36,0,0,0,0,0,0,0
Sri Lanka ,22.99,33.91,30.52,0,0,0,7.33,2.29,0,0,0,0,0,0,0,0,0,0,0,0
Belarus ,13.26,22.01,14.18,0,0,0,48.47,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan ,34.76,18.23,37.49,1.32,0,0,3.18,3.15,0,0,0,0,0,0,0,0,0,0,0,0
Lebanon ,48.23,21.77,21.43,3.93,0,0,1.5,1.2,0,0,0,0,0,0,0,0,0,0,0,0
Costa Rica ,30.52,25.93,25.51,3.82,1.23,0,2.89,6.62,0,0,0,1.38,0,0,0,0,0,0,0,0
Panama ,47.67,17.82,26.31,4.31,0,0,1.11,0,0,0,0,0,0,0,0,0,0,0,0,0
Honduras ,33.97,21.05,26.06,2.19,0,0,2.54,4.16,1.65,0,0,3.26,0,0,0,0,0,0,0,0
Estonia ,26.55,41.52,22.23,3.82,0,0,4.71,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia ,22.13,40.78,26.22,2.34,0,0,7.32,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahrain ,57.83,12.84,15.99,3.94,0,2.01,2.63,1.93,1.2,0,0,0,0,0,0,0,0,0,0,0
Myanmar ,58.91,37.23,1.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Syrian Arab Republic ,43.7,35.78,8.55,0,0,0,3.87,4.77,0,0,0,0,0,0,0,0,0,0,0,0
Oman ,48.94,13.66,19.08,1.63,1.67,0,3.36,8.79,1.33,0,0,0,0,0,0,0,0,0,0,0
Georgia ,11.12,15.92,32.55,0,0,0,38.94,0,0,0,0,0,0,0,0,0,0,0,0,0
Montenegro ,17.15,32.14,39.97,1.31,0,0,7.25,0,0,0,0,0,0,0,0,0,0,0,0,0
El Salvador ,28.62,33.15,31.21,1.84,0,0,2.02,1.09,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus ,38.64,28.04,26.79,3.43,0,0,1.63,0,0,0,0,0,0,0,0,0,0,0,0,0
Armenia ,9.29,25.83,56.33,1.11,0,0,6.85,0,0,0,0,0,0,0,0,0,0,0,0,0
Trinidad and Tobago ,29.52,24.3,39.01,3.71,0,0,1.23,0,0,0,0,0,0,0,0,0,0,0,0,0
Palestinian Territory ,41.01,29.47,25.15,0,0,0,2.09,1,0,0,0,0,0,0,0,0,0,0,0,0
Mongolia ,15.32,62.6,16.23,1.44,0,0,2.14,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenya ,19.84,40.33,12.85,2.45,1.3,0,19.69,1.89,0,0,0,0,0,0,0,0,0,0,0,0
Moldova ,12.11,31.9,43.69,0,0,0,10.52,0,0,0,0,0,0,0,0,0,0,0,0,0
Nepal ,20.07,33.84,28.9,1.49,0,0,12.46,1.21,0,0,0,0,0,0,0,0,0,0,0,0
Nicaragua ,26.6,39.3,28.53,1.43,0,0,1.32,0,0,0,0,0,0,0,0,0,0,0,0,0
Kazakhstan ,17.67,27.88,18.38,1.61,0,0,33.38,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamaica ,25.84,29.65,36.69,3.24,0,0,2.27,0,0,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan ,24.79,14.79,26.06,1.41,0,0,31.12,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghana ,16.48,48.47,12.24,2.21,0,0,14.56,2.06,0,0,0,1.1,0,0,0,0,0,0,0,0
Iceland ,26.99,29.1,30.87,9.93,0,0,1.76,0,0,0,0,0,0,0,0,0,0,0,0,0
Malta ,38.36,20.53,33.81,4.04,0,0,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0
Libya ,37.92,21.61,27,0,0,0,7.6,4.17,0,0,0,0,0,0,0,0,0,0,0,0
Sudan ,31.64,24.66,7.17,0,0,0,23.42,10.23,0,0,0,0,0,0,0,0,0,0,0,0
Senegal ,21.56,54.35,19.31,1.88,0,0,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0
Cambodia ,20.59,41.66,14.5,3.97,1.65,2.66,6.77,5.18,0,0,0,1.52,0,0,0,0,0,0,0,0
Yemen ,33.75,32.59,24.73,0,0,0,4.79,1.79,0,0,0,0,0,0,0,0,0,0,0,0
Luxembourg ,34.15,32.95,14.89,12.11,0,2.71,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0
Brunei Darussalam ,14.14,26.56,21.69,7.78,3.09,2.36,9.21,12.49,0,0,0,0,0,0,0,0,0,0,0,0
Bermuda ,60.12,13.55,9.01,15.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritius ,24.17,36.05,30.2,2.84,0,0,4.01,1.19,0,0,0,0,0,0,0,0,0,0,0,0
Angola ,59.03,16.72,13.91,5.27,0,0,2.89,0,0,0,0,0,0,0,0,0,0,0,0,0
Faroe Islands ,55.8,12.9,20.18,7.59,0,1.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macao ,49.91,18.29,18.21,6.65,1.64,2.27,0,0,0,1.24,0,0,0,0,0,0,0,0,0,0
Bahamas ,44.4,15.96,27.53,7.73,0,0,0,0,0,0,0,0,0,1.08,0,0,0,0,0,0
Lao Peoples Democratic Republic ,40.3,26.32,11.43,2.23,0,0,9.69,7.1,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands Antilles ,49.89,17.53,22.47,6.78,0,0,1.14,0,0,0,0,0,0,0,0,0,0,0,0,0
Uganda ,25.57,49.55,11.08,2.35,0,0,7.64,1.72,0,0,0,0,0,0,0,0,0,0,0,0
Barbados ,33.99,27.79,30.6,3.9,0,0,1.22,0,0,0,0,0,0,0,0,0,0,0,0,0
Reunion ,25.01,42.03,19.75,8.11,1.23,0,1.48,0,0,0,0,0,0,0,0,0,0,0,0,0
Maldives ,15.17,47.77,24.33,3.25,0,0,2.65,4.34,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon ,19.91,66.5,8.47,1.22,0,0,2.67,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanzania ,35.51,28.17,10.73,3.82,0,0,15.47,3.68,0,0,0,0,0,0,0,0,0,0,0,0
Mozambique ,44,25.64,13.83,3.19,0,0,7.99,3.68,0,0,0,0,0,0,0,0,0,0,0,0
Isle of Man ,49.77,16.43,18.91,10.79,0,1.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cote dIvoire ,27.8,40.25,21.38,1.68,0,0,5.51,1.36,0,0,0,0,0,0,0,0,0,0,0,0
Ethiopia ,23.17,32.73,10.91,1.48,0,0,22.16,6.96,0,0,0,0,0,0,0,0,0,0,0,0
Botswana ,45.89,25.63,17.99,2.29,0,0,3.66,2.29,0,0,0,0,0,0,0,0,0,0,0,0
Guam ,32.52,23.37,27.42,10.02,1.21,1.91,0,0,0,0,0,0,1.39,0,0,0,0,0,0,0
Namibia ,52.12,20.59,13.21,3.58,0,0,5.68,2.16,0,0,0,0,0,0,0,0,0,0,0,0
Suriname ,50.19,23.53,18.03,2.14,0,0,2.96,0,0,0,0,0,0,0,0,0,0,0,0,0
Aruba ,48.54,20.55,20.2,7.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uzbekistan ,12.36,17.06,12.55,1.39,0,0,52.45,1.88,0,0,0,0,0,0,0,0,0,0,0,0
Guadeloupe ,35.88,28.11,24.27,7.44,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0
Jersey ,40.63,15.89,19.4,18.71,1.51,1.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seychelles ,47.12,31.13,15.39,2.63,0,0,2.39,0,0,0,0,0,0,0,0,0,0,0,0,0
Cuba ,22.83,68.55,4.43,0,0,0,2.18,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan ,46.95,27.27,12.78,4.05,0,0,5.28,2.03,0,0,0,0,0,0,0,0,0,0,0,0
Guernsey ,47.32,14.65,15.57,15.97,0,2.31,1.43,0,0,0,0,0,0,0,0,0,0,0,0,0
Martinique ,35.11,30.08,24.87,5.73,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0
Zimbabwe ,28.08,24.36,9.97,2.6,0,0,28.85,3.28,0,0,0,0,0,0,0,0,0,0,0,0
Fiji ,34.08,42.58,16.74,3.48,0,0,1.79,0,0,0,0,0,0,0,0,0,0,0,0,0
Madagascar ,16.06,54.93,20.19,2.66,0,0,3.55,0,0,0,0,0,0,0,0,0,0,0,0,0
Grenada ,36.46,24.07,32.47,4.68,0,0,1.27,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,37.78,57.78,7.31,8.26,1.44,1.92,0,0,0,0,0,0,0,0,0,0,0,0,0,4.44
Zambia ,36.13,26.92,9.6,3.05,0,0,20.09,1.55,0,0,0,0,0,0,0,0,0,0,0,0
Saint Lucia ,37.98,25.22,29.76,3.51,0,0,2.29,0,0,0,0,0,0,0,0,0,0,0,0,0
