"Continent","IE","Firefox","Chrome","Safari","Android","iPhone","BlackBerry","Opera","Nokia","Maxthon","UC Browser","NetFront","iPod Touch","Sony PS3","Jasmine","Obigo","Windows Media Player","Chromium"
Morocco ,30.26,34.45,28.16,1.22,0,0,0,3.25,1.05,0,0,0,0,0,0,0,0,0
Paraguay ,28.09,35.96,31.28,0,0,0,0,1.62,1.92,0,0,0,0,0,0,0,0,0
Bosnia and Herzegovina ,11.99,43.39,38.7,0,0,0,0,4.59,0,0,0,0,0,0,0,0,0,0
Nigeria ,18.23,23.84,7.14,1.71,0,0,0,43.71,2.9,0,0,0,0,0,0,0,0,0
Bolivia ,50.15,28.68,16.75,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tunisia ,13.15,26.46,55.19,0,0,0,0,2.05,0,0,0,0,0,0,0,0,0,0
Slovenia ,29.14,46.64,18.11,2.23,0,0,0,2.61,0,0,0,0,0,0,0,0,0,0
Iraq ,48.73,23.15,19.64,0,0,0,0,3.42,3.31,0,0,0,0,0,0,0,0,0
Algeria ,29.09,41.69,25.08,0,0,0,0,2.26,0,0,0,0,0,0,0,0,0,0
Kuwait ,45.47,12.05,14.83,5.45,1.56,8.51,5.56,2.08,2.24,0,0,0,1.86,0,0,0,0,0
Slovakia (Slovak Republic) ,18.03,42.06,26.13,1.83,0,0,0,10.15,0,0,0,0,0,0,0,0,0,0
Macedonia ,9.86,38.73,46.19,0,0,0,0,3.67,0,0,0,0,0,0,0,0,0,0
Bangladesh ,12.39,46.95,12.7,0,0,0,0,18.22,6.18,0,0,0,0,0,0,0,0,0
Dominican Republic ,23.98,24.01,42.53,3.42,0,0,2.59,1.62,0,0,0,0,0,0,0,0,0,0
Albania ,12.43,24.94,58.4,0,0,0,0,1.9,0,0,0,0,0,0,0,0,0,0
Uruguay ,26.71,28.67,42.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan ,35.13,18.43,36.18,1.25,0,0,0,3.57,3.45,0,0,0,0,0,0,0,0,0
Lithuania ,26.58,40.15,21.96,1.58,0,0,0,8.63,0,0,0,0,0,0,0,0,0,0
Qatar ,45.37,15.42,25.13,4.01,0,0,0,3.29,3.54,0,0,0,0,0,0,0,0,0
Sri Lanka ,23.79,34.1,30.06,0,0,0,0,7.12,2.13,0,0,0,0,0,0,0,0,0
Puerto Rico ,37.46,21.1,24.17,7.97,3.91,1.39,0,0,0,0,0,0,1.39,0,0,0,0,0
Honduras ,34.64,20.69,24.88,1.94,0,0,1.84,2.54,4.56,0,0,3.61,0,0,0,0,0,0
Costa Rica ,29.63,24.52,23.27,3.5,1.66,0,0,4.08,8.69,0,0,2.54,0,0,0,0,0,0
Belarus ,13.99,22.83,13.05,0,0,0,0,48.23,0,0,0,0,0,0,0,0,0,0
Panama ,48.86,17.67,24.75,4.24,0,0,0,1.11,1.01,0,0,0,0,0,0,0,0,0
Syrian Arab Republic ,44.2,34.59,7.94,0,0,0,0,4.47,5.42,0,0,0,0,0,0,0,0,0
Bahrain ,56.6,12.64,15.77,3.84,0,2,1.26,4.26,1.89,0,0,0,0,0,0,0,0,0
Estonia ,26.57,42.01,21.79,3.64,0,0,0,4.81,0,0,0,0,0,0,0,0,0,0
Lebanon ,47.45,21.48,20.46,4.3,0,0,0,1.71,1.94,0,0,0,0,0,0,0,0,0
Latvia ,21.96,40.76,26.32,2.19,0,0,0,7.64,0,0,0,0,0,0,0,0,0,0
Myanmar ,56.86,39.14,2.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Salvador ,29.08,33.04,29.73,1.77,0,0,1.17,2.25,1.46,0,0,0,0,0,0,0,0,0
Oman ,47.17,14.19,19.53,1.57,1.62,0,1.23,3.6,9.53,0,0,0,0,0,0,0,0,0
Montenegro ,16.48,32.29,39.48,1.47,0,0,0,8.04,0,0,0,0,0,0,0,0,0,0
Cyprus ,38.34,28.31,26.66,3.49,0,0,0,1.51,0,0,0,0,0,0,0,0,0,0
Mongolia ,15.09,63.23,15.61,1.37,0,0,0,2.34,0,0,0,0,0,0,0,0,0,0
Georgia ,12.64,16.89,30.52,0,0,0,0,38.42,0,0,0,0,0,0,0,0,0,0
