"Continent","Chrome","IE","Firefox","Safari","iPhone","Android","360 Safe Browser","Yandex Browser","Opera","IEMobile","UC Browser","Nokia","NetFront","Unknown","BlackBerry","Sogou Explorer","QQ Browser","Maxthon","Chromium","CoRom+","Phantom","Puffin","iPod Touch","SonyEricsson","Obigo","Openwave Mobile Browser","Silk","Iron","Kindle","Mozilla","Iceweasel"
Egypt ,41.5,7.59,34.67,1.75,1.07,5.3,0,0,3.57,0,0,2.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Israel ,47.8,23.06,8.95,3.41,4.31,3.54,0,0,2.22,0,0,0,0,0,5.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Arab Emirates ,40.71,13.27,9.9,8.69,4.25,7.56,0,0,2.7,0,8.91,1.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Venezuela ,54.31,11.91,22.37,2.11,1.13,4.05,0,0,1.47,0,0,0,0,0,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangladesh ,9.65,1.18,15.38,0,0,4.16,0,0,48.12,0,13.71,4.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Portugal ,53.09,18.5,14.48,6.14,1.71,3.62,0,0,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vietnam ,43.26,7.76,15.79,5.21,7.09,3.96,0,0,2.17,1.54,1.18,0,0,0,0,0,0,0,0,9.84,0,0,0,0,0,0,0,0,0,0,0
Norway ,41.78,16.57,12.55,16.33,5.55,3.17,0,0,3.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland ,30.41,17.92,17.79,16.54,10.26,5.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denmark ,41.35,18.75,10.75,17.45,7.56,2.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria ,44.32,12.74,30.44,1.8,1.12,3.88,0,0,3.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland ,45.52,13.39,11.18,11.62,7.62,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.44,0,0,0,0,0,0,0,0,0,0
Iraq ,47.49,6.41,13.91,2.71,5.57,18.08,0,0,1.82,0,0,2.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland ,35.91,12.22,25.68,9.6,5.78,4.85,0,0,1.42,3.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Zealand ,40.74,18.16,12.45,15.46,5.41,4.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morocco ,47.14,6.48,25.01,2.88,2.44,7.18,0,0,3.97,0,0,1.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czech Republic ,39.22,16.67,31.13,3.27,0,2.72,0,0,4.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Africa ,20.26,14.03,6.26,4.67,2.9,7.2,0,0,21.6,1.94,1.88,6.28,0,0,12.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bosnia and Herzegovina ,55.36,4.66,29.98,1.59,0,3.39,0,0,3.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hong Kong ,41.09,21.23,9.76,11.04,5.23,8.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Croatia ,45.56,10.14,29.25,3.02,2.31,5.28,0,0,3.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria ,28.39,16.71,26.98,9.68,5.71,9.72,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria ,41.5,7.2,37.12,1.36,0,5.55,0,0,2.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nigeria ,13.49,3.63,10.5,2.59,0,4.23,0,0,41.23,0,13.41,6.91,0,0,1.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ecuador ,49.73,8.63,25.53,4.63,1.62,4.75,0,0,1.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tunisia ,63.37,5.38,16.05,2.36,1.74,4.35,0,0,2.45,0,0,1.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania ,58.08,5.41,18.38,3.25,4.6,4.25,0,0,2.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine ,40.28,8.78,19.75,3.13,1.08,2.5,0,3.24,18.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iran ,20.91,15.84,32.03,1.64,1.76,5.75,0,0,9.06,0,5.29,2.31,0,0,0,0,0,0,0,0,0,4.11,0,0,0,0,0,0,0,0,0
Kenya ,11.12,2.85,12.34,1.51,0,6.87,0,0,43.98,1.51,3.28,12.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guatemala ,46.09,13.73,13.11,4.52,4.74,10.63,0,0,3,1.17,0,0,0,0,1.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka ,25.25,4.19,13.64,1.27,1.6,16.83,0,0,17.47,0,4.67,8.15,2.28,1.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
