"Continent","Chrome","IE","Firefox","Safari","iPhone","Android","360 Safe Browser","Yandex Browser","Opera","IEMobile","UC Browser","Nokia","NetFront","Unknown","BlackBerry","Sogou Explorer","QQ Browser","Maxthon","Chromium","CoRom+","Phantom","Puffin","iPod Touch","SonyEricsson","Obigo","Openwave Mobile Browser","Silk","Iron","Kindle","Mozilla","Iceweasel"
Fiji ,30.7,11.23,27.71,4.47,1.93,12.02,0,0,6.68,0,2.15,1.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Caledonia ,25.36,13.08,40.01,11.37,2.29,5.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Botswana ,26.28,18.33,19.31,3.31,1.31,4.67,0,0,8.62,1.58,8.05,4.85,0,0,1.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isle of Man ,25.54,27.67,11.09,24.02,5.9,2.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benin ,21.92,4.1,14.68,1.36,1.26,7,0,0,33.47,1.01,8.46,4.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French Polynesia ,32.32,13.06,24.89,17.18,3.96,5.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haiti ,23.64,13.57,10.41,7.03,2.9,12.4,0,0,10.74,0,3.73,0,4.15,0,0,0,0,0,0,0,0,0,0,0,7.27,0,0,0,0,0,0
French Guiana ,42.74,14.97,23.28,5.94,1.9,8.61,0,0,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania ,37.33,8.27,18.94,2.55,1.97,6.48,0,0,10.63,0,2.49,8.07,0,0,0,0,0,0,0,0,1.04,0,0,0,0,0,0,0,0,0,0
Belize ,38.46,16.42,22.52,6.55,4.37,7.7,0,0,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rwanda ,21.18,5.95,26.88,2.36,0,3.54,0,0,31.88,0,3.55,2.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Togo ,18.68,7.05,46.62,2.75,0,6.44,0,0,10.2,0,3.88,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cape Verde ,49.18,17.73,14.17,4.4,2.04,5.41,0,0,3.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,33.33,48.15,3.7,11.11,4.17,8.33,0,0,2.86,58.33,0,0,0,0,1.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jersey ,27.12,21.79,11.1,28.23,6.38,2.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cayman Islands ,34.88,20.6,11.21,20.41,6.19,3.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkina Faso ,14.21,9.18,25.68,1.86,0,10.42,0,0,20.22,0,7.24,3.24,1.6,0,0,0,0,0,0,0,1.91,0,0,0,0,1.27,0,0,0,0,0
Guernsey ,23.78,25.52,8.46,31.55,5.62,2.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhutan ,39.02,5.68,17.06,2.72,1.86,3.85,0,0,7.56,2.65,9.22,8.36,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo (Republic of the),10.82,7.22,14.02,1.86,1.65,7.03,0,0,44.91,1.18,5.17,0,1.26,0,1.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niger ,8.44,5.84,9.64,1.02,0,15.17,0,0,33.44,0,10.56,9.03,1.49,0,0,0,0,0,0,0,1.47,0,0,0,0,0,0,0,0,0,0
Tajikistan ,36.64,6.21,6.36,2.55,3.32,8.67,0,1.44,24.64,0,3.37,4.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Mariana Islands ,54.07,19.2,11.16,6.83,1.13,6.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabon ,22,17.91,19.72,5.63,1.94,7.9,0,0,14.11,0,1.82,2.23,0,0,2.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Lucia ,49.05,14.15,15.25,6.64,2.03,6.53,0,0,1.66,0,0,0,0,0,1.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sierra Leone ,7.72,5.93,10.15,1.97,1.39,4.3,0,0,51.56,1.28,8.82,5.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Swaziland ,10.73,10.54,7.5,1.89,1.56,4.47,0,0,43.27,2.33,3.34,12.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andorra ,36.88,20.3,14.93,14.49,3.73,8.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gibraltar ,40.45,17.25,10.27,20.76,5.76,3.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Djibouti ,27.66,7.18,17.51,2.16,1.29,3.81,0,0,15.39,0,12.32,9.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea ,15.34,6.45,19.78,3.17,2.1,15.02,0,0,26.4,0,5.76,2.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lesotho ,10.91,13.26,7.69,0,0,2.13,0,0,38.96,1.16,4.47,16.93,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Vincent and the Grenadines ,60.6,11.33,10.55,5.54,1.31,4.24,0,0,2.23,0,0,0,0,0,1.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Kitts and Nevis ,53.58,13.96,12.37,10.34,1.54,4.38,0,0,1.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkmenistan ,25.7,9.79,3.82,2.14,8.1,27.57,1.67,0,7.11,1.28,4.48,5.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seychelles ,28.04,16.35,17.23,6.72,2.89,10.79,0,0,7.07,1.17,4.08,4.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monaco ,28.18,18.9,17.27,27.73,5.19,1.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liberia ,12.08,9.65,11.57,3.48,2,16.85,0,0,24.09,1.08,10.87,7.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gambia ,16.26,5.6,28.54,3.23,4.25,9.18,0,0,15.65,1.39,10.98,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liechtenstein ,21.51,25.69,19.64,18.04,8.29,4.19,0,0,1.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominica ,56.04,10.25,19.44,4.35,0,4.67,0,0,0,0,0,0,0,0,1.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burundi ,13.36,9.8,22.51,2.75,1.03,4.34,0,0,34.95,0,4.96,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turks and Caicos Islands ,36.26,22.27,14.68,14.71,3.88,3.84,0,0,1.16,0,0,0,0,0,1.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cook Islands ,8.97,16.7,10.73,3.39,1.58,2.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.79,0,0,0
Timor-Leste ,9.3,8.14,19.83,3.19,0,4.04,0,0,38.74,0,3.94,9.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
San Marino ,33.03,14.61,33.37,10.97,3.14,3.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Somalia ,38.98,14.47,23.98,1.68,0,3.66,0,0,8.93,0,3.92,2.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equatorial Guinea ,24.88,14.44,16.54,3.19,1.65,6.77,0,0,20.5,0,5.01,3.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greenland ,21.17,21.95,6.86,16.08,9.65,8.49,0,0,12.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
British Virgin Islands ,37.87,26.09,11.13,12.82,3.91,5.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03,0,0,0,0
American Samoa ,33.17,14.31,17.91,14.75,4.76,10.28,0,0,1.31,0,0,0,0,0,0,0,0,0,0,0,0,0,1.84,0,0,0,0,0,0,0,0
Mayotte ,42.28,10.87,12.63,2.53,4.58,19.07,0,0,3.87,1.05,0,0,0,0,0,0,0,0,0,0,0,0,1.25,0,0,0,0,0,0,0,0
Micronesia ,36.01,17.78,20.83,6.72,0,1.58,0,0,15.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marshall Islands ,43.08,10.17,22.2,10.96,2.7,5.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.04,0,0,0,0,0,2.19,0,0
Vanuatu ,32.05,19.54,20.25,8.1,1.9,14.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0
Chad ,11.89,6.99,6.25,2.22,1.3,10.71,0,0,31.92,0,1.95,19.41,1.17,0,0,0,0,0,0,0,1.49,0,0,0,0,1.02,0,0,0,0,0
Samoa ,18.8,20.48,22.42,2.85,2.09,15.4,0,0,10.98,0,1.3,3.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tonga ,21.51,17.8,34.19,5.66,3.25,11.93,0,0,1.04,0,0,2.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Martin ,41.06,10.01,12.13,21.49,5.15,7.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anguilla ,34.17,27.48,13.51,6.74,3.26,7.64,0,0,1.48,0,0,0,0,0,3.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sao Tome and Principe ,41.48,23.46,19.12,4.25,0,3.65,0,0,3.73,0,1.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solomon Islands ,21.59,25.4,12.26,4.73,1.52,8.2,0,0,12.66,0,4.98,5.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Pierre and Miquelon ,41.97,13.92,24.93,14.55,0,1.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.26,0,0,0,0,0,0,0,0
Holy See (Vatican City State) ,30.59,38.51,17.69,9.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16
Comoros ,38.85,11.06,28.37,4.11,2.17,4.5,0,0,4.87,1.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eritrea ,7.6,6.94,81.16,1.34,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palau ,44.57,20.95,16.62,5.05,0,6.21,0,0,1.19,0,0,1.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.81,0,0,0,0
Central African Republic ,23.98,16.26,25.59,7.37,1.16,17.25,0,0,6.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea-Bissau ,24.92,26.61,25.91,9,2.2,5.75,0,0,0,1.04,2.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Falkland Islands (Malvinas) ,23.57,36.66,16,9.76,1.82,9.93,0,0,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kiribati ,28.58,19.21,36.38,1.43,0,5.68,0,0,7.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wallis and Futuna ,41.61,11.55,34.26,10.68,0,1.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Korea ,40.01,3.68,27.27,11.8,0,11.08,0,0,0,0,0,0,0,0,0,5.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Helena ,35.28,45.09,9.18,7.04,0,2.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuvalu ,57.89,9.59,28.88,1.82,0,1.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niue ,42.95,24.75,27.75,3.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montserrat ,46.85,32.09,13.04,6.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tokelau ,33.93,50,16.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nauru ,63.64,18.18,18.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norfolk Island ,4.76,90.48,0,0,0,0,0,0,4.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
