"Continent","Chrome","IE","Safari","Firefox","iPhone","Android","360 Safe Browser","Yandex Browser","Opera","UC Browser","Nokia","NetFront","Unknown","BlackBerry","IEMobile","Sogou Explorer","QQ Browser","Maxthon","CoRom+","Puffin","Openwave Mobile Browser","SonyEricsson","iPod Touch","Obigo","Silk","Phantom","Samsung","Dolfin","Jasmine","Midori","Iron"
Taiwan ,33.85,33.37,4.29,6.67,3.54,16.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgium ,35.51,25.62,13.4,15.71,3.54,3.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Arab Emirates ,41.25,15.21,9.09,8.28,4.03,6.82,0,0,2.94,7.42,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangladesh ,8.5,1.42,0,16.42,0,3.41,0,0,46.89,12.64,6.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Israel ,47.29,29.56,3.77,9.05,4.75,3.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Venezuela ,52.8,12.54,2.01,23.97,1.02,3.43,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria ,41.98,14.56,1.61,32.65,0,3.35,0,0,3.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vietnam ,41.76,9.08,4.42,16.05,11.36,2.92,1.01,0,2.3,1.17,0,0,0,0,1.14,0,0,0,7.07,0,0,0,0,0,0,0,0,0,0,0,0
Morocco ,48.39,7.42,2.72,26.17,2.46,5.69,0,0,3.15,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland ,41.41,15.88,12.25,11.95,8.48,6.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway ,37.11,20.3,16.73,12.68,6.1,4.11,0,0,2.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iraq ,45.39,8.08,2.8,15.74,5,16.92,0,0,1.84,0,2.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bosnia and Herzegovina ,53.55,5.31,1.54,31.79,0,3.16,0,0,2.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland ,34.53,13.42,9.85,26.02,5.22,5.12,0,0,1.46,0,0,0,0,0,3.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denmark ,35.08,22.35,18.43,11.4,8.07,3.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Croatia ,43.44,12.04,2.81,30.84,1.93,4.75,0,0,2.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Africa ,16.23,14.77,4.18,6.37,2.26,5.7,0,0,20.21,1.72,7.79,0,0,17.88,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iran ,18.17,17.62,1.58,33.56,1.51,5.4,0,0,9.09,5.93,3.36,0,0,0,0,0,0,0,0,2.51,0,0,0,0,0,0,0,0,0,0,0
Czech Republic ,38.31,19.64,3.4,28.01,0,2.62,0,0,4.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland ,24.18,23.74,18.73,20.85,6.68,3.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria ,27.7,19.66,10.44,29.24,3.83,6.21,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tunisia ,63.33,6.82,2.2,15.61,1.72,3.55,0,0,2.22,0,1.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nigeria ,7.23,3.97,2.45,9.83,0,3.5,0,0,46.47,14.8,7.91,0,0,1.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Zealand ,37.84,18.4,15.4,13.52,5.91,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hong Kong ,36.65,24.22,11.29,10.84,5.27,9.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine ,37.66,9.99,2.82,19.22,1.1,2.13,0,3.74,20.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria ,39.99,8.48,1.33,38.39,1.11,4.28,0,0,2.16,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania ,57.81,6.05,2.87,18.4,4.44,4.01,0,0,3.11,0,1.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ecuador ,47.65,10.37,4.05,26.96,1.55,4.64,0,0,1.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenya ,8.32,2.66,1.29,12.29,0,5.21,0,0,44.3,2.37,15.84,2.25,0,0,0,0,0,0,0,0,1.27,1.04,0,0,0,0,0,0,0,0,0
Slovakia (Slovak Republic) ,44.41,10.68,3.35,28.21,1.03,4.2,0,0,6.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macedonia ,58.87,4.75,1.37,26.07,1.65,3.43,0,0,2.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka ,23.03,4.21,1.11,13.95,1.28,11.46,0,0,18.62,4.04,12.32,4.2,1.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guatemala ,42.54,16.09,4.71,14.13,4.67,9.91,0,0,3.42,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic ,56.79,9.97,5.11,12.95,3.28,5.57,0,0,1.79,0,0,0,0,1.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan ,47.24,6.17,1.97,4.12,2.74,8.51,0,2.87,20.19,0,3.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania ,40.89,14.12,2.69,30.75,0,2.68,0,0,6.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovenia ,40.39,15.41,4.53,32.28,0,3.84,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Qatar ,40.26,15.76,7.24,8.83,3.46,7.27,0,0,9.83,3.69,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Georgia ,60.06,4.51,1.51,8.29,1.02,1.62,0,0,19.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uruguay ,56.49,10.17,3.03,20.56,0,4.09,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanzania ,4.81,3.66,0,9.25,0,7.22,0,0,44.44,5.78,16.98,2.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montenegro ,52.85,6.1,2.2,22.92,1.49,6.93,0,0,4.65,0,1.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan ,47.58,9.58,3.2,11.38,3.18,13.46,0,0,5.29,0,3.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia ,38.12,16.82,2.59,25.4,2.54,8.34,0,0,3.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puerto Rico ,35.76,18.73,11.44,12.18,6.51,11.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.39,0,0,0,0,0,0,0,0
Costa Rica ,39.35,11.98,6.03,13.58,3.97,11.86,0,0,5.56,0,4.59,0,0,0,1.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Salvador ,46.7,12.93,4.08,20.19,2.07,6.15,0,0,3.85,0,0,0,0,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kuwait ,30.06,14.7,9.01,8.24,11.39,10.19,0,0,12.14,1.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay ,45.66,8.96,1.28,19.65,0,8.27,0,0,5.48,0,6.59,0,0,0,1.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus ,45.41,19.59,7.93,17.29,2.24,4.47,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kazakhstan ,45.76,9.23,3.38,12.93,2.94,5.53,0,2.75,13.87,0,1.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nepal ,33.14,3.37,1.85,17.63,2.21,5.55,0,0,20.23,8.67,4.13,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia ,44.18,11.99,4.3,30.51,1.06,2.75,0,0,3.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palestinian Territory ,49.59,11.42,1.82,24.77,2.05,5.97,0,0,1.59,0,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trinidad and Tobago ,50.65,14.92,6.64,13.28,1.86,7.64,0,0,0,0,0,0,0,1.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moldova ,64.57,6.29,1.89,15.39,0,2.08,0,1.29,5.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonia ,43.76,15.75,5.75,26.83,0,2.89,0,0,2.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belarus ,35.02,9.8,1.94,15.5,0,2.78,0,2.36,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamaica ,48.55,11.89,6.11,16.02,1.87,7.02,0,0,2.39,0,0,0,0,1.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sudan ,9.49,5.12,0,14.27,1.3,8.89,0,0,39.38,3.51,15.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armenia ,69.46,4.03,2.96,11.16,1.48,1.76,0,1.8,5.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Panama ,41.48,20.25,7.53,10.48,2.3,13.68,0,0,1.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oman ,26.69,12.17,2.9,6.73,3,23,0,0,1.6,7.74,12.56,0,0,1.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yemen ,33.4,5.3,1.6,25.95,4.35,12.77,0,0,11.36,2.81,1.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lebanon ,32.65,13.43,8,12.18,7.45,19.37,0,0,2.54,0,1.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iceland ,47.83,13.06,12.58,20.58,2.32,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahrain ,31.04,18.52,6.31,7.29,6.19,18.43,0,0,3.74,3.37,2.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honduras ,47.42,13.15,5.22,15.73,2.69,7.95,0,0,2.59,0,0,0,0,2.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zimbabwe ,9.56,8.5,1.74,11.24,0,2.92,0,0,52.78,2.74,7.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malta ,51.62,16.94,8.86,12.93,2.46,4.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myanmar ,9.27,1.68,2.76,38.16,3.43,38.62,0,0,1.93,2.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicaragua ,45.79,10.5,3.11,19.75,1.88,5.08,0,0,5.15,1.56,2.85,0,0,0,0,0,0,0,0,0,0,0,0,1.02,0,0,0,0,0,0,0
Ghana ,14.8,4.9,2.48,28.17,1.12,6.1,0,0,27.07,7.99,4.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritius ,41.91,9.92,4.65,20.49,1.36,6.44,0,0,7.3,1.25,3.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senegal ,34.14,12.07,3.33,40.7,1.03,3.12,0,0,2.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Libya ,36.42,8.61,3.07,15.33,3.06,11.17,0,0,14.85,1.47,4.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barbados ,47.58,16.84,8.09,15.16,1.53,5.36,0,0,1.08,0,0,0,0,1.04,0,0,0,0,0,0,0,0,0,0,1.08,0,0,0,0,0,0
Faroe Islands ,25.65,34.9,22.5,6.93,5.61,3.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cambodia ,22.76,5.12,6.94,27.18,12.08,13.06,0,0,2.97,3.67,3.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brunei Darussalam ,29.8,5.16,9.46,12.63,4.82,14.41,0,0,18.19,1.08,3.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luxembourg ,27.31,25.28,12.49,23.98,5.27,3.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mozambique ,9.65,7.42,1.68,5.67,0,5.15,0,0,40.35,5.25,15.3,1.73,1.17,0,0,0,0,0,0,0,1.21,1.26,0,1.4,0,0,0,0,0,0,0
Zambia ,7.87,11,1.94,11.69,1.15,4.84,0,0,41.03,3.33,9.6,2.46,0,0,1.35,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0
Mongolia ,38.69,4.68,5.02,34.39,4.32,9.32,0,0,1.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Syrian Arab Republic ,25.27,6.91,1.51,30.12,1.9,17.02,0,0,5.04,4.99,5.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uganda ,12.42,6.41,1.87,26.96,0,5.49,0,0,32.77,3.89,6.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiopia ,12.29,6.15,0,27.24,1.02,1.7,0,0,29.13,10.44,9.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bermuda ,18.59,44.01,24.81,7.08,1.67,2.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahamas ,39.96,23.16,13.16,9.58,3.19,6.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.28,0,0,0,0,0,0
Papua New Guinea ,2.88,2.96,0,1.31,0,19.81,0,0,41.96,2.89,18.02,1.51,0,0,0,0,0,0,0,0,0,0,0,5.76,0,0,0,0,0,0,0
Maldives ,35.3,3.7,4.42,20.01,4.08,11.6,0,0,5.44,2.48,10.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macao ,37.42,22.22,8.91,10.76,8.05,7.48,1.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cote dIvoire ,23.35,5.08,1.73,18.89,0,8.03,0,0,15.77,3.03,3.61,5.79,0,0,0,0,0,0,0,0,1.96,0,0,3.75,0,4.63,0,0,0,0,0
Reunion ,32.38,11.72,9.55,28.48,3.72,10.31,0,0,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon ,13.89,6.7,2.14,43.92,0,4.53,0,0,17.32,3.34,2.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malawi ,9.39,7.84,1.47,9.36,0,2.87,0,0,49.58,4.21,9.24,1.1,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0
Angola ,22.52,24.19,8.05,10.12,3.4,6.57,0,0,19.29,1.06,2.12,0,0,0,1.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo (Democratic Republic of the),5.12,3.23,1.6,6.35,0,8.27,0,0,38.8,4.9,8.31,9.32,0,1.03,1.95,0,0,0,0,0,3.39,1.79,0,1.37,0,0,1.1,0,0,0,0
Lao Peoples Democratic Republic ,24.4,9.01,6.79,17.75,9.27,9.96,0,0,8.55,3.24,6.52,0,0,0,3.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suriname ,36.75,20.2,5.77,14.34,3.03,10.95,0,0,1.87,0,0,0,0,4.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Somalia ,9.57,3.19,0,6.45,0,1.6,0,0,60.64,7.41,9.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guam ,35.93,15.45,16.78,14.14,6.8,7.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.68,0,0,0,0,0,0,0,0
Guyana ,45.57,14.56,3.92,21.33,1.36,4.67,0,0,2.35,0,0,0,0,3.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martinique ,40.82,20.34,7.63,14.04,1.94,11.71,0,0,1.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands Antilles ,38.84,22.17,13.87,11.23,2.91,6.2,0,0,0,0,0,0,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guadeloupe ,36.05,22.51,9.26,18.61,1.66,7.85,1.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madagascar ,23.49,5.04,2.79,38.66,0,4.8,0,0,13.42,4.33,2.08,1.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
