"Continent","Chrome","IE","Safari","Firefox","iPhone","Android","360 Safe Browser","Yandex Browser","Opera","UC Browser","Nokia","NetFront","Unknown","BlackBerry","IEMobile","Sogou Explorer","QQ Browser","Maxthon","CoRom+","Puffin","Openwave Mobile Browser","SonyEricsson","iPod Touch","Obigo","Silk","Phantom","Samsung","Dolfin","Jasmine","Midori","Iron"
Mauritania ,39.1,7.95,2.35,21.43,1.87,4.56,0,0,9.73,2.46,6.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15,0,0,0,0,0
French Polynesia ,32.23,12.43,15.68,24.54,3.69,9.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03,0,0,0,0,0,0,0,0
Fiji ,25.55,12.49,4.87,27.38,2.2,12.48,0,0,9.5,1.57,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cayman Islands ,34.99,22.53,21.42,10.59,4.61,2.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belize ,37.72,15.42,8.29,21.14,4.03,8.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16,0,0,0,0,0,0,0,0
French Guiana ,40.39,18.17,7.62,21.31,1.58,8.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grenada ,59.59,13.58,7,11.82,0,2.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.36,0,0,0,0,0,0
Bhutan ,38.94,6.45,3.23,15.98,2.41,3.69,0,0,7.59,9.74,8.04,0,0,0,2.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andorra ,35.84,24.16,15.05,12.12,4.07,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benin ,20.4,4.38,1.57,15.45,1.08,5.26,0,0,30.33,11.09,5.97,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Mariana Islands ,49.77,25.05,6.43,10.19,1.26,5.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guernsey ,23.23,21.64,27.39,12.08,7.89,4.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Togo ,17.48,6.99,2.06,44.43,0,7.09,0,0,10.09,4.98,2.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Caledonia ,31.64,20.4,14.4,20.94,2.14,8.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,100,75.4,1.53,7.43,3.25,17.31,2.15,0,0,0,0,0,0,6.2,0,0,0,0,0,0,0,0,3.81,0,0,0,0,0,0,0,0
Saint Lucia ,46.48,17.25,6.03,17.12,1.45,4.45,1.86,0,1.75,0,0,0,0,1.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sierra Leone ,6.09,5.82,1.92,10.82,1.01,3.7,0,0,51.8,9.97,6.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niger ,5.66,4.87,1.47,8.91,0,8.14,0,0,29.89,12.53,13.62,6.14,0,0,0,0,0,0,0,0,1.11,0,0,1.67,0,3.16,0,0,0,0,0
Tajikistan ,34.17,6.26,2.68,6.91,2.97,7.83,0,1.69,24.64,3.9,6.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Swaziland ,10.86,13.02,1.66,7.57,1.17,4.56,0,0,40.53,0,12.1,1.36,0,1.36,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Djibouti ,33.61,9.17,2.56,22.09,1.4,5.02,0,0,7.01,8.27,7.4,1.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabon ,20.89,24.89,5.93,21.83,1.46,5.83,0,0,8.56,1.5,1.27,1.54,0,2.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lesotho ,10.17,16.88,1.27,7.86,0,2.21,0,0,37.44,4.22,16.21,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gibraltar ,34,20.91,20.11,11.3,6.78,4.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea ,12.44,5.57,3.51,14.18,1.88,10.98,0,0,30.94,6.47,4.79,2.49,0,0,0,0,0,0,0,0,1.19,0,0,0,0,0,0,0,0,0,0
Saint Vincent and the Grenadines ,54.71,11.87,6.26,14.85,1.32,4.88,0,0,1.48,0,0,0,0,2.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Kitts and Nevis ,47.61,16.46,13.28,12.6,2.12,3.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkina Faso ,10.3,8.72,1.92,20.54,0,7.81,0,0,20.17,8.01,5.15,5.24,0,0,0,0,0,0,0,0,2.4,0,0,2.01,0,3.5,0,0,0,0,0
Liberia ,13.15,9.69,3.65,10.53,1.99,9.19,0,0,29.19,9.92,9.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monaco ,25.98,21.17,30.09,15.89,4.21,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seychelles ,25.83,21.93,6.13,18.05,1.82,7.25,2.3,0,5.78,2.45,5.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
San Marino ,28.48,23.72,16.2,21.1,4.3,4.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkmenistan ,25.91,9.57,1.9,4.16,9.32,24.9,0,0,7.91,5.06,7.84,0,0,0,0,0,0,0,0,1.12,0,0,0,0,0,0,0,0,0,0,0
Mayotte ,38.98,22.34,3.83,19.68,0,10.59,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turks and Caicos Islands ,38.58,20,18.11,9.64,3.98,3.24,0,0,3.2,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gambia ,12.84,7.29,3.12,29.35,3.46,8.36,0,0,20.73,7.88,2.64,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liechtenstein ,19.77,29.83,18.01,21.49,6.29,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Timor-Leste ,8.88,7.14,1.89,20.03,0,3.7,0,0,39.41,4.25,11.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greenland ,21.69,27.89,17.51,6.85,8.59,7.38,0,0,6.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Dominica ,46.7,10.92,5.63,13.03,0,4.15,0,0,15.22,0,0,0,0,1.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Micronesia ,52.71,17.54,5.7,19.58,0,1.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo (Republic of the),15.38,11.16,3.68,18.24,2.61,8.86,0,0,16.06,9.82,1.73,3.71,0,0,0,0,0,0,0,0,2.6,0,0,1.51,0,0,0,0,0,0,0
Burundi ,14.54,10.83,3.22,22.21,1.02,6.23,0,0,27.34,3.74,6.21,1.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equatorial Guinea ,26.52,18.97,4.18,22.4,2.35,5.17,0,0,11.41,3.57,2.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
British Virgin Islands ,35.75,28.43,15.44,10.47,3.48,3.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cook Islands ,12.13,20.55,4.04,9.66,1.53,3.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.87
American Samoa ,35.74,13.16,18.89,20.94,1.59,6.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.58,0,0,0,0,0,0,0,0
Sao Tome and Principe ,41.4,28.5,2.93,21.22,0,1.45,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marshall Islands ,44.42,16.33,10.68,20.63,1.57,3.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0
Saint Martin ,34.79,18.37,20.96,12.13,4.4,5.03,0,0,1.19,0,0,0,0,2.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Samoa ,16.81,16.71,3.12,21.65,1.82,13.99,0,0,13.24,1.25,8.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tonga ,20.1,16.6,5.48,41.17,1.64,8.27,0,0,1.96,0,2.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Holy See (Vatican City State) ,23.89,42.76,6.9,23.54,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vanuatu ,29.14,21.71,6.53,24.67,2.49,9.68,0,0,0,0,0,0,0,0,0,0,0,3.29,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Pierre and Miquelon ,34.4,18.94,12.12,28.25,0,2.53,0,0,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0,1.14,0,0,0,0,0,0,0,0
Comoros ,33.8,11.64,2.51,31.01,1.03,4.67,0,0,4.97,2.9,1.62,0,0,0,0,0,0,1.32,0,0,0,0,1.82,0,0,0,0,0,0,0,0
Anguilla ,36.28,28.54,13.49,8.97,3.48,5.1,0,0,0,0,0,0,0,1.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eritrea ,9.48,8.86,0,75.68,0,1.92,0,0,1.11,1.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palau ,51.16,14.07,7.45,19.7,1.26,5.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solomon Islands ,19.59,17.47,3.2,11.53,1.87,8.61,0,0,19.07,3.22,11.28,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea-Bissau ,18.02,39.34,7.38,23.1,1.63,4.14,0,0,2.18,2.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Falkland Islands (Malvinas) ,21.27,42.71,13.24,15.02,3.11,1.75,0,0,2.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kiribati ,18.39,14.64,1.8,43.53,0,2.18,0,0,18.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic ,13.24,16.17,6.13,26.38,2.73,17.92,0,0,15.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Korea ,43.26,19.88,7.96,18.34,0,6.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wallis and Futuna ,40.76,17.89,7.94,27.4,0,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Helena ,25.55,56.92,3.1,10.54,1.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chad ,26.56,10.98,3.49,28.53,1.46,2.43,0,0,20.26,1.28,0,0,0,0,0,3.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montserrat ,52.57,30.55,0,15.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuvalu ,41.56,15.87,3.35,38.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nauru ,50.74,20.8,3.83,5.57,2.18,3.39,0,0,13.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niue ,24.71,39.25,6.58,26.32,0,2.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tokelau ,3.31,32.53,1.51,61.14,0,1.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norfolk Island ,29.41,29.41,0,41.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western Sahara ,16.67,0,0,83.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Georgia and the South Sandwich Islands ,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Svalbard & Jan Mayen Islands ,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
