"Continent","IE","Firefox","Chrome","Safari","Android","iPhone","BlackBerry","Opera","Nokia","Maxthon","UC Browser","NetFront","iPod Touch","Bolt","Sony PS3","Mozilla","Obigo","Windows Media Player","SeaMonkey","Chromium"
New Zealand ,39.89,24.06,22.04,10.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czech Republic ,27.6,38.55,22.38,1.81,0,0,0,7.78,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine ,17.41,31.26,16.81,1.19,0,0,0,32.39,0,0,0,0,0,0,0,0,0,0,0,0
Guatemala ,41.11,25.26,23.65,2.89,0,0,2.25,1.28,1.14,0,0,0,0,0,0,0,0,0,0,0
Morocco ,34.5,34.39,24.94,1.05,0,0,0,2.74,0,0,0,0,0,0,0,0,0,0,0,0
Kuwait ,51.73,11.24,13.41,4.41,1.46,8.26,3.33,1.38,2.47,0,0,0,1.91,0,0,0,0,0,0,0
Paraguay ,29.03,36.63,30.03,0,0,0,0,1.53,1.73,0,0,0,0,0,0,0,0,0,0,0
Bosnia and Herzegovina ,12.83,43.76,37.52,0,0,0,0,4.58,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia ,52.37,27.82,15.88,1.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovenia ,30.96,46.2,17.03,1.98,0,0,0,2.61,0,0,0,0,0,0,0,0,0,0,0,0
Tunisia ,13.37,28.44,53.23,0,0,0,0,2.16,0,0,0,0,0,0,0,0,0,0,0,0
Algeria ,32.37,42.05,21.65,0,0,0,0,2.33,0,0,0,0,0,0,0,0,0,0,0,0
Iraq ,53.23,21.91,16.68,0,0,0,0,3.4,3.31,0,0,0,0,0,0,0,0,0,0,0
Jordan ,40.47,18.07,32.47,1.11,0,0,0,3.15,3.01,0,0,0,0,0,0,0,0,0,0,0
Slovakia (Slovak Republic) ,18.47,42.36,25.51,1.81,0,0,0,10.19,0,0,0,0,0,0,0,0,0,0,0,0
Nigeria ,20.66,25.81,7.27,1.73,0,0,0,39.24,2.52,0,0,0,0,1.26,0,0,0,0,0,0
Bangladesh ,14.72,48.75,12.04,0,0,0,0,16.63,4.62,0,0,0,0,0,0,0,0,0,0,0
Macedonia ,10.3,40.15,44.48,0,0,0,0,3.61,0,0,0,0,0,0,0,0,0,0,0,0
Qatar ,51.11,14.13,23.51,3.16,0,0,0,1.58,3.43,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic ,25.07,25.09,40.38,3.25,0,0,2.75,1.68,0,0,0,0,0,0,0,0,0,0,0,0
Uruguay ,27.85,29,40.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania ,26.79,40.26,21.22,1.48,0,0,0,9.25,0,0,0,0,0,0,0,0,0,0,0,0
Puerto Rico ,38.08,21.52,24.04,7.39,3.53,1.2,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
Albania ,12.93,25.27,57.55,0,0,0,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0
Honduras ,36.56,21.01,23.74,1.82,0,0,1.87,2.44,4.63,0,0,3.07,0,0,0,0,0,0,0,0
Sri Lanka ,23.98,34.69,29.39,0,0,0,0,7.09,2.12,0,0,0,0,0,0,0,0,0,0,0
Costa Rica ,31.79,25.82,22.79,3.59,1.25,0,0,3.36,7.22,0,0,2.17,0,0,0,0,0,0,0,0
Belarus ,14.22,23.1,12.49,0,0,0,0,48.21,0,0,0,0,0,0,0,0,0,0,0,0
Syrian Arab Republic ,46.65,34.93,7.56,0,0,0,0,3.45,4.63,0,0,0,0,0,0,0,0,0,0,0
Bahrain ,62.3,11.44,15.18,3.25,0,2.07,1.32,1.1,1.86,0,0,0,0,0,0,0,0,0,0,0
Panama ,49.66,18.33,23.97,4.04,0,0,0,1.05,0,0,0,0,0,0,0,0,0,0,0,0
Oman ,52.21,13.57,17.37,1.1,1.24,0,1.19,2.23,9.68,0,0,0,0,0,0,0,0,0,0,0
Estonia ,26.56,42.8,20.89,3.57,0,0,0,4.95,0,0,0,0,0,0,0,0,0,0,0,0
Latvia ,22.15,41.37,26.47,2.05,0,0,0,6.85,0,0,0,0,0,0,0,0,0,0,0,0
Lebanon ,49.93,20.39,18.87,4.05,0,0,1.1,1.49,2.26,0,0,0,0,0,0,0,0,0,0,0
El Salvador ,30.8,33.28,27.58,1.91,0,0,1.31,2.23,1.4,0,0,0,0,0,0,0,0,0,0,0
Georgia ,12.65,17.3,29.62,0,0,0,0,39.01,0,0,0,0,0,0,0,0,0,0,0,0
Montenegro ,16.76,34.41,37.66,1.2,0,0,0,8.03,0,0,0,0,0,0,0,0,0,0,0,0
Palestinian Territory ,44.41,28.32,22.71,0,0,0,0,2.49,0,0,0,0,0,0,0,0,0,0,0,0
Mongolia ,15.42,64.33,14.71,1.11,0,0,0,2.22,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus ,39.7,27.95,26.06,3.29,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0
Nicaragua ,28.13,40.8,24.9,1.33,0,0,0,1.28,1.34,0,0,0,0,0,0,0,0,0,0,0
Trinidad and Tobago ,30.38,24.87,37.82,3.57,0,0,0,1.18,0,0,0,0,0,0,0,0,0,0,0,0
Myanmar ,46.36,48.62,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenya ,20.67,40.47,12,2.17,1.15,0,0,20.11,1.79,0,0,0,0,0,0,0,0,0,0,0
Armenia ,9.54,30.5,50.97,1.14,0,0,0,7.19,0,0,0,0,0,0,0,0,0,0,0,0
Moldova ,12.84,34.18,40.86,0,0,0,0,10.67,0,0,0,0,0,0,0,0,0,0,0,0
Nepal ,23.18,34.71,26.23,1.43,0,0,0,11.83,1.09,0,0,0,0,0,0,0,0,0,0,0
Kazakhstan ,19.07,29.47,16.47,1.43,0,0,0,32.55,0,0,0,0,0,0,0,0,0,0,0,0
Jamaica ,27.51,29.95,35.14,3.22,0,0,0,1.87,0,0,0,0,0,0,0,0,0,0,0,0
Ghana ,19.18,51.45,10.73,1.95,0,0,0,12.51,1.31,0,0,0,0,0,0,0,0,0,0,0
Sudan ,35.73,25.07,6.8,0,0,0,0,21.83,8.11,0,0,0,0,0,0,0,0,0,0,0
Iceland ,25.03,30.66,30.9,9.91,0,0,0,2.1,0,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan ,27.27,15.05,22.41,1.35,0,0,0,32.09,1.02,0,0,0,0,0,0,0,0,0,0,0
Yemen ,37.17,32.39,23.17,0,0,0,0,3.79,1.61,0,0,0,0,0,0,0,0,0,0,0
