"Continent","Chrome","IE","Firefox","Safari","iPhone","Android","Yandex Browser","Opera","UC Browser","Nokia","NetFront","BlackBerry","Sogou Explorer","Maxthon","QQ Browser","360 Safe Browser","CoRom+","IEMobile","iPod Touch","Sony PS3","Silk","Obigo","Phantom","Iron","Openwave Mobile Browser","Iceweasel"
Gabon ,22.54,26.01,25.3,7.23,1.31,4.16,0,7.54,0,1.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Somalia ,17.93,7,15.31,1.28,0,1.31,0,38.94,10.62,5.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gibraltar ,31.8,21.83,15.66,19.41,5.61,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkina Faso ,17.88,17.32,34.09,3.61,0,4.39,0,8.98,5.92,2.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Djibouti ,32.23,11.9,22.93,2.55,1.64,2.59,0,9.36,7.88,4.85,0,0,0,1.54,0,0,0,0,0,0,0,0,0,0,0,0
Dominica ,55.45,15.04,13.44,9.73,0,1.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mayotte ,45.52,17.04,24.02,4.06,0,4.78,0,2.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sierra Leone ,5.47,7.85,12.87,1.95,0,2.92,0,43.76,15.51,6.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gambia ,15.76,7.94,40.25,3.07,2.91,5.3,0,12.37,6.99,2.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monaco ,24.74,23.65,16.55,29.26,3.34,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turks and Caicos Islands ,38.88,24.45,11.17,15.13,3.1,2.59,0,0,0,0,0,1.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seychelles ,25.73,24.1,24.86,6.12,1.56,4.31,0,5.59,2.08,3.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
British Virgin Islands ,30.42,40.68,8.8,12.5,2.32,2.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cook Islands ,9.1,17.24,6.45,2.8,0,0,0,2.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.01,0,0
Liechtenstein ,18.57,32.62,19.7,17.25,7.07,3.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liberia ,12.46,15.64,11.69,3.9,1.37,6.16,0,27.06,9.65,10.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lesotho ,12.19,25.23,10.29,2.13,0,1.88,0,30.37,5.48,10.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
San Marino ,27.32,27.17,23.99,14.02,2.73,3.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkmenistan ,19.33,10.11,7.35,2.14,7.17,21.72,0,10.45,7.41,10.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Timor-Leste ,8.74,10.64,28.58,2.2,1.18,4.06,0,30.2,3.06,9.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greenland ,20.22,32.5,10.61,17.82,4.91,6.67,0,5.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Swaziland ,17.54,25.56,12.44,4.76,1.34,3.19,0,27.06,0,5.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niger ,13.17,14.92,20.49,3.19,1.1,4.07,0,17.58,9.53,12.21,0,0,0,0,0,0,0,0,0,0,0,0,1.05,0,0,0
Burundi ,18.98,18.01,36.04,4.55,1.12,3.97,0,7.26,6.21,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo (Republic of the),17.32,17.33,26.98,5.38,2.03,6.44,0,17.37,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American Samoa ,35.99,16.86,23.77,15.61,0,3.12,0,0,0,0,0,0,0,0,0,0,0,0,2.32,0,0,0,0,0,0,0
Equatorial Guinea ,20.15,21.79,26.88,4.49,1.39,5.34,0,12.57,3.31,2.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Samoa ,19.8,30.69,32.64,2.65,0,3.66,0,5.58,1.18,1.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anguilla ,36.91,31.08,9.97,10.47,2.93,2.5,0,3.07,0,0,0,1.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Micronesia ,31.57,26.68,28.88,5.56,0,3.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marshall Islands ,35.21,22.13,27.77,7.47,1.24,2.92,0,0,0,0,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0
Saint Martin ,34.08,18.75,14.79,21.05,2.62,3.68,0,0,0,0,0,2.25,0,0,0,0,0,0,0,1.02,0,0,0,0,0,0
Guinea ,19.03,22.53,24.74,11.53,1.69,4.47,0,8.95,3.03,1.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sao Tome and Principe ,29.07,37.37,24.29,4.18,0,1.12,0,2.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Holy See (Vatican City State) ,20.86,48.5,24.08,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vanuatu ,27.5,26.11,26.09,9.27,1.79,4.93,0,1.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solomon Islands ,16.26,25.71,14.99,4.8,2.24,5.14,0,14.1,4.84,9.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tonga ,16.36,24.19,48.85,7.17,0,1.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comoros ,33.08,23.65,32.57,2.31,0,3.57,0,1.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Pierre and Miquelon ,36.11,19.22,29.87,9.91,1.4,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eritrea ,12.87,14.17,69.26,0,0,0,0,1.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palau ,30.34,30.58,20.53,6.49,2.3,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic ,15.85,25.05,46.67,2.74,0,3.22,0,4.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montserrat ,52.46,30.16,7.55,6.2,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Falkland Islands (Malvinas) ,18.77,45.36,14.63,12.75,1.55,3.5,0,2.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chad ,9.15,12.1,16.51,1.77,1.32,4.1,0,24.54,1.74,18.85,1.08,0,1.61,0,0,0,0,0,0,0,0,0,0,0,3.41,0
North Korea ,38.73,31.09,24.43,1.58,0,1.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kiribati ,18.1,24.06,53.54,1.73,0,0,0,1.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wallis and Futuna ,34.83,10.91,38.25,8.53,0,3.89,0,1.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Helena ,34.99,50.89,11.21,1.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea-Bissau ,11.53,37.4,47.67,1.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tokelau ,29.04,14.75,56.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niue ,31.39,28.02,29.39,4.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.57,0,0,0,0,0,0,0
Tuvalu ,41.14,9.3,43.91,4.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nauru ,67.39,13.61,12.4,3.5,1.35,1.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norfolk Island ,0,66.67,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western Sahara ,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
