"Continent","Chrome","IE","Firefox","Safari","iPhone","Android","Yandex Browser","Opera","UC Browser","Nokia","NetFront","BlackBerry","Sogou Explorer","Maxthon","QQ Browser","360 Safe Browser","CoRom+","IEMobile","iPod Touch","Sony PS3","Silk","Obigo","Phantom","Iron","Openwave Mobile Browser","Iceweasel"
Morocco ,51.55,7.4,27.93,2.48,1.63,3.32,0,2.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria ,39.77,16.94,34.44,1.51,0,2.29,0,2.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iraq ,46.52,12.16,19.4,2.95,3.58,9.14,0,1.93,0,2.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway ,33.14,24.02,13.86,16.44,4.99,4.12,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iran ,17.76,23.83,35.92,1.51,1.44,4.52,0,6.18,4.2,2.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland ,39.99,17.98,14.26,10.92,7.29,5.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bosnia and Herzegovina ,51.73,6.51,33.63,1.55,0,2.31,0,2.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Zealand ,36.75,22.47,15.22,14.38,4.25,4.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland ,32,13.57,28.54,9.1,3.77,4.27,0,1.58,0,3.68,0,0,0,0,0,0,0,2.66,0,0,0,0,0,0,0,0
Tunisia ,64.59,6.72,16.58,2.08,1.55,2.84,0,1.98,0,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denmark ,33.49,25.78,12.5,16.63,6.91,3.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hong Kong ,31.94,27.4,11.94,9.77,4.73,11.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria ,24.9,21.27,32.58,9.33,3.24,5.64,0,1.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ecuador ,46.46,12.09,28.36,3.57,1.26,4.03,0,1.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria ,42.62,9.32,38.68,1.33,0,2.34,0,1.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Africa ,20.06,26.22,11.29,6.32,2.05,4.48,0,12.88,1.25,2.99,0,11.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland ,20.9,25.22,22.27,17.95,7.33,4.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czech Republic ,36.6,21.19,29.2,2.99,0,2.49,0,4.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Croatia ,39.41,12.89,33.16,3.42,2.31,4.72,0,2.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania ,56.38,7.39,22.05,2.73,3.37,3.07,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine ,37.63,9.09,24.76,2.88,0,1.5,2.4,18.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nigeria ,8.45,5.82,13.98,3.27,0,2.9,0,37.14,18.49,7.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangladesh ,12.65,2.56,26.63,0,0,3.03,0,27.07,17.71,6.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic ,60.67,9.94,14.26,4.45,2.31,3.46,0,1.56,0,0,0,1.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uruguay ,58.84,11.54,22.13,1.84,0,1.99,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macedonia ,57.67,5.22,27.83,1.32,1.29,3.15,0,2.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guatemala ,42.06,20.24,16.98,4.37,3.64,6.45,0,3.04,0,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka ,34.35,7.87,24.62,1.54,0,5.42,0,12.87,4.35,4.39,1.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovakia (Slovak Republic) ,42.76,12.21,30.34,2.76,0,3.4,0,5.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Qatar ,42.52,19.56,10.43,7.14,2.64,6.18,0,5.51,1.95,2.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan ,50.93,8.07,5.72,2.33,1.69,4.49,2.73,20.46,0,1.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan ,50.26,11.23,13.11,3.24,2.37,8.02,0,5.3,0,4.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania ,38.71,14.14,32.56,2.61,0,2.29,0,7.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay ,48.38,11.87,22.87,1.22,0,5.2,0,4.7,0,3.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia ,35.39,21.05,28.53,2.58,1.84,5.86,0,2.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Georgia ,62.12,4.49,9.61,1.38,0,0,0,18.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovenia ,36.53,17.28,35.29,4.24,0,3.49,0,1.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Costa Rica ,39.67,15.27,16.45,5.65,3.15,8.99,0,4.19,0,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puerto Rico ,33.45,19.72,14.94,10.78,4.71,11.19,0,0,0,0,0,0,0,0,0,0,0,0,1.92,1.12,0,0,0,0,0,0
Nepal ,39.99,5.58,24.32,2.06,1.86,3.62,0,13.51,5.15,1.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
