"Continent","Chrome","IE","Safari","Firefox","iPhone","Android","360 Safe Browser","Yandex Browser","Opera","UC Browser","Nokia","NetFront","Unknown","BlackBerry","IEMobile","Puffin","Sogou Explorer","QQ Browser","Maxthon","Sleipnir","CoRom+","SonyEricsson","Openwave Mobile Browser","Chromium","iPod Touch","Obigo","Silk","Samsung","Jasmine","Phantom","Dolfin","Iron","Maemo browser","Sony PS3","Links"
Somalia ,10.15,3.49,0,7.51,0,1.37,0,0,59.51,5.97,8.79,1.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Namibia ,15.31,12.33,3,6.77,1.73,6.71,0,0,24.8,1.67,17.63,4.19,0,1.69,1.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uzbekistan ,25.32,5.49,1.73,8.39,4.25,6.77,0,0,26.34,7.98,10.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mali ,4.17,3.5,0,5.23,0,5.44,0,0,23.09,4.31,7.83,18.4,0,0,0,0,0,0,0,0,0,0,9.53,0,0,4.38,0,0,1.39,6.85,1.77,0,0,0,0
Kyrgyz Republic ,41.86,7.81,2.42,8.67,2.08,5.41,0,1.08,22.82,2.12,3.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda ,43.36,18.12,9.66,12.45,2.09,7.48,0,0,1.83,0,0,0,0,1.57,0,0,0,0,0,0,0,0,0,0,1.16,0,1.01,0,0,0,0,0,0,0,0
Madagascar ,23.99,5.38,2.87,37.71,0,3.53,0,0,14.59,3.13,2.54,1.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cuba ,9.79,10.11,0,75.97,0,0,0,0,1.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cape Verde ,51.57,23.67,2.92,14.09,1.05,2.46,0,0,2.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan ,22.6,14.42,4.64,20.55,5.2,6.64,0,0,10.9,5.34,7.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rwanda ,15.66,5.43,2.51,21.69,0,2.63,0,0,37.64,5.14,4.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aruba ,32.02,24.98,14.65,9.48,7.8,7.58,0,0,0,0,0,0,0,1.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jersey ,31.64,22.14,25.89,11.82,4.46,1.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isle of Man ,29.39,27.17,21.19,12.38,4.32,2.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haiti ,20.38,12.33,5.4,11.08,2.23,6.7,0,0,11.34,3.4,1.74,6.91,2.1,0,0,0,0,0,0,0,0,0,0,0,0,11.57,0,0,0,0,0,0,0,0,0
Fiji ,25.69,12.84,4.49,27.58,1.88,10.35,0,0,11.49,1.52,2.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Botswana ,22.69,17.95,3.19,16.47,0,4.35,0,0,9.06,7.36,10.83,1.95,0,1.66,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhutan ,39.23,7.34,3.13,18.05,1.53,3.28,0,0,8.4,7.93,7.79,1.01,0,0,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania ,36.99,8.62,2.19,21.31,1.67,4.7,0,0,10.04,2.17,7.45,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.27,0,0,0,0,0
French Polynesia ,32.45,12.18,15.32,27.18,3.53,6.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13,0,0,0,0,0,0,0,0,0,0
French Guiana ,41.43,18.5,6.86,21.7,1.25,7.5,0,0,1.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belize ,39.87,14.12,7.2,20.73,4.73,7.9,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0
Cayman Islands ,35.76,22.85,20.29,11.01,4.56,2.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benin ,20.07,5.14,0,14.92,0,4.71,0,0,31.08,9.9,6.13,1.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Lucia ,52.66,14.23,5.54,17.27,1.34,3.5,0,0,1.72,0,0,0,0,1.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Togo ,17.14,6.95,1.99,45.66,0,4.57,0,0,10.92,5.37,2.62,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grenada ,58.7,15.23,6.6,12.03,0,2.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.07,0,0,0,0,0,0,0,0
New Caledonia ,31.94,19.99,13.37,23.31,1.97,6.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Mariana Islands ,46.77,27.16,5.98,10.44,1.16,6.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,76.19,9.52,4.16,100,3.3,4.76,0,0,0,0,0,0,0,6.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.76,0,1.96,0
Andorra ,35.28,25.1,15.07,13.09,3.57,6.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niger ,4.48,4.51,0,7.52,0,5.07,0,0,31.03,10.9,16.59,8.07,0,0,0,0,0,0,0,0,0,0,1.1,0,0,2.33,0,0,0,4.79,0,0,0,0,0
Guernsey ,26.44,19.79,25.1,12.76,7.51,4.33,0,0,0,0,0,0,0,0,1.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sierra Leone ,5.46,5.74,1.66,11.22,1.01,2.85,0,0,53.51,9.8,6.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Swaziland ,8.45,9.29,1.63,5.64,0,3.3,0,0,46.53,0,15.06,1.89,0,2.05,1.75,0,0,0,0,0,0,0,1.02,0,0,0,0,0,0,0,0,0,0,0,0
Tajikistan ,33.99,7.76,2.23,6.76,2.35,6.92,0,1.57,26.11,2.92,6.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Djibouti ,31.52,8.53,2.03,20.65,1.32,5.84,0,0,6.85,9,9.36,2.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lesotho ,6.85,10.54,1.36,4.96,0,1.59,0,0,38.01,4.21,21.05,5.97,0,0,0,0,0,0,0,0,0,0,2.72,0,0,0,0,0,0,0,0,0,0,0,0
Saint Kitts and Nevis ,51.51,15.71,10.71,12.45,1.84,3.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gibraltar ,38.71,19.6,18.06,12.03,4.88,3.74,0,0,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkina Faso ,9.77,8,1.77,19.39,0,5.36,0,0,20.72,7.97,6.23,7.02,0,0,0,0,0,0,0,0,0,0,2.91,0,0,2.43,0,0,0,3.95,0,0,0,0,0
Guinea ,9.12,5.15,3.18,11.64,1.96,8.69,0,0,31.34,7.02,6.89,5.48,1,0,0,0,0,0,0,0,0,0,1.79,0,0,1.06,0,0,0,1.01,0,0,0,0,0
Saint Vincent and the Grenadines ,55,13.41,5.39,15.78,1.06,3.64,0,0,1.09,0,0,0,0,2.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabon ,20,21.27,5.4,21.26,1.26,5.17,0,0,10.98,1.77,2.05,3.13,0,1.94,0,0,0,0,0,0,0,0,1.32,0,0,0,0,0,0,1.3,0,0,0,0,0
Seychelles ,25.76,20.82,5.29,17.77,1.33,5.15,2.35,0,8.17,2.52,7.26,0,0,0,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turks and Caicos Islands ,38.9,20.25,15.11,10.84,3.53,5,0,0,3.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03,0,0,0,0,0,0,0,0
Liberia ,14.59,10.17,3.51,9.18,2.27,8.21,0,0,28.73,9.57,10.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liechtenstein ,18.92,33.78,17.01,19.35,6.36,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Timor-Leste ,7.47,6.7,1.91,18.24,0,4.13,0,0,41.52,3.77,13.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkmenistan ,23,9.6,1.75,4.31,8.54,25.61,0,0,8.05,5.98,9.28,0,0,0,0,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
San Marino ,28.88,24.3,16.68,20.4,3.88,4.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monaco ,27.33,21.89,27.13,16.3,4.36,1.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mayotte ,39.54,21.03,3.93,20.4,0,10.08,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gambia ,13.88,6.76,3.13,27.85,3.1,8.4,0,0,21.26,7.21,3.32,1.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cook Islands ,9.9,15.79,2.43,6.54,0,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.36,0,0,0
Greenland ,24.07,25.84,16.42,7.57,7.34,8.16,0,0,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burundi ,13.58,10.71,4.44,21.59,0,3.8,0,0,27.61,5.09,6.22,1.97,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02,0,0,0,0,0,0,0,0,0
British Virgin Islands ,41.22,27.55,12.4,9.54,3.04,2.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.23,0,0,0,0,0,0,0,0
Dominica ,46.22,13.01,4.05,21.8,3.54,4.64,0,0,1.76,0,0,0,0,2.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo (Republic of the),14.29,10.32,3.67,17.48,2.24,8.22,0,0,16.25,8.59,1.96,5.39,0,1.05,0,0,0,0,0,0,0,0,2.99,0,0,2.73,0,0,0,0,0,0,0,0,0
Micronesia ,45.44,20.1,5,19.79,0,1.91,0,0,5.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equatorial Guinea ,27.13,18.07,3.87,25.6,1.56,4.72,0,0,11.26,2.34,2.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sao Tome and Principe ,48.99,23.12,2.73,20.5,0,1.26,0,0,1.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American Samoa ,40.97,13.11,18.22,17.58,1.95,4.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.22,0,0,0,0,0,0,0,0,0,0
Saint Martin ,40.2,17.01,17.8,11.47,3.61,4.36,0,0,2.96,0,0,0,0,1.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Samoa ,16.11,15.51,2.53,22.05,1.24,11.17,0,0,14.29,1.79,10,2.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.08,0,0,0,0,0
Marshall Islands ,41.24,11.58,11.71,27.55,2.19,2.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13,0,0,0,0,0,0,0,0,0,0
Anguilla ,43.01,25.3,10.81,9.8,1.57,4.12,0,0,0,0,0,0,0,2.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comoros ,35.51,11.67,2.03,32.39,0,3.47,0,0,4.48,1.68,2.18,1.24,0,0,0,0,0,0,1.26,0,0,0,0,0,0,1.52,0,0,0,0,0,0,0,0,0
Tonga ,21.91,16.8,6.64,35.79,1.43,9.07,0,0,1.14,0,3.56,0,0,0,1.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Pierre and Miquelon ,39.23,16.15,12.1,27.17,0,1.97,0,0,1.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Holy See (Vatican City State) ,24.09,39.48,9.28,24.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vanuatu ,26.31,21.16,6.03,27.97,2.75,10.36,0,0,0,0,0,0,0,0,0,0,0,0,1.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eritrea ,7.48,8.64,0,80.3,0,0,0,0,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solomon Islands ,18.17,17.03,6.02,12.27,1.97,6.42,0,0,15.28,3.42,14.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.24,0,0,0,0,0,0,1.65,0,0
Palau ,38.67,20.79,7.24,22.58,1.55,6.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea-Bissau ,23.44,27.82,10.13,22.74,2.4,6.84,0,0,3.37,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Falkland Islands (Malvinas) ,16.66,50.9,12.44,11.78,3.9,1.2,0,0,1.59,0,0,0,0,0,1.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Helena ,59.42,32.54,3.13,3.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wallis and Futuna ,42.14,9.82,6.05,29.52,0,11.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic ,12.95,21.42,8.06,22.18,1.39,9.93,0,0,22.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Korea ,39.15,18.16,10.76,27.32,0,1.41,0,0,1.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kiribati ,21.2,23.56,8.33,39.69,0,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chad ,27.68,18.65,3.53,25.89,11.04,1.76,0,0,4.2,0,0,0,0,0,0,0,3.64,0,1.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuvalu ,55.88,15.48,1.1,26.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montserrat ,31.69,57.36,0,9.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niue ,15.74,30.31,7.2,40.72,0,4.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tokelau ,4.08,25.81,1.23,68.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nauru ,36.87,30.1,10.03,9.36,3.26,8.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norfolk Island ,73.02,15.87,0,9.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.59
Western Sahara ,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
