"Continent","IE","Chrome","Firefox","Safari","Android","iPhone","Opera","BlackBerry","UC Browser","Nokia","NetFront","Dolfin","Maxthon","360 Safe Browser","QQ Browser","TheWorld","SeaMonkey","Flock","Comodo Dragon","iPod Touch","Sony PS3","Unknown","Obigo","Iron","Kindle"
Switzerland ,33.54,15.65,27.57,15.67,1.63,3.55,1.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Arab Emirates ,35.18,29.74,13.87,6.34,1.46,1.82,1.57,0,1.57,6.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denmark ,39.26,24.93,16.01,13.5,1.69,3.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hong Kong ,40.93,21.97,16.38,9.56,5.5,3.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland ,28.13,33.31,19.34,8.22,3.19,4.35,1.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria ,28.32,17.94,38.13,7.63,2.6,1.94,2.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway ,30.86,26.89,19.81,12.96,1.73,2.23,4.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Africa ,43.7,17.65,18.2,6.04,1.9,1.08,8.84,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Croatia ,18.98,29.65,42.01,2.18,1.29,1.13,4.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czech Republic ,24.99,28.67,33.88,2.48,0,0,7.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine ,12.73,25.9,27.22,1.72,0,0,30.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iran ,36.75,11.63,36.14,0,1.36,0,4.24,0,4.82,2.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay ,19.85,40.9,31.71,1.05,1.7,0,2.1,0,0,1.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nigeria ,11.24,6.8,19.29,2.98,0,0,49.2,0,2.77,5.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Zealand ,31.89,28.31,21.52,11.94,1.59,2.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ecuador ,22.08,36.21,34.91,2.6,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bosnia and Herzegovina ,9.14,42.94,41.03,0,0,0,4.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic ,15.24,56.58,19.9,3.33,0,0,1.59,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morocco ,17.1,36.85,36.64,1.7,0,0,3.79,0,0,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tunisia ,9.53,56.99,26.38,1.26,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovenia ,24.35,26.52,42.05,2.97,1.07,0,2.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria ,16.77,32.39,45.17,0,0,0,2.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macedonia ,7.08,51.64,35.24,0,0,0,3.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania ,11.55,54.98,26.18,1.65,0,1.27,2.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Georgia ,5.97,43.89,11.99,0,0,0,36.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka ,13.93,34.07,33.27,0,0,0,8.53,0,1.39,3.66,1.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guatemala ,29.55,35.19,22.38,4,1.42,1.71,2.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uruguay ,18.94,50.87,26.35,1.33,0,0,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovakia (Slovak Republic) ,14.44,33.83,36.54,2.37,1.3,0,10.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania ,19.03,29.82,39.36,1.96,0,0,8.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
