"Continent","IE","Chrome","Firefox","Safari","Android","iPhone","Opera","BlackBerry","UC Browser","Nokia","NetFront","Dolfin","Maxthon","360 Safe Browser","QQ Browser","TheWorld","SeaMonkey","Flock","Comodo Dragon","iPod Touch","Sony PS3","Unknown","Obigo","Iron","Kindle"
Mali ,25.85,16.62,33.62,3.82,1.84,0,4.36,0,1.38,5.06,2.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Swaziland ,38.2,10.24,17.11,2.78,0,0,23.06,0,0,4.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lesotho ,43.44,8.13,17.63,1.84,0,0,18.74,0,1.38,4.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American Samoa ,22,25.33,38,9.66,1.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15,0,0,0,0,0
Anguilla ,41.72,26.85,15.1,10.48,1.46,0,0,1.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkmenistan ,17.87,14.17,11.23,3.89,9.56,4.11,20.37,0,6.46,9.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sierra Leone ,19.38,10.17,21.67,3.04,2.12,1.3,31.23,0,2.74,5.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liberia ,33.15,12.5,23.12,6.24,1.43,1.29,14.61,0,0,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niger ,22.47,10.25,24.94,2.89,1.23,0,17.04,0,5.21,10.71,1.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burundi ,34.56,14.39,35.77,3.95,0,0,7.49,0,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo (Republic of the),30.74,14.85,33.11,3.43,1.57,0,8.2,0,1.32,1.04,2.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equatorial Guinea ,29.19,13.92,29.35,4.12,0,0,14.84,0,1.31,4.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Micronesia ,31.41,21.78,39.07,4.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Pierre and Miquelon ,35.78,21.02,33.12,7.52,0,0,1.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vanuatu ,39.1,17.49,31.56,8.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Samoa ,26.62,16.47,34.07,2.48,0,2.22,14.8,0,0,1.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Timor-Leste ,30.77,13.33,52.21,2.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eritrea ,20.65,4.86,71.65,0,0,0,1.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cook Islands ,43.7,13.6,20.09,9.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.17,0
Solomon Islands ,35.99,35.53,20.71,6.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sao Tome and Principe ,55.25,12.8,25.23,4.81,0,0,1.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Falkland Islands (Malvinas) ,62.02,11.38,17.47,5.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tonga ,26.96,10.04,56.05,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea ,39.41,16.12,30.7,4.93,1.5,2.19,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marshall Islands ,22.22,20.69,49.18,3.57,0,0,1.07,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comoros ,36.7,24.22,30.12,4.65,0,0,2.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kiribati ,20.86,28.33,46.76,1.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mayotte ,45.23,9.02,31.82,4.81,5.87,1.42,1.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palau ,29.08,32.57,27.65,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montserrat ,48.68,28.8,15.49,2.96,1.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Helena ,75.23,16.87,6.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic ,39.83,12.07,30.22,7.36,0,0,4.18,0,2,0,0,0,0,0,0,0,0,0,0,1.56,0,0,0,0,0
Chad ,54.21,12.9,24.16,3.99,0,0,1.08,0,0,0,0,0,1.15,1.01,0,0,0,0,0,0,0,0,0,0,0
Guinea-Bissau ,62.02,15.77,20.11,1.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Korea ,66.08,2.86,28.26,0,0,0,2.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niue ,16,15.73,64.2,3.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wallis and Futuna ,14.71,39.95,38.43,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuvalu ,12.93,52.22,34.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nauru ,11.11,1.23,86.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.23,0,0,0,0,0
Norfolk Island ,11.11,88.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christmas Island ,20,0,70,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western Sahara ,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pitcairn Islands ,20,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
