"Continent","IE","Firefox","Safari","Chrome","Opera","iPhone","Maxthon","UC Browser","Nokia","Bolt","Mozilla","Windows Media Player"
Bolivia ,66,24.73,1.02,6.56,0,0,0,0,0,0,0,0
Uruguay ,47.79,36.52,0,13,1.2,0,0,0,0,0,0,0
Estonia ,31.53,49.24,2.88,9.14,6.11,0,0,0,0,0,0,0
Palestinian Territory ,69.66,19.58,0,7.76,1.39,0,0,0,0,0,0,0
Oman ,69.05,12.81,0,7.27,2.55,0,0,0,5.83,0,0,0
Bangladesh ,29.29,43.35,0,7.65,15.15,0,0,0,2.54,0,0,0
El Salvador ,47.39,39.04,1.59,9.51,1.29,0,0,0,0,0,0,0
Iraq ,72.91,13.94,0,5.3,3.75,0,0,0,2.76,0,0,0
Mongolia ,23.29,67.65,0,5.8,1.79,0,0,0,0,0,0,0
Lebanon ,66.86,17.95,2.55,9.31,1.26,0,0,0,1.15,0,0,0
Cyprus ,58.22,28.57,2.11,8.39,1.75,0,0,0,0,0,0,0
Sri Lanka ,33.43,39.59,0,20.29,4.25,0,0,0,0,0,0,0
Montenegro ,29.4,41.97,0,17.86,8.47,0,0,0,0,0,0,0
Georgia ,25.21,19.19,0,9.29,45.07,0,0,0,0,0,0,0
Belarus ,21.28,24.97,0,4.96,46.73,0,0,0,0,0,0,0
Libya ,55.78,17.78,0,12.23,6.41,0,0,0,6.13,0,0,0
Sudan ,58.69,19.61,0,2.89,10.25,0,0,0,6.89,0,0,0
Moldova ,22.58,50.23,0,12.57,13.09,0,0,0,0,0,0,0
Trinidad and Tobago ,42.41,32.94,2.99,18.26,1.86,0,0,0,0,0,0,0
Albania ,23.06,43.71,0,29.31,1.99,0,0,0,0,0,0,0
Nicaragua ,45.84,42.6,1.23,7.99,1.22,0,0,0,0,0,0,0
Iceland ,35.84,40.92,8.05,12.52,1.87,0,0,0,0,0,0,0
Malta ,54.45,26.72,2.68,13.95,1.18,0,0,0,0,0,0,0
Azerbaijan ,50.88,15.09,1.21,6.52,24.94,0,0,0,0,0,0,0
Nepal ,47.32,31.31,1.22,12.89,6.15,0,0,0,0,0,0,0
Yemen ,66.91,18.77,0,8.44,3.61,0,0,0,1.2,0,0,0
Brunei Darussalam ,22.43,37.41,4.78,10.75,9.36,0,0,0,12.07,0,0,0
Jamaica ,39.04,39.19,2.74,15.39,2.34,0,0,0,0,0,0,0
Myanmar ,37.55,58.21,0,2.59,0,0,0,0,0,0,0,0
Senegal ,28.92,62.63,0,6.07,0,0,0,0,0,0,0,0
Kenya ,35.29,41.38,2.29,7.13,12.08,0,0,0,0,0,0,0
Kazakhstan ,26.98,31.09,0,6.08,33.93,0,0,0,0,0,0,0
Luxembourg ,40.72,39.08,8.53,5.87,3.12,1.43,0,0,0,0,0,0
Macao ,68.79,18.16,3.26,5.83,0,0,1.73,0,0,0,0,0
Bermuda ,69.64,13.15,10.96,4.77,0,0,0,0,0,0,0,0
Mauritius ,31.89,45.96,2.45,14,3.83,0,0,0,0,0,0,0
Bahamas ,61.35,20.73,5.66,9.74,0,0,0,0,0,0,0,0
Ghana ,29.1,54.13,1.65,5.38,7.69,0,0,0,0,0,0,0
Angola ,68.44,17.06,2.39,6.54,3.06,0,0,0,0,0,0,0
Faroe Islands ,67.23,18.63,3.81,8.19,0,0,0,0,0,0,0,0
Cambodia ,47.18,35.37,2.47,6.24,4.13,0,0,0,2.34,0,0,0
Netherlands Antilles ,63.64,21.58,3.93,8.38,1.17,0,0,0,0,0,0,0
Cote dIvoire ,51.72,31.58,0,6.91,5.45,0,0,0,1.12,0,0,0
Ethiopia ,64.54,25.36,0,5.59,2.5,0,0,0,0,0,0,0
Barbados ,43.52,38.25,2.95,12.44,1.31,0,0,0,0,0,0,0
Armenia ,24.75,43.6,1.08,15.59,13.76,0,0,0,0,0,0,0
Lao Peoples Democratic Republic ,63.13,24.53,1.69,3.04,5.28,0,0,0,1.15,0,0,0
Isle of Man ,63.28,18.54,7.28,7.69,0,0,0,0,0,0,0,0
Reunion ,35.05,46.47,6.41,8.52,1.76,0,0,0,0,0,0,0
Tanzania ,59.52,23.21,2.96,5.4,6.61,0,0,0,1.42,0,0,0
Guam ,47.79,28.74,6.03,10.92,2.62,1.57,0,0,0,0,0,0
