"Continent","IE","Chrome","Firefox","Safari","iPhone","Android","Yandex Browser","Opera","BlackBerry","UC Browser","Nokia","NetFront","Sogou Explorer","Maxthon","360 Safe Browser","QQ Browser","IEMobile","iPod Touch","Silk","Obigo","Samsung","Openwave Mobile Browser","Unknown","Phantom","Midori","Iron","Sony PS3","Maemo browser"
Belgium ,31.98,29.83,18.43,11.87,2.08,2.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria ,12.6,32.36,49.01,0,0,1.3,0,1.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Arab Emirates ,25.02,37.97,11.01,9.33,3,4.55,0,1.78,0,2.5,2.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria ,17.86,37.14,37.22,1.25,0,1.8,0,3.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morocco ,10.36,45.68,31.84,1.93,1.38,3.22,0,2.89,0,0,1.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland ,20.06,38.1,15.13,11.02,6.63,5.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bosnia and Herzegovina ,6.66,49.78,36.45,1.48,0,1.71,0,2.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland ,15.12,28.57,29.82,8.73,3.89,4.19,0,1.64,0,0,4.99,0,0,0,0,0,2.33,0,0,0,0,0,0,0,0,0,0,0
Austria ,22.55,23.16,34.11,9.1,2.83,5.52,0,1.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway ,23.25,33.03,15.68,15.57,4.88,4.08,0,2.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denmark ,28.43,31.4,12.8,16.62,6.19,3.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland ,27.36,19.37,23.67,18.12,5.83,3.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tunisia ,7.65,62.56,20.06,1.74,1.2,1.85,0,1.94,0,0,1.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iraq ,17.63,42.71,21.43,2.39,2.66,7.46,0,1.99,0,0,2.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czech Republic ,22.98,33.85,31.1,2.89,0,2.27,0,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Croatia ,14.85,36.62,37.07,2.52,1.63,3.5,0,2.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine ,10.57,35.58,25.73,2.8,0,1.47,1.02,20.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ecuador ,15.31,44.03,29.91,3.02,1.01,3.04,0,1.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hong Kong ,32.19,27.25,12.83,10.18,4.37,10.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Zealand ,25.03,33.41,16.48,14.23,4.02,4.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
