"Continent","IE","Chrome","Firefox","Safari","iPhone","Android","Yandex Browser","Opera","BlackBerry","UC Browser","Nokia","NetFront","Sogou Explorer","Maxthon","360 Safe Browser","QQ Browser","IEMobile","iPod Touch","Silk","Obigo","Samsung","Openwave Mobile Browser","Unknown","Phantom","Midori","Iron","Sony PS3","Maemo browser"
Benin ,10.41,35.38,36.4,1.66,0,2.99,0,7.13,0,1.63,2.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cape Verde ,29.28,42.17,18.69,3.81,0,2.26,0,1.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabon ,29.03,19.16,25.6,7.9,1.35,3.61,0,7.98,0,0,1.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tajikistan ,9.95,35.16,9.92,3.08,1.55,4.59,1,26.85,0,1.2,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mali ,20.62,16.44,21.85,3.45,1.57,6.27,0,14.74,0,3.42,5.14,1.17,0,0,0,0,0,0,0,0,0,0,0,1.18,0,0,0,0
Bhutan ,10.93,40.31,24.23,3.42,1.96,2.1,0,6.97,0,3.8,4.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gibraltar ,30.95,28.16,14.6,17.43,3.43,2.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monaco ,27.12,23.73,19.3,22.21,2,1.44,0,2.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Somalia ,11.9,19.13,17.46,1.17,0,1.05,0,37.21,0,6.1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
British Virgin Islands ,28.01,37.68,12.6,13.71,1.84,2.65,0,0,0,0,0,0,0,0,0,0,0,0,1.52,0,0,0,0,0,0,0,0,0
Burkina Faso ,21.71,16.73,35.84,4.19,0,3.06,0,9.05,0,3.17,1.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liechtenstein ,38.56,15.43,21.48,15.64,5.19,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Djibouti ,17.61,31.39,25.17,2.78,0,2.74,0,9.56,0,4.41,3.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gambia ,11.19,12.79,43.75,3.07,3.05,6.37,0,11.82,0,3.65,1.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo (Democratic Republic of the),17.27,13.8,23.44,4.7,1.4,6.77,0,17.97,0,5.01,5.22,1.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greenland ,38.36,19.2,12.24,17.31,5.4,3.57,0,1.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.22,0,0,0
Turks and Caicos Islands ,26.83,31.24,11.34,17.61,2.74,7.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seychelles ,26.79,23.67,27.08,5.59,1.76,2.88,0,5.92,0,1.47,3.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mayotte ,19.59,33.89,30.58,5.16,0,4.29,0,3.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
San Marino ,28.36,26.77,25.22,14.51,2.34,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sierra Leone ,10.81,6.89,13.86,3.14,1.56,3.51,0,44.33,0,8.03,5.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkmenistan ,11.06,15.06,6.72,3.01,6.53,21.58,0,14.88,0,8.32,10.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lesotho ,33.11,12.29,16.1,2.13,0,1.38,0,24.86,0,2.51,5.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Swaziland ,30.18,15.84,14.82,3.96,1.06,2.91,0,23.95,0,1.56,4.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Timor-Leste ,10.55,9.51,33.14,3.03,1.09,3.18,0,28.34,0,2.04,7.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niger ,22.74,12.28,26.68,3.49,0,3.81,0,13.57,0,4.13,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cook Islands ,18.4,4.61,12.51,2.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.78,0,0
Burundi ,20.12,16.52,37.68,7.13,0,3.92,0,9.36,0,2.59,1.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anguilla ,31.16,28.97,15,17.12,2.23,1.74,0,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liberia ,18.95,13.43,14.79,5.39,2.01,4.7,0,22.01,0,8.05,8.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American Samoa ,19.51,28.22,20.97,21.86,1.69,4.34,0,1.1,0,0,0,0,0,0,0,0,0,1.42,0,0,0,0,0,0,0,0,0,0
Equatorial Guinea ,24.98,18.57,25.64,4.3,0,4.14,0,14.69,0,2.63,2.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo (Republic of the),22.32,16.13,28.04,5.57,1.73,7.51,0,10.8,0,2.19,1.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Micronesia ,23.98,36.47,27.81,7.19,1.12,1.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea ,24.17,14.87,28.14,9.08,1.46,5.63,0,11.97,0,1.32,1.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Holy See (Vatican City State) ,50.99,16.52,26.3,4.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vanuatu ,29.89,19.87,30.69,7.5,2.46,2.59,0,3.93,0,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solomon Islands ,28.59,16.74,13.75,6.99,3.23,3.95,0,15.01,0,3.02,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04
Tonga ,18.33,24,47.02,6.09,0,1.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Martin ,16.24,30.25,20.1,20.95,3.08,2.68,0,0,0,0,0,0,0,0,0,0,0,4.2,0,0,0,0,0,0,0,0,0,0
Saint Pierre and Miquelon ,22.52,32.29,30.31,11.58,0,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sao Tome and Principe ,43.7,23.23,23.27,5.04,0,1.18,0,2.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Samoa ,29.25,16.56,23.81,5.66,1.04,5.18,0,12.43,0,0,3.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montserrat ,28.3,42.87,11.95,10.39,0,2.35,0,0,1.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marshall Islands ,23.78,30.89,28.51,9.35,1.71,1.78,0,1.12,0,0,0,0,0,0,0,0,0,1.27,0,0,0,0,0,0,0,0,0,0
Eritrea ,21.08,7.91,65.89,0,0,0,0,3.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comoros ,25.29,32.95,33.17,2.16,0,2.58,0,1.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palau ,22.01,36.59,22.83,9.67,0,3.46,0,1.14,0,0,0,0,0,0,0,0,0,3.11,0,0,0,0,0,0,0,0,0,0
Central African Republic ,29.19,12.9,36.21,9.42,1.09,3.13,0,6.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Falkland Islands (Malvinas) ,49.37,16.57,13.51,14.27,1.47,1.7,0,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Korea ,24.55,29.36,43.26,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Helena ,64.36,24.42,8.7,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wallis and Futuna ,10.09,43.48,36.36,6.79,0,2.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kiribati ,19.16,29.88,42.93,5.42,0,1.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea-Bissau ,52.35,10.29,34.24,1.63,0,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuvalu ,9.39,30.92,54.84,2.45,0,0,0,0,0,1.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nauru ,62.07,24.44,12.07,1.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tokelau ,34.38,8.85,55.21,1.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niue ,8.82,12.75,3.92,71.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christmas Island ,18.18,18.18,27.27,0,0,0,0,36.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western Sahara ,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
