"Continent","IE","Firefox","Chrome","Safari","Android","iPhone","Opera","Nokia","BlackBerry","UC Browser","NetFront","Maxthon","TheWorld","iPod Touch","Sony PS3","Samsung","Obigo","Chromium","Epiphany","Windows Media Player","AppleWebKit"
Iran ,47.77,31.69,8.57,0,0,0,4.43,1.91,0,1.79,0,0,0,0,0,0,0,0,0,0,0
Croatia ,22.25,43.95,25.38,1.87,0,0,4.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland ,31.87,20.72,31.02,7.05,2.3,3.32,1.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czech Republic ,25.08,37,25.92,2.1,0,0,7.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Africa ,44.21,16.94,15.1,4.82,1.39,0,12.53,2.36,0,0,0,0,0,0,0,0,0,0,0,0,0
Nigeria ,14.72,18.76,6.32,2.26,0,0,49.75,4.42,0,1.44,0,0,0,0,0,0,0,0,0,0,0
New Zealand ,34.95,22.82,25.85,10.85,1.19,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bosnia and Herzegovina ,12.06,41.5,40.34,0,0,0,4.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ecuador ,28.73,33.81,30.93,2.4,0,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovenia ,27.73,45.28,20.55,2.44,0,0,2.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangladesh ,8.58,48.08,13.66,0,0,0,17.64,6.02,0,1.71,0,0,0,0,0,0,0,0,0,0,0
Paraguay ,24.87,33.93,35.98,0,0,0,1.56,1.94,0,0,0,0,0,0,0,0,0,0,0,0,0
Tunisia ,12.82,25.4,55.9,0,0,0,2.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macedonia ,9.23,37.75,48.12,0,0,0,3.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic ,19.59,21.87,51.94,2.77,0,0,1.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belarus ,10.71,22.3,16.31,0,0,0,48.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovakia (Slovak Republic) ,15.89,39.49,30.12,1.99,0,0,10.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morocco ,26.18,33.06,32.19,1.39,0,0,3.74,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria ,24.94,40.68,29.68,0,0,0,2.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guatemala ,35.28,23.05,29.68,3.4,1.19,1.63,2.25,0,1.19,0,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka ,20.18,31.84,31.8,0,0,0,8.26,3.65,0,0,1.43,0,0,0,0,0,0,0,0,0,0
Lithuania ,25.18,37.82,24.73,1.76,0,0,9.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uruguay ,22.58,28.28,45.83,1.11,0,0,1.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kuwait ,42.22,12.11,17.93,5.72,1.72,7.49,4.51,2.75,4.22,0,0,0,0,0,0,0,0,0,0,0,0
Albania ,13.38,24.35,56.55,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lebanon ,43.55,21.26,24.13,4.18,0,1.61,1.82,1.66,0,0,0,0,0,0,0,0,0,0,0,0,0
Iraq ,41.27,23.59,25.68,0,0,0,3.16,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0
Qatar ,43.45,13.56,28.65,4.53,0,1.16,2.86,3.58,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia ,43.15,30.71,21.02,1.66,0,0,1.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puerto Rico ,34.33,19.58,27.72,7.88,4.64,1.51,0,0,0,0,0,0,0,1.31,1.17,0,0,0,0,0,0
Jordan ,32.12,17.49,39.38,1.7,0,0,3.75,3.25,0,0,0,0,0,0,0,0,0,0,0,0,0
Armenia ,6.6,22.85,61.8,0,0,0,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Costa Rica ,27.19,23.41,28.77,3.81,1.75,0,4.16,7.6,0,0,1.06,0,0,0,0,0,0,0,0,0,0
Latvia ,20.96,40.33,28.82,2.25,0,0,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonia ,25.56,39.48,24.37,3.91,0,0,4.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moldova ,17.93,26.82,43.76,0,0,0,9.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montenegro ,16.57,32.83,40.97,0,0,0,6.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Panama ,43.23,17.18,29.18,4.4,1.28,0,1.47,1.24,0,0,0,0,0,0,0,0,0,0,0,0,0
Kazakhstan ,14.14,27.35,20.19,1.36,0,0,35.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Salvador ,25.9,29.99,37.25,1.91,0,0,2.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan ,19.35,11.63,29.79,1.11,0,0,33.38,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0
Myanmar ,48.68,46.14,2.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahrain ,50.64,13.03,20.32,4.81,1.3,2.45,2.64,2.85,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus ,35.86,25.35,31.24,4.16,0,0,1.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honduras ,32.73,21.48,31.46,2.75,0,0,2.37,2.92,1.26,0,1.61,0,0,0,0,0,0,0,0,0,0
Trinidad and Tobago ,27.42,22.54,42.69,3.62,0,0,1.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mongolia ,15.29,59.56,18.3,1.58,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
