"Continent","Chrome","IE","Safari","Firefox","iPhone","Android","360 Safe Browser","Yandex Browser","Opera","IEMobile","UC Browser","Nokia","NetFront","Unknown","BlackBerry","Sogou Explorer","QQ Browser","Maxthon","CoRom+","Puffin","iPod Touch","Chromium","SonyEricsson","Obigo","Silk","Phantom","Openwave Mobile Browser","Iron","Midori","Kindle","Iceweasel"
Togo ,18.16,7.57,2.15,50.58,0,5.05,0,0,8.75,0,3.9,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fiji ,30.32,12.98,4.51,28.61,1.8,10.61,0,0,6.23,0,2.01,1.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haiti ,24.15,14.37,7.09,11.48,2.86,10.95,0,0,10.07,0,3.55,0,3.55,0,0,0,0,0,0,0,0,0,0,7.35,0,0,0,0,0,0,0
Rwanda ,19.81,5.64,2.72,25.05,0,3.44,0,0,34.24,0,4.48,2.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benin ,21.64,4.7,1.99,17.71,1.06,6.26,0,0,30.18,0,8.82,4.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania ,37.47,8.8,2.18,20.11,2.05,6.86,0,0,9.36,0,2.94,6.83,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16,0,0,0,0,0
Jersey ,29.26,21.21,28.02,10.65,6.02,2.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French Guiana ,44.36,15.68,6.66,21.58,1.33,7.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French Polynesia ,32.65,12.58,16.71,26.43,3.48,5.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cape Verde ,48.47,18.78,4.02,14.75,1.74,5.7,0,0,3.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belize ,37.41,16.12,7.78,22.4,4.03,7.82,0,0,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cayman Islands ,32.41,21.36,20.65,11.1,6.41,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.68,0,0,0,0,0,0
Burkina Faso ,14.6,11.02,1.98,27.08,0,9.39,0,0,18.06,0,6.83,2.7,1.83,0,0,0,0,0,0,0,0,0,0,0,0,1.73,1.16,0,0,0,0
Guernsey ,23.27,25.84,31.13,8.7,5.85,2.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabon ,23.01,19.46,5.46,20.95,1.56,7.29,0,0,12.66,0,1.33,1.92,0,0,2.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Mariana Islands ,54.41,18.74,7.04,11.68,1.09,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,12.5,16.97,5.96,61.01,87.5,1.38,0,0,0,0,0,0,0,0,2.11,0,0,0,0,0,1.46,0,0,0,0,0,0,0,0,0,0
Sierra Leone ,6.14,5.88,1.73,8.69,1.31,3.92,0,0,54.88,1.17,9.08,5.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Lucia ,53.23,14.1,6.49,14.37,1.61,4.5,0,0,1.89,0,0,0,0,0,1.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Caledonia ,31.19,16.4,14.8,26.23,2.55,6.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tajikistan ,35.67,6.22,2.29,6.47,3.01,7.96,0,1.7,25.47,0,3.39,4.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhutan ,40.47,6.04,3.14,16.11,1.97,4.12,0,0,7.3,2.2,9.01,7.42,1.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andorra ,36.2,19.76,14.86,13.78,4.8,8.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo (Republic of the),12.43,8.75,2.48,17.76,1.71,5.17,0,0,40.33,0,5.21,0,0,0,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niger ,9.03,7.75,1.19,12.8,0,11.97,0,0,31.18,0,10.06,8.75,1.64,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0,0,0
Djibouti ,29.41,7.74,1.87,19.18,1.07,4.62,0,0,13.44,0,11.41,8.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gibraltar ,38.95,16.32,21.08,10.83,7,3.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Swaziland ,11.1,10.82,1.59,5.79,1.23,3.84,0,0,43.88,2.59,3.76,13.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea ,15.74,7.06,3.15,20.11,1.82,12.05,0,0,27.5,0,5.59,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Vincent and the Grenadines ,59.44,12.63,4.91,11.97,0,4.64,0,0,1.37,0,0,0,0,0,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Kitts and Nevis ,51.73,13.26,12.38,12.57,3.57,3.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lesotho ,10.92,15.37,1.19,9.79,0,2.42,0,0,35.71,1.53,4.08,15.37,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05,0,0,0,0
Mayotte ,44.73,14.05,2.88,19.32,2.51,12.94,0,0,1.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monaco ,27.95,19.65,28.01,15.72,5.58,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gambia ,16.12,6.26,2.71,28.31,3.5,10.2,0,0,17.19,1.1,10.42,2.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkmenistan ,28.22,6.76,2.2,4.86,9.24,25.95,0,0,7.07,1.17,4.45,7.22,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0
Liberia ,13.18,10.03,3.13,10.25,2.12,17.48,0,0,24.18,1.01,9.99,7.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turks and Caicos Islands ,40.58,17.14,16.51,14.61,4.03,3.12,0,0,0,0,0,0,0,0,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seychelles ,27.26,18.69,6.11,17.5,2.66,10.76,0,0,6.85,1.53,3.69,3.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cook Islands ,9.04,14.15,3.21,8.32,1.28,2.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.66,0,0,0
Liechtenstein ,21.51,28.31,17.7,21.47,5.98,3.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Timor-Leste ,8.61,9.07,2.29,21.42,1.14,3.83,0,0,38.61,0,3,10.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominica ,53.11,14.55,6.53,13.21,0,6.46,0,0,1.5,0,0,0,0,0,1.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
San Marino ,38.02,17.18,12.79,24.23,3.04,3.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greenland ,26.04,22.86,15.13,7.99,9.17,7.64,0,0,8.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0
Burundi ,15.2,10.79,2.93,24.23,0,5.75,0,0,29.24,0,5.29,3.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Somalia ,34.21,11.75,1.26,23.64,0,4.11,0,0,12.82,0,4.34,5.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equatorial Guinea ,26.84,15.32,3.04,18.71,2.04,7.58,0,0,16.45,0,3.81,2.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
British Virgin Islands ,38.93,25.84,15.49,9.34,3.56,3.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American Samoa ,29.85,13.38,18.64,18.49,4.52,9.31,0,0,1.62,0,0,0,0,0,0,0,0,0,0,0,1.73,0,0,0,0,0,0,0,0,0,0
Micronesia ,34.31,13.16,5.79,22.01,0,1.75,0,0,20.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anguilla ,33.37,25.47,7.15,23.17,1.94,2.46,0,0,1.98,0,0,0,0,0,2.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marshall Islands ,40.49,16.03,10.34,21.98,3.21,3.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.89,0,0,0,0,0,0,0,0,1.88,0
Vanuatu ,34.12,19.53,9.62,23.33,2.19,8.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chad ,10.71,7.24,1.59,6.28,2.02,8.48,0,0,32.12,0,4.38,20.24,1.46,0,0,0,0,0,0,0,0,0,0,0,0,0,1.52,0,0,0,0
Saint Martin ,41.46,11.92,22.12,12.2,4.4,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sao Tome and Principe ,42.46,27.26,4.14,17.13,0,2.79,0,0,3.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Samoa ,18.58,17.12,2.95,22.1,1.92,16.85,0,0,12.55,0,1.47,2.77,0,0,0,0,0,0,0,0,0,0,0,0,0,1.44,0,0,0,0,0
Tonga ,26.39,17.52,6.25,32.91,1.16,9.2,0,0,1.47,1.41,0,1.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Pierre and Miquelon ,40.01,14.47,12.42,28.64,0,2.16,0,0,1.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Holy See (Vatican City State) ,29.39,38.97,6.86,21.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.18
Comoros ,39.38,11.1,3.76,28.96,0,4.64,0,0,4.31,0,1.61,0,1.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solomon Islands ,19.86,21.9,6.41,11.3,2.17,6.16,0,0,14.73,2.14,4.26,8.16,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eritrea ,10.38,8.41,0,77.41,0,0,0,0,1.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea-Bissau ,20.8,23.4,7.08,35.36,2.31,5.63,0,0,2.07,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palau ,39.89,31.35,4.43,16.35,1.75,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic ,28.19,13.58,5.28,28.12,1.13,9.79,0,0,11.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Korea ,55.4,10.15,7.07,22.01,0,0,0,0,1.67,0,0,0,0,0,0,1.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Falkland Islands (Malvinas) ,21.84,34.12,15.44,20.85,2.81,2.96,0,0,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wallis and Futuna ,33.93,8.69,8.26,37.78,0,2.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.83,0,0,0,0,0,0,0,0,0,0
Kiribati ,28.57,26.04,1.84,34.21,0,3.12,0,0,5.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montserrat ,51.29,19.81,3.28,20.75,0,1.7,0,0,0,0,0,0,0,0,1.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Helena ,44,38.68,3.05,9.85,0,2.48,0,0,0,0,0,0,0,0,1.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuvalu ,39.61,15.96,3.7,35.14,0,5.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niue ,29.12,15.56,9.9,43.73,0,1.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tokelau ,24.86,9.58,0,64.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nauru ,37.33,24,0,38.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christmas Island ,97.3,0,0,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norfolk Island ,9.09,54.55,0,36.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Svalbard & Jan Mayen Islands ,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
