"Continent","Chrome","IE","Safari","Firefox","iPhone","Android","360 Safe Browser","Yandex Browser","Opera","IEMobile","UC Browser","Nokia","NetFront","Unknown","BlackBerry","Sogou Explorer","QQ Browser","Maxthon","CoRom+","Puffin","iPod Touch","Chromium","SonyEricsson","Obigo","Silk","Phantom","Openwave Mobile Browser","Iron","Midori","Kindle","Iceweasel"
Portugal ,53.53,19.1,5.93,14.14,1.55,3.36,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgium ,34.53,28.92,12.24,15.09,3.48,3.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Israel ,46.41,23.67,3.48,8.44,4.19,3.42,0,0,2.44,0,0,0,0,0,7.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Venezuela ,54.18,11.19,2.18,22.65,1.35,4.37,0,0,1.4,0,0,0,0,0,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Arab Emirates ,42.34,13.97,9.04,8.68,4.34,6.78,0,0,2.72,0,8.21,1.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vietnam ,44.8,7.73,4.38,16.49,6.64,2.99,0,0,2.12,1.39,1.12,0,0,0,0,0,0,0,10.18,0,0,0,0,0,0,0,0,0,0,0,0
Norway ,43.37,16.14,16.74,12.58,4.98,2.87,0,0,2.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria ,43.75,13.73,1.73,30.76,1.06,3.56,0,0,3.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iraq ,47.03,6.73,2.72,14.36,5.11,18.32,0,0,1.78,0,0,2.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland ,45.72,14.28,11.82,10.88,7.87,5.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morocco ,48.26,6.6,2.83,25.24,2.37,6.53,0,0,3.79,0,0,1.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangladesh ,11.12,1.44,0,20.22,0,4.27,0,0,39.54,0,14.54,4.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland ,30.86,19.96,17.21,19.82,6.72,3.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bosnia and Herzegovina ,54.1,5.16,1.68,29.17,0,4.31,0,0,3.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denmark ,37.48,19.97,18.22,11.43,8.38,3.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Zealand ,40.53,17.82,15.29,12.63,5.67,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland ,35.11,12.81,9.49,25.64,5.88,5.02,0,0,1.43,3.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Croatia ,44.95,10.83,2.88,29.64,2.21,5.11,0,0,3.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czech Republic ,39.05,20.11,3.38,26.63,0,2.82,0,0,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Africa ,20.4,15.17,4.68,6.67,2.85,6.98,0,0,20.26,1.84,1.81,6.11,0,0,12.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hong Kong ,39.58,23.09,10.76,9.98,5.3,8.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nigeria ,8.9,3.89,2.57,10.07,0,4.18,0,0,45.68,0,13.55,7.28,0,0,1.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria ,42.38,7.24,1.36,36.98,1,5.08,0,0,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria ,28.68,18.43,10.11,29.92,4.09,5.76,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tunisia ,65.09,5.57,2.27,15.79,1.55,3.45,0,0,2.21,0,0,1.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania ,57.79,5.8,3.16,18.52,4.63,4.15,0,0,2.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ecuador ,49.39,9.01,4.15,26,1.65,4.77,0,0,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine ,40.49,8.48,3.18,19.68,1.16,2.44,0,3.31,18.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iran ,20.38,16.13,1.55,32.63,1.57,5.5,0,0,9.38,0,5.06,2.66,0,0,0,0,0,0,0,3.9,0,0,0,0,0,0,0,0,0,0,0
